lam_delta,mean_mse,diff_vs_best,diff_se,in_1se_band,pool
100.0,3705.9501755457836,2.527263034277712,1.26442385383959,False,1997-2006
300.0,3705.9178990194896,2.4949865079834126,1.2479380168035012,False,1997-2006
1000.0,3705.817928426653,2.3950159151469053,1.197176148140077,False,1997-2006
3000.0,3705.6083995431095,2.1854870316036794,1.092646316898399,False,1997-2006
10000.0,3705.227610731695,1.8046982201891297,0.9148495261611027,False,1997-2006
30000.0,3704.769141893333,1.3462293818274702,0.7358544389840906,False,1997-2006
100000.0,3704.184507481908,0.7615949704017112,0.5263179670702184,False,1997-2006
1000000.0,3703.422912511506,0.0,0.0,True,1997-2006
100.0,3832.7642032839976,1.3139253213845223,0.4909943141835832,False,2007-2016
300.0,3832.7545333763787,1.3042554137653497,0.4859209619478548,False,2007-2016
1000.0,3832.7219406627673,1.2716627001537746,0.46905615165482395,False,2007-2016
3000.0,3832.638217225919,1.187939263305725,0.42749890737889024,False,2007-2016
10000.0,3832.4206174830215,0.9703395204087428,0.33306522777965003,False,2007-2016
30000.0,3832.0930440478055,0.6427660851923065,0.2324778396081969,False,2007-2016
100000.0,3831.7635420106053,0.3132640479921974,0.1565070296308141,False,2007-2016
1000000.0,3831.4502779626127,0.0,0.0,True,2007-2016
100.0,4172.070621409235,1.6024846142045135,1.2665519663361628,False,2017-2026
300.0,4172.060413234985,1.5922764399549123,1.259771865470198,False,2017-2026
1000.0,4172.026100883624,1.5579640885942354,1.2366644169139,False,2017-2026
3000.0,4171.938628435458,1.470491640427099,1.175529601725595,False,2017-2026
10000.0,4171.715020632035,1.2468838370035882,1.0052847658103783,False,2017-2026
30000.0,4171.373886317078,0.9057495220491546,0.7199583414878091,False,2017-2026
100000.0,4170.9371837720655,0.46904697703475906,0.37130928736691565,False,2017-2026
1000000.0,4170.468136795031,0.0,0.0,True,2017-2026
