lam,theta_starter,mode,feature,true,mean_beta,bias,bias_se,bias_in_se,mean_z,sd_z,pred_bias,m,v_over_n,tau2_x
800.0,0.6420142676845211,full,fg3m,1.6,1.842757659192646,0.2427576591926459,0.03917266985720426,0.5319969212694013,0.5326322765209472,0.5422519568615126,0.06141522508297995,3.0,0.06954800621802508,1.5853920355038893
800.0,0.6420142676845211,full,fg2m,0.9,0.9483035193111675,0.0483035193111675,0.01922943930225172,0.25139013930250076,0.24551905638189214,0.6256166952597574,0.02569569273986227,2.0,0.1610719392316637,6.895285328500538
800.0,0.6420142676845211,full,ftm,0.5,0.5265556105323964,0.026555610532396412,0.02968991076392225,0.08947074003765816,0.09244533296917241,0.6385200603097266,0.014160400106916484,1.0,0.10765600822016833,3.801305309430663
800.0,0.6420142676845211,full,fg3_miss,-0.7,-0.7231450811292678,-0.02314508112926783,0.02030740349868432,-0.088058640002445,-0.087065045099005,0.4802486336140725,-0.0011874606162869277,-0.75,0.11526948782093671,4.85361308998075
800.0,0.6420142676845211,full,fg2_miss,-0.6,-0.6244158767049143,-0.024415876704914297,0.01600814801301358,-0.11914381582837802,-0.11777475376065341,0.4923988476761622,-0.0025959491012653695,-0.75,0.15760440252828556,9.106750347192644
800.0,0.6420142676845211,full,orb,0.5,0.6237744273768524,0.1237744273768524,0.0545718082450691,0.220753892678427,0.2092999822632363,0.6118394067666034,0.016693375859316024,0.75,0.05632670444918529,0.8435487363952092
800.0,0.6420142676845211,full,tov,-1.0,-0.9865583346959113,0.013441665304088746,0.03331626747886683,0.03486798735191481,0.0343403748999319,0.5552754411037292,0.0,-1.0,0.07942902472483779,1.6570186457186484
800.0,0.6420142676845211,loo,fg3m,1.6,0.8588818047315838,-0.7411181952684163,0.04436867954932338,-1.6288965166567888,-1.6235316540523144,0.5925603857291101,-0.8953188281628172,3.0,0.06954800621802508,1.5853920355038893
800.0,0.6420142676845211,loo,fg2m,0.9,0.6682374495164402,-0.23176255048355987,0.019525739151622347,-1.2076012494100226,-1.206904370963088,0.6329425074932018,-0.3178381994015918,2.0,0.1610719392316637,6.895285328500538
800.0,0.6420142676845211,loo,ftm,0.5,0.3177880872778477,-0.1822119127221523,0.03130951745546283,-0.6149883086443815,-0.6102232771642508,0.6725240274393613,-0.19266994395473244,1.0,0.10765600822016833,3.801305309430663
800.0,0.6420142676845211,loo,fg3_miss,-0.7,-0.5853207981570225,0.11467920184297742,0.022701801000283843,0.43708952057005535,0.43844266153262434,0.5358692727330648,0.12117664507765495,-0.75,0.11526948782093671,4.85361308998075
800.0,0.6420142676845211,loo,fg2_miss,-0.6,-0.5130569287217324,0.08694307127826761,0.01584643709585018,0.4247492407500628,0.4248398038173947,0.48845120798029806,0.08830283114772983,-0.75,0.15760440252828556,9.106750347192644
800.0,0.6420142676845211,loo,orb,0.5,0.28606009441875624,-0.21393990558124376,0.053263871749285124,-0.3829470381028336,-0.3893264620812677,0.5950192234268346,-0.34070136792872796,0.75,0.05632670444918529,0.8435487363952092
