model,lam,lam_ratio,chosen_by,sigma2,tau2_O,tau2_D,edf
zero_prior,1716.8560731048442,1.5,reml,12423.250330793431,7.236046472041558,4.824030981361038,987.3307550124523
plugin,23258.049332526516,0.25,reml,12427.789808023434,0.534343599944261,2.137374399777044,384.21172095976306
share_explained,,,,,0.9261553111897715,0.5569318671386287,
