side,feature,beta,se_formula,shift_outcome_only,shift_both,seratio_outcome_only,seratio_both
O,fg3m,1.0410963095985037,0.1709462051978991,0.05212737077781964,-1.0688277079161563,0.9695061165221537,0.9321765550204908
O,fg3_miss,-0.019197714223568627,0.10654610860086323,-0.11339089660250748,0.9463882918387375,0.9293798343917691,0.9252965238948414
O,fg2m,0.6025980363809484,0.07260256814312815,-0.019189911648792662,-1.519295826190514,0.8966392447846953,0.9385311840038623
O,fg2_miss,-0.49686271732104104,0.06056371315898129,-0.07323593818913754,1.4849000999845088,0.8756320773181252,0.9254757708850417
O,ftm,0.6257778821051705,0.06773236240245818,0.0011370995755636067,-0.6768472893907862,0.812867585699997,0.8866822945803374
O,ft_miss,-0.5144817626648086,0.1622710384310035,0.09195080225748355,0.5868207228707009,0.7650035711321478,0.8916756601779338
O,orb,0.41579286318878195,0.09468894069846075,-0.0010529997172842327,-0.9544801278933182,0.7361257059729589,0.8826691423724902
O,drb,-0.014265499036693798,0.05780816887135623,-0.025018041739002322,0.3240518183676617,0.8223970788531931,0.8891375184591953
O,ast,0.45365432923275417,0.05294910829975228,0.003890270757084931,-0.8113369053259356,0.8856044514948342,0.8818490087643843
O,tov,-0.7515109387657624,0.15009766318679893,0.12402756041968384,1.0885923837029545,0.7753150069075486,0.9661376680743566
O,stl,0.7621568882933072,0.19115100953592257,0.07471757915637649,-0.05314083373771891,0.7765033797466636,0.977421101337934
O,blk,-0.012941036497041813,0.1323305532208028,0.08208289186068612,0.07868431023277081,0.8195926063310415,0.8964393799291591
O,pf,-0.2628456288479921,0.08527135518283159,-0.10669640361166897,-0.700948704168939,0.8077299208594244,0.9011968363932968
D,fg3m,0.19911857829469803,0.17711908234411694,-0.058127279330170104,-0.02178933846686674,0.8329774251493406,0.824866151138334
D,fg3_miss,0.17989032699353905,0.11014985540786684,0.04201228906937792,-0.050391610835415636,0.8485950777540041,0.802134941033178
D,fg2m,0.028401622821823735,0.07552358024316931,0.003648166523236615,0.025351364468189457,0.7860143622538507,0.9100529571281673
D,fg2_miss,0.2288076305923344,0.06350183240575887,0.08204380722859053,-0.023212660185541835,0.7701651894315467,0.9234528351810768
D,ftm,-0.18489487704117816,0.07092688671238416,-0.11065768314981053,0.7257794256745382,0.7860308308672798,0.8576248353368494
D,ft_miss,0.3529242308107081,0.1702197099969917,0.10145163853022982,-0.3480283613174576,0.7961329329905861,0.8775185204528946
D,orb,0.22707580023832485,0.09851664324483225,-0.07897397965420862,-0.5154695051020849,0.824390686818536,0.8394020019823152
D,drb,-0.38536828544670165,0.05947995460029255,0.024979123884302998,0.5732019260494526,0.9518764218719165,0.9929217446233349
D,ast,-0.11418259251419147,0.054597382756392435,0.06936387668604314,0.2861242532923416,0.8453699317303328,0.8424957451568913
D,tov,0.4876911412457213,0.15712977241170645,-0.0847999852006856,-0.36969613792067085,0.7636542164795345,0.8338032856053433
D,stl,-1.4011635481926155,0.1999640697815682,-0.05427308052741928,0.12138654900563166,0.8064091401390137,0.9346943726469376
D,blk,-0.8736792243482705,0.13705327907551135,-0.03817301046000097,0.3745574696959852,0.9024658306087014,0.8338365319704428
D,pf,0.04765674085780361,0.08836909056169703,0.15225487091574055,-0.05196742261358686,0.8023044580826963,0.912071516376505
