side,feature,beta,se_formula,se_boot,ratio_boot_over_formula,boot_mean_minus_hat_in_se
O,fg3m,1.0394382346709397,0.16976437020530777,0.15821697531523446,0.9319798678833006,-1.504837602166403
O,fg3_miss,-0.018019072244089378,0.10587251899099108,0.0979308282255094,0.9249881759575641,0.9864848856437821
O,fg2m,0.6034270735272544,0.07205733094444307,0.06828028973350113,0.9475828321499435,-2.1651633678637583
O,fg2_miss,-0.4980631116092067,0.06002339992429896,0.05555348386468675,0.9255304420401104,2.053987183608101
O,ftm,0.6267705036237559,0.06713893547430044,0.05522426827148959,0.822537144525153,-1.345226183768086
O,ft_miss,-0.5156416749028192,0.16076262885887996,0.13278452482411668,0.8259663689667397,0.7783902892551008
O,orb,0.4163814041523033,0.09398809504805025,0.08239502661385104,0.8766538631485998,-1.2865647482572156
O,drb,-0.014230456397399036,0.057486956072200966,0.05504193063769229,0.9574681701456268,0.42717089435824956
O,ast,0.4525101609970331,0.052617663251532894,0.045141996905056124,0.8579247749802157,-1.1651446935623209
O,tov,-0.7491012653588165,0.1487970707562955,0.12541498709218285,0.8428592475290824,1.9045987241476683
O,stl,0.7621804235141402,0.18955076455028178,0.17512376604869814,0.9238884710604446,-0.6630390162677954
O,blk,-0.010035937911361412,0.13144889917610939,0.11672959615667196,0.888022622390187,-0.010085554760661926
O,pf,-0.262507093074856,0.08464551012140151,0.07316688720560285,0.8643918277610281,-0.25655836064364174
D,fg3m,0.19384214013747203,0.1757523958447609,0.14116682844771983,0.8032142479150616,-0.25706918422474523
D,fg3_miss,0.18274094867573362,0.10936482553413313,0.08983443519529179,0.8214198190007094,0.08339642918738045
D,fg2m,0.0284778244174864,0.07488488106590213,0.05797026191955396,0.7741250449277935,-0.03804007259095054
D,fg2_miss,0.22926164923668785,0.06286930388443251,0.04924733783029471,0.7833288232492928,-0.22981364609380073
D,ftm,-0.1846916958268124,0.07024177485654566,0.053724133731988616,0.7648459031923536,0.8869540157747414
D,ft_miss,0.3565100246015948,0.16848011252576633,0.13857979631659137,0.8225291058931232,-0.589727212785166
D,orb,0.22662933127509183,0.09770004030421553,0.08353478727407067,0.8550128230649905,-0.7544991890747649
D,drb,-0.3882506327654026,0.05910001545774642,0.056647919955249273,0.9585093932124218,1.0413413256286996
D,ast,-0.11490609282120981,0.054208070107361166,0.04954738538368527,0.9140223085890121,0.3495843343153711
D,tov,0.4861048094192688,0.15562193248695166,0.1408837387240691,0.9052948801794483,-0.887817778919066
D,stl,-1.4009596789529226,0.19810862611801314,0.17079719868134347,0.8621391305777858,1.5043425130320993
D,blk,-0.8715975981724409,0.1360251125866013,0.10851120864951919,0.7977292323903411,1.0702754532436842
D,pf,0.04808995774674206,0.0876400338627411,0.07976638411063484,0.9101592114348368,-0.12462277018038856
