exposure__pad_scale,mm__lam_ratio,mean_mse,diff_vs_best,diff_se,in_1se_band
0.25,0.5,3526.442825085058,0.0,0.0,True
0.25,0.75,3526.5634720661037,0.1206469810455019,0.13302310953305327,True
0.25,1.0,3526.7281022026423,0.2852771175845191,0.40792669996259895,True
0.25,1.5,3526.452277993293,0.009452908235107315,0.5688611614954036,True
0.25,2.0,3526.7496196949505,0.30679460989304064,0.738982226675363,True
0.5,0.5,3526.5305484150304,0.08772332997250487,0.06106986449070895,False
0.5,0.75,3526.6497718750506,0.20694678999288954,0.17616859141638333,False
0.5,1.0,3526.8114215577784,0.36859647272103757,0.41543115964685606,True
0.5,1.5,3526.5297143766184,0.08688929156096492,0.5673994712260358,True
0.5,2.0,3526.824397017008,0.38157193194965655,0.7409611309420013,True
1.0,0.5,3526.67191014366,0.22908505860268633,0.14701607099125075,False
1.0,0.75,3526.790396501498,0.3475714164402234,0.24434625515985425,False
1.0,1.0,3526.9457289579454,0.5029038728877822,0.4291538916787553,False
1.0,1.5,3526.6587273502605,0.2159022652029307,0.5654056357349423,True
1.0,2.0,3526.9507576142264,0.5079325291685564,0.7409173139634323,True
2.0,0.5,3526.872413478354,0.4295883932958532,0.26576767064051166,False
2.0,0.75,3526.990974516494,0.5481494314369229,0.34585202651609753,False
2.0,1.0,3527.1361211969224,0.6932961118642197,0.4708608664465259,False
2.0,1.5,3526.844226615275,0.4014015302173902,0.584308743215192,True
2.0,2.0,3527.1339619034743,0.6911368184159983,0.7559231156735302,True
4.0,0.5,3527.127981307092,0.6851562220339474,0.41559112280582816,False
4.0,0.75,3527.24739568024,0.8045705951827585,0.4812212089309484,False
4.0,1.0,3527.242071480946,0.7992463958878944,0.5662919318173907,False
4.0,1.5,3527.082181263416,0.6393561783585028,0.6474527304909136,True
4.0,2.0,3527.5233331059158,1.0805080208579056,0.7098152579459864,False
