side,feature,beta,se_formula,shift_multinomial,seratio_multinomial,shift_multinomial_fixedpad,seratio_multinomial_fixedpad,shift_bayesian_fixedpad,seratio_bayesian_fixedpad
O,fg3m,1.0410955370206723,0.1709456522191509,-1.2996221862476227,0.9866510019443728,-1.2987839781326869,0.9865147149554716,-1.032548962876052,0.9767917549220366
O,fg3_miss,-0.01919716101076977,0.10654579327527247,1.1392313505364131,0.9642344070269182,1.1380468056883455,0.9638429527920666,0.9255394210954313,0.9297696197377147
O,fg2m,0.6025984191348678,0.07260231273981231,-1.6526036151444174,1.002635323265331,-1.6536177674574668,1.0040771244894686,-1.6138099788864801,0.8936274636169835
O,fg2_miss,-0.4968632777875702,0.060563460120113016,1.5263604241526234,0.9890419344716587,1.5275595973302376,0.989987056523572,1.5891699107521267,0.9233572221895616
O,ftm,0.6257783451941814,0.06773208481113929,-0.5819727907528953,0.8879578541915525,-0.5825436074743312,0.8886775389047383,-0.6059003273744246,0.8473350019427536
O,ft_miss,-0.5144822998771537,0.1622703328750707,0.43194167568772635,0.9144456650082383,0.42978088655212077,0.9141234791254808,0.5326587165108139,0.9263304356829839
O,orb,0.41579313179337307,0.09468861261072728,-0.8487579117497475,0.9268630661201793,-0.8494927992021902,0.92590021854332,-0.8056581335132554,0.9018738492170401
O,drb,-0.014265486919426465,0.05780801828554828,0.44869845549792314,1.0074826959494438,0.4498563242229624,1.0070932437526785,0.40542169902403186,0.947098774862717
O,ast,0.4536538033685298,0.05294895294675963,-0.7310492336261788,0.889213988079007,-0.7322095312741083,0.8889987620340281,-0.6554903735419121,0.8803599323706479
O,tov,-0.7515098202311786,0.15009705454716693,1.2103001735782735,0.9960815485201815,1.2116839621822293,0.9963700374396287,1.1765818388496707,0.9931177922660953
O,stl,0.7621569091508442,0.1911502607312808,0.061827703587654645,1.1337130057032312,0.06424237796094044,1.1324591187873227,-0.045854377544191804,1.0004060789670153
O,blk,-0.012939683313844132,0.13233014046952046,0.005464903012639863,0.9543657736372744,0.005210735279001727,0.953997560699563,0.007457956184840907,0.8804716595267092
O,pf,-0.26284547016081483,0.08527106217479301,-0.7639910166993854,0.9841010011247726,-0.7652335918634674,0.9812939779101867,-0.7066097819265811,0.8724778456327151
D,fg3m,0.19911613862340588,0.17711844315409067,-0.17311360831603287,0.8623280852726481,-0.17348913686398526,0.8625759691247097,-0.11229006252241197,0.8907726737920308
D,fg3_miss,0.1798916429310483,0.11014948808746426,0.15237450515072773,0.8607657242418622,0.15269102311055605,0.8610668049267817,0.03330048599005747,0.8877345484164227
D,fg2m,0.028401655640060135,0.07552328123946393,0.012232959979120646,0.8172555116896467,0.012651013970948118,0.8162843694882957,0.046332925619679076,0.9198826912542744
D,fg2_miss,0.2288078431693038,0.06350153642818597,0.0516932729715265,0.8296216604361045,0.051340835850923014,0.8295611222912531,0.020298481397516093,0.92136113243533
D,ftm,-0.1848947796213693,0.07092656642028772,0.7072319015023769,0.8274208806236802,0.707569069024488,0.8271377272157943,0.556403615123695,0.903481617842107
D,ft_miss,0.3529258898272643,0.17021889688602368,-0.29185336284402846,0.9279425172621907,-0.2912763652568341,0.927623377839711,-0.1390842243899304,0.9957001381504516
D,orb,0.22707560446459954,0.09851626116970416,-0.5550781097411918,0.8996074538436775,-0.5552542315406118,0.8999188899235143,-0.7068519485755855,0.9267092410547667
D,drb,-0.385369608869651,0.05947977651454274,0.5044460838351177,1.014432077040573,0.5045294612766421,1.0148220375041763,0.5872401844782305,0.9335138537770344
D,ast,-0.1141829249168725,0.054597200370788565,0.30420737932621494,0.9507713844394762,0.3043008899286529,0.9502984095797028,0.2736070322478648,0.9083788792718586
D,tov,0.48769039664305336,0.1571290672280717,-0.4537866571723879,1.0637197869862112,-0.4543432989074779,1.062819740839432,-0.49404817453940264,0.9657618624947081
D,stl,-1.4011634519082876,0.19996320201583878,0.08446190525439837,1.0518986222676219,0.08446411297816935,1.0515971909336104,0.04983011276858217,0.9932351124695139
D,blk,-0.8736782726529262,0.13705279787523378,0.5216281983769447,0.8607089669639753,0.5217742893521436,0.8611037645270683,0.46381374412031495,0.8692694733769699
D,pf,0.04765694096880557,0.08836874939473402,-0.13416626961837735,1.0538896453656355,-0.13484401338396745,1.0558509535905547,-0.07239626987503857,1.0489005488431822
