lam_ratio,lam_cv_A,lam_reml_A,lam_used_A,min_mse_A,reml_min_A,lam_cv_B,lam_reml_B,lam_used_B,min_mse_B,reml_min_B,mse_sum,reml_sum,mse_sum_minus_best,reml_sum_minus_best
0.5,8270.371084000279,8270.371084000279,8270.371084000279,3526.637899003469,859467.3781323619,8270.371084000279,8270.371084000279,8270.371084000279,3550.779247555848,862991.4484781567,7077.417146559317,1722458.8266105186,0.2383125377145916,2.6954850354231894
0.75,6632.064580675554,5318.295896944989,5318.295896944989,3526.517602279246,859465.88194361,6632.064580675554,6632.064580675554,6632.064580675554,3550.661231742357,862990.2491818732,7077.178834021603,1722456.1311254832,0.0,0.0
1.0,5318.295896944989,5318.295896944989,5318.295896944989,3526.5039289514702,859466.5635688538,5318.295896944989,5318.295896944989,5318.295896944989,3550.688421328341,862991.0697293817,7077.192350279811,1722457.6332982355,0.01351625820825575,1.5021727522835135
1.5,4264.776210092461,4264.776210092461,4264.776210092461,3526.6568386766667,859471.3250985786,5318.295896944989,4264.776210092461,4264.776210092461,3550.8557279413267,862995.7410160727,7077.512566617994,1722467.0661146513,0.3337325963912008,10.934989168075845
2.0,3419.951893353397,3419.951893353397,3419.951893353397,3526.8721242124566,859477.3867233513,4264.776210092461,4264.776210092461,4264.776210092461,3551.042897493596,863001.2086429935,7077.915021706052,1722478.5953663448,0.7361876844497601,22.46424086159095
