side,feature,beta_crossfit,se_crossfit,beta_full,se_full,beta_loo,se_loo,full_minus_cf_in_se,loo_minus_cf_in_se,mechanical
O,fg3m,1.024954974278316,0.15995379037084256,2.2360597119800776,0.2102738751424892,0.872929955783734,0.20808896129145668,7.571591363317451,-0.9504308597009281,3.0
O,fg3_miss,-0.008595770104326765,0.10030823584743843,-0.6684035261289865,0.13014159056089666,0.08559669639847382,0.12854918421283032,-6.577802415229189,0.9390302372186119,-0.75
O,fg2m,0.6111964480403984,0.06758628373899045,0.910797030165469,0.07977732569442032,0.5386734128234284,0.0794077526067612,4.432860715971447,-1.0730436888207178,2.0
O,fg2_miss,-0.508075921080276,0.05558820790541612,-0.701302157188744,0.06605978085679146,-0.4571319798095838,0.06578646010720188,-3.4760292405404463,0.9164523050891261,-0.75
O,ftm,0.6351691349772364,0.062205042788862665,0.7532612028561062,0.07005724044954076,0.6675528310609509,0.06996676229113769,1.8984323872213993,0.5205959940198377,1.0
O,ft_miss,-0.5261911713652577,0.14822251068716913,-0.5032573685501093,0.16371865365985058,-0.5549820064897106,0.16366054190405113,0.15472550497779225,-0.1942406385573739,0.0
O,orb,0.42257399785415695,0.08820303047097662,0.647876577400312,0.09905947047853272,0.5138334418001873,0.09894058732001883,2.554363249687791,1.0346520233911856,0.75
O,drb,-0.013140750163940543,0.05486830615161084,-0.058204688273827895,0.06013164804764627,-0.02074700200566243,0.059876023196756945,-0.821310903700357,-0.13862742218986068,0.0
O,ast,0.441314317890739,0.04991517545642948,0.6740477337913878,0.05692853339449097,0.4579446393549356,0.05663393976494203,4.66257833960335,0.33317165195007864,0.0
O,tov,-0.7277587677483129,0.13802958646534527,-1.429216971781816,0.15745105045480437,-0.750449679514003,0.15709765102220535,-5.081940922931159,-0.16439165215775672,-1.0
O,stl,0.7603247916038545,0.17628488749451846,0.5474041356940206,0.1834320889173895,0.7203612175018268,0.18374673849226983,-1.207821378996283,-0.22669880935352626,0.0
O,blk,0.014804440142525445,0.12416427282507034,-0.07929542012053824,0.13146498330521483,0.02168461849104627,0.13131898252377963,-0.757865834688509,0.05541190063758525,0.0
O,pf,-0.2598063780253298,0.07948327341641023,0.007938194519322523,0.08457690259651675,-0.2734411476803841,0.08446887920921585,3.368564995328607,-0.17154262864366662,0.0
D,fg3m,-0.14540435850047784,0.16433087772659852,-0.010936900005841662,0.21821377613525056,-0.02897329524006589,0.21577989831127964,0.8182726238361188,0.7085160431877038,
D,fg3_miss,-0.20939058359724125,0.10283572816489218,-0.27344238928408593,0.13493224814599886,-0.27788775803017923,0.13317680583996874,-0.6228555661524627,-0.6660834289334349,
D,fg2m,-0.02980142034822062,0.06960693954819377,-0.07991942413802383,0.08322240599777593,-0.02708487566682466,0.08280012261171334,-0.7200144714752614,0.039026923163531804,
D,fg2_miss,-0.23277477693422777,0.05762538071999174,-0.1899757981587226,0.06946699257249182,-0.2211327068503658,0.0691546161282927,0.7427105598394268,0.20203025018493356,
D,ftm,0.18346309453067894,0.06449803454990834,0.25225310607081536,0.0734626422872532,0.2486440253963483,0.07334278814072927,1.0665443066626623,1.0105878624135842,
D,ft_miss,-0.389711490872284,0.15388025957808296,-0.3822316185726596,0.17222573054922394,-0.28220732655997843,0.17210811630830572,0.04860839408598052,0.6986221923920988,
D,orb,-0.22039072526530262,0.0909091844449908,-0.3559723480617767,0.10320211037929208,-0.22780806085427752,0.10305429784513687,-1.4913963162711528,-0.08159060753056395,
D,drb,0.416842907921119,0.0559921486022459,0.6260956894473206,0.06195573225727676,0.3805656887683671,0.061683735422517864,3.737180778910283,-0.6478983225033229,
D,ast,0.12199939242484148,0.05101273781010965,0.11676496008545376,0.058865447005789384,0.14377624628631608,0.05854767208944679,-0.10261030017389831,0.42689051394451694,
D,tov,-0.47329826687259413,0.1430326142157506,-0.5712228767980154,0.1651041487372657,-0.6059391121343441,0.16464722612383487,-0.6846313371418331,-0.9273468571417872,
D,stl,1.3992757972749028,0.18260875790195075,1.6852976238425952,0.19204768446427659,1.1862356055186862,0.19233493960288658,1.5663094686908052,-1.1666482714405493,
D,blk,0.8500429202229266,0.1274856392185019,0.7879671392004854,0.1362875120355766,0.7408280314078167,0.13611178205312863,-0.48692371472560453,-0.8566838546255616,
D,pf,-0.05204304352652922,0.08158516842622658,-0.005886275752073229,0.08780576754307351,0.052508028523908026,0.08767137772932589,0.5657494942379542,1.2814960619340707,
