fold,zero_prior,joint,diff
0,3558.155232525977,3554.6329913772365,-3.5222411487407044
1,3549.039462304607,3543.5975269302594,-5.441935374347395
2,3564.190076917656,3554.7594794943197,-9.430597423336167
3,3541.8703949426954,3534.7607689372066,-7.109626005488735
4,3491.4232554730706,3488.4784396249424,-2.9448158481282007
