lam_ratio,lam,mean_mse,diff_vs_best,diff_se,in_1se_band,reml_neg2ll
0.08,100.0,3579.5529027617404,51.794765327182084,2.2810144367377885,False,6899.067762476625
0.08,126.73439348306668,3577.3134520361045,49.55531460154661,2.232519401730396,False,6343.103508880595
0.08,160.61606491520791,3574.9254544158393,47.16731698128069,2.173018600034316,False,5804.631994951982
0.08,203.55579570665742,3572.400006574987,44.64186914042875,2.1035107020146087,False,5285.378370413091
0.08,257.9752030884629,3569.754393001423,41.99625556686533,2.0250908193402872,False,4787.0358666304965
0.08,326.9433089708729,3567.0123024329887,39.25416499842986,1.9385608456422563,False,4311.209127574228
0.08,414.3496196577045,3564.2031384504894,36.44500101593112,1.8442317363456453,False,3859.352363449987
0.08,525.1234773725855,3561.360316827095,33.60217939253698,1.742016095313731,False,3432.7081125758123
0.08,665.5120540853359,3558.5187032386857,30.76056580412769,1.63178239600511,False,3032.254484253237
0.08,843.4326653017499,3555.711619957772,27.95348252321446,1.5138256021012273,False,2658.6694625597447
0.08,1068.9192728082367,3552.9680527762857,25.20991534172763,1.3892647371674451,False,2312.319331168197
0.08,1354.6883572171257,3550.310732788684,22.552595354125696,1.2602206932415536,False,1993.2742326506414
0.08,1716.8560731048442,3547.755601910533,19.99746447597463,1.1297217773947297,False,1701.3479062414262
0.08,2175.8471312266224,3545.312820265283,17.55468283072496,1.001376521525151,False,1436.1523343028966
0.08,2757.546664878766,3542.98904087103,15.230903436471726,0.8789058294300391,False,1197.153516052058
0.08,3494.760040746641,3540.7903034180295,13.032165983470986,0.7656337208959139,False,983.7137602127623
0.08,4429.06294132883,3538.724702359311,10.9665649247524,0.6640183089665451,False,795.1094984670635
0.08,5613.146055676366,3536.804021539865,9.045884105306868,0.5752918431529276,False,630.5208832484204
0.08,7113.78660898013,3535.043792373006,7.285654938447806,0.49928497074841804,False,488.99828569823876
0.08,9015.614312570586,3533.4616695344216,5.703532099862969,0.4345125185853345,False,369.41862059780397
0.08,11425.884117808895,3532.0745225834034,4.3163851488452565,0.37854490434778537,False,270.4487548836041
0.08,14480.524936783147,3530.8950623725577,3.136924937999538,0.3285701776395627,False,190.53251414606348
0.08,18351.805451796346,3529.9289977686103,2.170860334052122,0.2819536550847538,False,127.91181002533995
0.08,23258.049332526516,3529.173559805684,1.4154223711255327,0.23662978815332844,False,80.68273818609305
0.08,29475.94775756986,3528.6177802878324,0.859642853274363,0.19130473117096444,False,46.877193845575675
0.08,37356.16361394183,3528.2443437152224,0.48620628066400967,0.14563477232361763,False,24.553121937438846
0.08,47343.107384671224,3528.032364130088,0.27422669552961454,0.10093254871767857,False,11.87447298062034
0.08,60000.0,3527.960227296192,0.2020898616339764,0.06405778373234391,False,7.165743392659351
0.12,100.0,3578.5358087863183,50.77767135176018,2.2936999864917738,False,6356.18207531143
0.12,126.73439348306668,3576.2007487869096,48.442611352351015,2.231886454660492,False,5807.150834015338
0.12,160.61606491520791,3573.705562592844,45.94742515828593,2.1590941393862444,False,5276.775872541126
0.12,203.55579570665742,3571.060979308563,43.30284187400493,2.0766293085356735,False,4766.920867854729
0.12,257.9752030884629,3568.2846794834304,40.52654204887185,1.9855596233172648,False,4279.418262775522
0.12,326.9433089708729,3565.401528217915,37.64339078335661,1.8864316364349796,False,3816.008054367965
0.12,414.3496196577045,3562.4428900225416,34.68475258798371,1.7792770246948781,False,3378.2705151203554
0.12,525.1234773725855,3559.444963813148,31.686826378590375,1.663922330340794,False,2967.558761248365
0.12,665.5120540853359,3556.446310771823,28.688173337264743,1.540486654320047,False,2584.9392262317706
0.12,843.4326653017499,3553.4849914854035,25.726854050845212,1.4098724682641943,False,2231.148670811206
0.12,1068.9192728082367,3550.595901021218,22.837763586660003,1.274063182518768,False,1906.574484806275
0.12,1354.6883572171257,3547.8089057656675,20.050768331108703,1.1361232649939106,False,1611.2606206887867
0.12,1716.8560731048442,3545.1481993392854,17.390061904727098,0.999904005487789,False,1344.9355607694015
0.12,2175.8471312266224,3542.6329406339523,14.8748031993935,0.8695410045106129,False,1107.0532060498372
0.12,2757.546664878766,3540.278827798686,12.520690364127859,0.7488629012790727,False,896.8346423574258
0.12,3494.760040746641,3538.09994765487,10.341810220311254,0.6408213636188542,False,713.2997900689952
0.12,4429.06294132883,3536.1101443713114,8.352006936753332,0.5470305539149792,False,555.2829098177608
0.12,5613.146055676366,3534.323320165463,6.565182730905053,0.46750175316839254,False,421.43319835467264
0.12,7113.78660898013,3532.75246447532,4.994327040760981,0.40067062405275505,False,310.2086825966835
0.12,9015.614312570586,3531.407679161746,3.649541727187534,0.34377816747307244,False,219.87572983233258
0.12,11425.884117808895,3530.293862010286,2.535724575727818,0.2935291209095425,False,148.5261145120021
0.12,14480.524936783147,3529.408880005535,1.6507425709773087,0.24679588476553296,False,94.11863493197598
0.12,18351.805451796346,3528.742928847771,0.9847914132125879,0.20113256757246156,False,54.54429681529291
0.12,23258.049332526516,3528.27937238265,0.5212349480913872,0.15504679856565476,False,27.7057961281389
0.12,29475.94775756986,3527.9968376255174,0.23870019095884346,0.10827714294164091,False,11.59643981186673
0.12,37356.16361394183,3527.8719139422965,0.11377650773802088,0.06340914686477059,False,4.362883297959343
0.12,47343.107384671224,3527.881631876405,0.12349444184710592,0.03982246311503947,False,4.340525336796418
0.12,60000.0,3528.005031565363,0.24689413080459416,0.07043133996291231,False,10.058538547251374
0.18,100.0,3577.3405929929077,49.58245555834874,2.2861783256801638,False,5825.9820467846
0.18,126.73439348306668,3574.8886905599734,47.1305531254151,2.2117811081757903,False,5285.987867187243
0.18,160.61606491520791,3572.2649682218425,44.50683078728489,2.1268398657046403,False,4766.054241437931
0.18,203.55579570665742,3569.481151201163,41.723013766604524,2.032445285896668,False,4268.180883456487
0.18,257.9752030884629,3566.55669035611,38.79855292155162,1.9293274499859132,False,3794.3283015056513
0.18,326.9433089708729,3563.519024918301,35.7608874837425,1.8178009632897598,False,3346.3507151715457
0.18,414.3496196577045,3560.402977082328,32.644839647770006,1.6979563658776522,False,2925.9223379525356
0.18,525.1234773725855,3557.2492097030545,29.491072268496282,1.5700421442387358,False,2534.4630076868925
0.18,665.5120540853359,3554.1018844052624,26.343746970703798,1.4349047686778824,False,2173.070978143951
0.18,843.4326653017499,3551.0058740346985,23.247736600140435,1.2943265508850055,False,1842.470868085511
0.18,1068.9192728082367,3548.004033409225,20.24589597466602,1.1511341106573556,False,1542.9827941611875
0.18,1354.6883572171257,3545.135040358201,17.376902923642593,1.0090271871630112,False,1274.5149061793927
0.18,1716.8560731048442,3542.4321491382952,14.67401170373687,0.8721634029254159,False,1036.5770234430674
0.18,2175.8471312266224,3539.9228895537053,12.16475211914667,0.7445945424734178,False,828.3094090945087
0.18,2757.546664878766,3537.629417328984,9.871279894425879,0.6296673951586863,False,648.5193263711408
0.18,3494.760040746641,3535.569026404852,7.810888970293854,0.5294890063781527,False,495.7194861629978
0.18,4429.06294132883,3533.7543689298027,5.996231495244137,0.4445465810336406,False,368.16615498648025
0.18,5613.146055676366,3532.1931728149784,4.435035380419959,0.37359010177638624,False,263.8987727048807
0.18,7113.78660898013,3530.8875736045484,3.129436169989822,0.31389010171151227,False,180.7853701072745
0.18,9015.614312570586,3529.8334323784934,2.075294943935387,0.261876841579873,False,116.57761034159921
0.18,11425.884117808895,3529.020090331904,1.2619528973460548,0.21395653919752078,False,68.97606110177003
0.18,14480.524936783147,3528.4308938031945,0.6727563686359644,0.1671912850243959,False,35.70173343573697
0.18,18351.805451796346,3528.0445633481477,0.2864259135895736,0.1196778755922256,False,14.565893839113414
0.18,23258.049332526516,3527.8371713813403,0.07903394678205586,0.07084484124375486,False,3.528297350741923
0.18,29475.94775756986,3527.7842447251555,0.0261072905974288,0.025227863188260296,False,0.735200302908197
0.18,37356.16361394183,3527.8624236118617,0.10428617730303813,0.042920009938954395,False,4.5327701300848275
0.18,47343.107384671224,3528.0502490823797,0.2921116478211843,0.0952221133876114,False,13.457782580051571
0.18,60000.0,3528.3279917948907,0.5698543603322832,0.1493319756816215,False,26.21378133795224
0.25,100.0,3576.214992093695,48.456854659137115,2.2666809733463555,False,5408.296097821323
0.25,126.73439348306668,3573.65309452203,45.894957087471724,2.1830267262853487,False,4877.452694557374
0.25,160.61606491520791,3570.9114428334697,43.15330539891056,2.088932190715123,False,4367.978057726519
0.25,203.55579570665742,3568.003571151768,40.24543371721002,1.9852031033703916,False,3881.969378825277
0.25,257.9752030884629,3564.951419743248,37.193282308689504,1.8724391876724702,False,3421.47042789869
0.25,326.9433089708729,3561.785691067703,34.02755363314482,1.751096002472805,False,2988.3991818502545
0.25,414.3496196577045,3558.54535701813,30.787219583571733,1.621690055142952,False,2584.4683760683984
0.25,525.1234773725855,3555.276205307996,27.518067873437484,1.4850964803493931,False,2211.104526609648
0.25,665.5120540853359,3552.028499845767,24.270362411208588,1.3428472234985607,False,1869.372566859005
0.25,843.4326653017499,3548.854035299065,21.095897864506423,1.1973202202987097,False,1559.9136503860354
0.25,1068.9192728082367,3545.8030229120495,18.044885477491242,1.0517309056798836,False,1282.9026169832796
0.25,1354.6883572171257,3542.921281843987,15.163144409428696,0.9098935900046963,False,1038.0292717565317
0.25,1716.8560731048442,3540.2480924294664,12.489954994908384,0.7757884973970289,False,824.5045766062103
0.25,2175.8471312266224,3537.814837162406,10.056699727848173,0.6530198669636942,False,641.0899843031075
0.25,2757.546664878766,3535.6443274366493,7.88619000209128,0.5442649063329781,False,486.14631441258825
0.25,3494.760040746641,3533.750607384825,5.992469950266695,0.4508055364633075,False,357.69810581067577
0.25,4429.06294132883,3532.139075282657,4.380937848098529,0.37223951576041203,False,253.50977424462326
0.25,5613.146055676366,3530.806895422721,3.048757988162561,0.30649495791064485,False,171.17011568997987
0.25,7113.78660898013,3529.7437713551612,1.9856339206031408,0.250251385214718,False,108.18096756399609
0.25,9015.614312570586,3528.9331429960484,1.1750055614898884,0.1997064534727786,False,62.04433829593472
0.25,11425.884117808895,3528.353770476654,0.5956330420957784,0.1514039099077345,False,30.341033128788695
0.25,14480.524936783147,3527.981544248447,0.22340681388895972,0.10280321755314571,False,10.793805106310174
0.25,18351.805451796346,3527.7912698430096,0.03313240845118344,0.052472982683097136,True,1.3097755759954453
0.25,23258.049332526516,3527.758137434558,0.0,0.0,True,0.0
0.25,29475.94775756986,3527.8586155538396,0.10047811928088776,0.05423570317356439,False,5.1779729700647295
0.25,37356.16361394183,3528.0706353086935,0.3124978741355335,0.10931638836439822,False,15.342871786793694
0.25,47343.107384671224,3528.373162949503,0.615025514944864,0.16402775322549826,False,29.15647776075639
0.25,60000.0,3528.7455157849786,0.9873783504199309,0.21707169461782053,False,45.42365311412141
0.33,100.0,3575.137916389353,47.37977895479453,2.2420236403900957,False,5065.444569740212
0.33,126.73439348306668,3572.4740176285354,44.71588019397741,2.1509748871633954,False,4543.780865575653
0.33,160.61606491520791,3569.625737511763,41.86760007720468,2.04932578771361,False,4044.696190136019
0.33,203.55579570665742,3566.608900235904,38.85076280134581,1.9377962133864925,False,3570.353260096861
0.33,257.9752030884629,3563.4484228458546,35.69028541129692,1.8171290600196228,False,3122.843512334628
0.33,326.9433089708729,3560.1787712569558,32.420633822397576,1.68814866738177,False,2704.1098613294307
0.33,414.3496196577045,3556.843529793749,29.085392359190518,1.5518879082209067,False,2315.861471913755
0.33,525.1234773725855,3553.4939139057033,25.73577647114498,1.4097681546610978,False,1959.4854839614127
0.33,665.5120540853359,3550.1862377117673,22.42810027720907,1.2637798824615962,False,1635.962587915361
0.33,843.4326653017499,3546.9785664837536,19.220429049196174,1.116583082641896,False,1345.7947270956356
0.33,1068.9192728082367,3543.926974511457,16.16883707689849,0.9714510356535729,False,1088.9534814774524
0.33,1354.6883572171257,3541.081918159953,13.323780725394863,0.8320242224218007,False,864.8564970244188
0.33,1716.8560731048442,3538.48518629762,10.7270488630621,0.7019023498772543,False,672.3766662783455
0.33,2175.8471312266224,3536.167739497316,8.40960206275704,0.5841494387640987,False,509.8851297283545
0.33,2757.546664878766,3534.1485788503255,6.390441415767691,0.48080260115852996,False,375.32531650247984
0.33,3494.760040746641,3532.4346626276165,4.6765251930578415,0.39247398247959175,False,266.31178838294
0.33,4429.06294132883,3531.021815893716,3.2636784591574726,0.3181490873411854,False,180.24483839096501
0.33,5613.146055676366,3529.8965037398375,2.1383663052789417,0.2553092834894472,False,114.42973506334238
0.33,7113.78660898013,3529.0382257003803,1.2800882658221782,0.20045899650176058,False,66.18856291403063
0.33,9015.614312570586,3528.422164508949,0.664027074391015,0.1499547056804155,False,32.95344027574174
0.33,11425.884117808895,3528.021660843864,0.26352340930525314,0.10087525654457069,False,12.332934455713257
0.33,14480.524936783147,3527.810138270751,0.0520008361926557,0.052099990200823176,True,2.148376719094813
0.33,18351.805451796346,3527.7622517229524,0.004114288394248433,0.019608743880456327,True,0.44230148079805076
0.33,23258.049332526516,3527.85421985742,0.09608242286158201,0.06111745154054978,False,5.4659644779749215
0.33,29475.94775756986,3528.063484946314,0.30534751175528074,0.11457706417045158,False,15.655842292588204
0.33,37356.16361394183,3528.368008623431,0.6098711888724211,0.16864996927208356,False,29.609727097209543
0.33,47343.107384671224,3528.745623537353,0.9874861027949919,0.22131463149497102,False,46.07128985109739
0.33,60000.0,3529.173847335929,1.4157099013703374,0.2711765397885315,False,63.92783791059628
0.5,100.0,3573.2878335090572,45.52969607449904,2.192483904692519,False,4573.34419664857
0.5,126.73439348306668,3570.4613218762875,42.70318444172926,2.0906300504293878,False,4068.143377491273
0.5,160.61606491520791,3567.449002609116,39.69086517455762,1.9779238809841866,False,3587.4658629000187
0.5,203.55579570665742,3564.2717293951405,36.513591960582474,1.8553858954319802,False,3133.528856835095
0.5,257.9752030884629,3560.960700829316,33.202563394758,1.7243350151617534,False,2708.44043449685
0.5,326.9433089708729,3557.5579514754595,29.799814040901037,1.5863217226216222,False,2314.112799347611
0.5,414.3496196577045,3554.1157558900486,26.35761845549023,1.4430974477971095,False,1952.1649499856867
0.5,525.1234773725855,3550.694686809123,22.936549374564947,1.2966496054070173,False,1623.8199488266837
0.5,665.5120540853359,3547.3602890705088,19.602151635950122,1.149278271642802,False,1329.8057445657905
0.5,843.4326653017499,3544.1786194417814,16.4204820072232,1.0036443021988342,False,1070.2718407176435
0.5,1068.9192728082367,3541.2111894290197,13.453051994461656,0.862711337683044,False,844.7356206546538
0.5,1354.6883572171257,3538.5100487003647,10.751911265806848,0.7295410329324743,False,652.0706888965797
0.5,1716.8560731048442,3536.113794215534,8.355656780975732,0.6069583758077471,False,490.54480374837294
0.5,2175.8471312266224,3534.045162411016,6.287024976457724,0.4971500452038698,False,357.9075271708425
0.5,2757.546664878766,3532.310585912983,4.552448478424049,0.4012795525491503,False,251.51917557255365
0.5,3494.760040746641,3530.9017316840923,3.1435942495339986,0.31921317052396164,False,168.50504969386384
0.5,4429.06294132883,3529.7986565929255,2.040519158367624,0.24947383214293542,False,105.91417949390598
0.5,5613.146055676366,3528.973897519337,1.2157600847784125,0.18956717154665673,False,60.86126762279309
0.5,7113.78660898013,3528.3966376537473,0.6385002191890635,0.1368354670999646,False,30.634519441751763
0.5,9015.614312570586,3528.0361224626686,0.2779850281106519,0.09031587016181099,False,12.759819546481594
0.5,11425.884117808895,3527.863748253994,0.10561081943569661,0.05709068588362235,False,5.021381140686572
0.5,14480.524936783147,3527.853649767335,0.09551233277643405,0.0630322619647478,False,5.448055547429249
0.5,18351.805451796346,3527.9820502529365,0.22391281837844873,0.1027641616400291,False,12.280572013463825
0.5,23258.049332526516,3528.2259732528,0.4678358182412012,0.15200171290337,False,23.93656019982882
0.5,29475.94775756986,3528.5620430052563,0.8039055706979525,0.20299412450062992,False,38.98703661025502
0.5,37356.16361394183,3528.965975226302,1.2078377917437138,0.25281724977716086,False,56.15121770044789
0.5,47343.107384671224,3529.4130253553003,1.654887920742476,0.29976390511048406,False,74.30832144268788
0.5,60000.0,3529.8792508866654,2.121113452107147,0.3427340303728827,False,92.51826593186706
0.75,100.0,3571.190337996724,43.43220056216569,2.130423134750393,False,4122.427869493142
0.75,126.73439348306668,3568.20431006625,40.44617263169148,2.01853787112889,False,3636.653834581841
0.75,160.61606491520791,3565.0404511620354,37.28231372747732,1.8962167558136545,False,3177.368369345786
0.75,203.55579570665742,3561.7267455240567,33.96860808949823,1.7650710198919457,False,2746.7705191746354
0.75,257.9752030884629,3558.3027286171646,30.54459118260611,1.6270470852528363,False,2346.8958789655007
0.75,326.9433089708729,3554.819608113093,27.061470678534626,1.4842400547231274,False,1979.516267264029
0.75,414.3496196577045,3551.338954245885,23.58081681132653,1.3387718224353038,False,1646.0276456146967
0.75,525.1234773725855,3547.929702099775,20.171564665216465,1.1927688766604667,False,1347.3349975189194
0.75,665.5120540853359,3544.6635258778756,16.905388443317225,1.048415451940951,False,1083.7481679196935
0.75,843.4326653017499,3541.6090493861147,13.850911951556464,0.9080117203925929,False,854.90618442907
0.75,1068.9192728082367,3538.82574627274,11.06760883818215,0.7739588996957542,False,659.7474435600452
0.75,1354.6883572171257,3536.35861840711,8.60048097255185,0.6486262921165388,False,496.53824115218595
0.75,1716.8560731048442,3534.234700030519,6.476562595961331,0.534109106000964,False,362.96276868321
0.75,2175.8471312266224,3532.462086127205,4.703948692646736,0.4319342882014882,False,256.2658781353384
0.75,2757.546664878766,3531.031613192804,3.273475758245786,0.3428054694535404,False,173.42887112917379
0.75,3494.760040746641,3529.920704116755,2.162566682196575,0.2665151014464758,False,111.35165227227844
0.75,4429.06294132883,3529.0984130138545,1.3402755792967582,0.20222659699983778,False,67.01398982899264
0.75,5613.146055676366,3528.5304982419134,0.7723608073548348,0.1495046564408899,False,37.5945549281314
0.75,7113.78660898013,3528.1834514468246,0.42531401226615345,0.11085701923400652,False,20.537123122718185
0.75,9015.614312570586,3528.0267798053164,0.2686423707586073,0.09520924728119615,False,13.565858444897458
0.75,11425.884117808895,3528.0333861943304,0.2752487597722393,0.10972327230329977,False,14.662700855871662
0.75,14480.524936783147,3528.178476395746,0.4203389611880993,0.14493954328404515,False,22.026713319821283
0.75,18351.805451796346,3528.437856602456,0.6797191678984745,0.18892840788045057,False,34.03597729187459
0.75,23258.049332526516,3528.7865903068173,1.0284528722594586,0.23546398632079746,False,49.227044594241306
0.75,29475.94775756986,3529.198699559661,1.440562125102133,0.28133929972327526,False,66.29701012396254
0.75,37356.16361394183,3529.64805193156,1.8899144970012458,0.3246465582396649,False,84.1227958870586
0.75,47343.107384671224,3530.1100419832496,2.3519045486916186,0.3642209676902243,False,101.78539664414711
