window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
2000-2002,2001.0,3PM,fg3m,total,1.5564,0.4331,0.7075,2.4052
2003-2005,2004.0,3PM,fg3m,total,1.5278,0.4612,0.6239,2.4317
2006-2008,2007.0,3PM,fg3m,total,1.4035,0.3945,0.6302,2.1768
2009-2011,2010.0,3PM,fg3m,total,0.9812,0.3926,0.2118,1.7507
2012-2014,2013.0,3PM,fg3m,total,0.9282,0.3145,0.3117,1.5447
2015-2017,2016.0,3PM,fg3m,total,1.7716,0.3067,1.1706,2.3727
2018-2020,2019.0,3PM,fg3m,total,1.6786,0.2885,1.1132,2.244
2021-2023,2022.0,3PM,fg3m,total,1.6046,0.2565,1.1018,2.1073
2024-2026,2025.0,3PM,fg3m,total,1.9354,0.2544,1.4367,2.4341
1997-1999,1998.0,FT miss,ft_miss,total,-0.2347,0.2565,-0.7373,0.268
2000-2002,2001.0,FT miss,ft_miss,total,-0.4973,0.269,-1.0246,0.03
2003-2005,2004.0,FT miss,ft_miss,total,-0.3411,0.2493,-0.8297,0.1475
2006-2008,2007.0,FT miss,ft_miss,total,-0.3647,0.2437,-0.8424,0.1131
2009-2011,2010.0,FT miss,ft_miss,total,-0.05,0.2672,-0.5737,0.4738
2012-2014,2013.0,FT miss,ft_miss,total,-1.0578,0.2631,-1.5735,-0.542
2015-2017,2016.0,FT miss,ft_miss,total,-0.6881,0.2502,-1.1786,-0.1977
2018-2020,2019.0,FT miss,ft_miss,total,-0.1514,0.3163,-0.7713,0.4685
2021-2023,2022.0,FT miss,ft_miss,total,-1.0703,0.3112,-1.6802,-0.4604
2024-2026,2025.0,FT miss,ft_miss,total,0.1459,0.3603,-0.5602,0.8521
1997-1999,1998.0,FTM,ftm,total,0.7171,0.1181,0.4857,0.9486
2000-2002,2001.0,FTM,ftm,total,0.8903,0.119,0.657,1.1236
2003-2005,2004.0,FTM,ftm,total,0.83,0.1071,0.6201,1.0398
2006-2008,2007.0,FTM,ftm,total,0.6655,0.1052,0.4593,0.8717
2009-2011,2010.0,FTM,ftm,total,0.577,0.1056,0.37,0.7839
2012-2014,2013.0,FTM,ftm,total,0.8354,0.1123,0.6152,1.0556
2015-2017,2016.0,FTM,ftm,total,0.6581,0.1062,0.4499,0.8664
2018-2020,2019.0,FTM,ftm,total,0.8032,0.1169,0.574,1.0324
2021-2023,2022.0,FTM,ftm,total,0.8456,0.1123,0.6256,1.0656
2024-2026,2025.0,FTM,ftm,total,0.9517,0.1199,0.7167,1.1868
1997-1999,1998.0,ORB,orb,total,-0.1682,0.1731,-0.5074,0.171
2000-2002,2001.0,ORB,orb,total,0.22,0.1658,-0.1051,0.545
2003-2005,2004.0,ORB,orb,total,0.6005,0.17,0.2674,0.9337
2006-2008,2007.0,ORB,orb,total,0.3895,0.1763,0.0441,0.735
2009-2011,2010.0,ORB,orb,total,0.2608,0.1779,-0.0879,0.6096
2012-2014,2013.0,ORB,orb,total,0.2164,0.1595,-0.0962,0.5289
2015-2017,2016.0,ORB,orb,total,0.6584,0.1722,0.3208,0.996
2018-2020,2019.0,ORB,orb,total,0.5375,0.1821,0.1806,0.8943
2021-2023,2022.0,ORB,orb,total,0.5893,0.1636,0.2686,0.91
2024-2026,2025.0,ORB,orb,total,0.7577,0.1494,0.4649,1.0505
1997-1999,1998.0,PF,pf,total,0.0504,0.1244,-0.1935,0.2943
2000-2002,2001.0,PF,pf,total,-0.1241,0.1141,-0.3477,0.0996
2003-2005,2004.0,PF,pf,total,-0.0275,0.1187,-0.26,0.2051
2006-2008,2007.0,PF,pf,total,-0.2315,0.1204,-0.4675,0.0045
2009-2011,2010.0,PF,pf,total,-0.1155,0.1208,-0.3524,0.1213
2012-2014,2013.0,PF,pf,total,-0.298,0.1306,-0.554,-0.042
2015-2017,2016.0,PF,pf,total,-0.3627,0.143,-0.6429,-0.0825
2018-2020,2019.0,PF,pf,total,-0.2638,0.1563,-0.5701,0.0425
2021-2023,2022.0,PF,pf,total,-0.0756,0.1546,-0.3786,0.2275
2024-2026,2025.0,PF,pf,total,-0.0324,0.1592,-0.3444,0.2796
1997-1999,1998.0,STL,stl,total,2.2159,0.272,1.6828,2.7491
2000-2002,2001.0,STL,stl,total,1.8216,0.2812,1.2705,2.3726
2003-2005,2004.0,STL,stl,total,1.5581,0.2825,1.0044,2.1117
2006-2008,2007.0,STL,stl,total,2.1112,0.3032,1.5169,2.7054
2009-2011,2010.0,STL,stl,total,1.9463,0.305,1.3484,2.5442
2012-2014,2013.0,STL,stl,total,2.2612,0.2855,1.7016,2.8208
2015-2017,2016.0,STL,stl,total,2.48,0.2815,1.9282,3.0319
2018-2020,2019.0,STL,stl,total,1.7244,0.2937,1.1488,2.3
2021-2023,2022.0,STL,stl,total,1.6702,0.3321,1.0194,2.3211
2024-2026,2025.0,STL,stl,total,2.8699,0.2983,2.2854,3.4545
1997-1999,1998.0,TOV,tov,total,-1.6258,0.2516,-2.1189,-1.1326
2000-2002,2001.0,TOV,tov,total,-1.6179,0.24,-2.0883,-1.1475
2003-2005,2004.0,TOV,tov,total,-1.6825,0.2407,-2.1542,-1.2108
2006-2008,2007.0,TOV,tov,total,-1.27,0.2487,-1.7575,-0.7824
2009-2011,2010.0,TOV,tov,total,-1.5179,0.2507,-2.0093,-1.0265
2012-2014,2013.0,TOV,tov,total,-1.2788,0.2543,-1.7773,-0.7803
2015-2017,2016.0,TOV,tov,total,-1.3171,0.2396,-1.7868,-0.8475
2018-2020,2019.0,TOV,tov,total,-1.4396,0.2656,-1.9602,-0.9189
2021-2023,2022.0,TOV,tov,total,-1.3652,0.2471,-1.8496,-0.8808
2024-2026,2025.0,TOV,tov,total,-1.9117,0.2413,-2.3846,-1.4387
