window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
2003-2005,2004.0,FT miss,ft_miss,defense,-0.0203,0.188,-0.3889,0.3482
2006-2008,2007.0,FT miss,ft_miss,defense,0.0299,0.1819,-0.3266,0.3864
2009-2011,2010.0,FT miss,ft_miss,defense,0.2396,0.2,-0.1524,0.6316
2012-2014,2013.0,FT miss,ft_miss,defense,-0.5114,0.1995,-0.9023,-0.1204
2015-2017,2016.0,FT miss,ft_miss,defense,-0.4797,0.1886,-0.8493,-0.1102
2018-2020,2019.0,FT miss,ft_miss,defense,0.2199,0.2369,-0.2445,0.6842
2021-2023,2022.0,FT miss,ft_miss,defense,-0.2829,0.2321,-0.7377,0.172
2024-2026,2025.0,FT miss,ft_miss,defense,0.3005,0.27,-0.2287,0.8296
1997-1999,1998.0,FTM,ftm,defense,0.1626,0.0885,-0.0109,0.3362
2000-2002,2001.0,FTM,ftm,defense,0.261,0.089,0.0865,0.4355
2003-2005,2004.0,FTM,ftm,defense,0.1787,0.0799,0.0221,0.3354
2006-2008,2007.0,FTM,ftm,defense,0.0315,0.079,-0.1234,0.1864
2009-2011,2010.0,FTM,ftm,defense,0.0241,0.0794,-0.1316,0.1799
2012-2014,2013.0,FTM,ftm,defense,0.18,0.0841,0.0153,0.3448
2015-2017,2016.0,FTM,ftm,defense,0.1285,0.0793,-0.027,0.284
2018-2020,2019.0,FTM,ftm,defense,0.2015,0.0877,0.0296,0.3734
2021-2023,2022.0,FTM,ftm,defense,0.1632,0.0839,-0.0013,0.3277
2024-2026,2025.0,FTM,ftm,defense,0.2378,0.0896,0.0622,0.4133
1997-1999,1998.0,ORB,orb,defense,-0.3959,0.1283,-0.6474,-0.1444
2000-2002,2001.0,ORB,orb,defense,-0.2061,0.1235,-0.4481,0.036
2003-2005,2004.0,ORB,orb,defense,-0.0354,0.1261,-0.2825,0.2118
2006-2008,2007.0,ORB,orb,defense,-0.1092,0.1307,-0.3655,0.1471
2009-2011,2010.0,ORB,orb,defense,-0.2959,0.1315,-0.5536,-0.0382
2012-2014,2013.0,ORB,orb,defense,-0.2465,0.1183,-0.4785,-0.0146
2015-2017,2016.0,ORB,orb,defense,0.0296,0.1281,-0.2215,0.2807
2018-2020,2019.0,ORB,orb,defense,-0.1467,0.1347,-0.4107,0.1172
2021-2023,2022.0,ORB,orb,defense,-0.1726,0.1211,-0.4099,0.0647
2024-2026,2025.0,ORB,orb,defense,0.1115,0.1114,-0.1067,0.3298
1997-1999,1998.0,PF,pf,defense,0.3064,0.0913,0.1274,0.4854
2000-2002,2001.0,PF,pf,defense,0.1716,0.0843,0.0063,0.3369
2003-2005,2004.0,PF,pf,defense,0.2101,0.0873,0.0391,0.3812
2006-2008,2007.0,PF,pf,defense,0.0494,0.0884,-0.124,0.2227
2009-2011,2010.0,PF,pf,defense,0.0762,0.0886,-0.0975,0.2498
2012-2014,2013.0,PF,pf,defense,-0.0663,0.0959,-0.2542,0.1217
2015-2017,2016.0,PF,pf,defense,0.0709,0.1057,-0.1363,0.2781
2018-2020,2019.0,PF,pf,defense,-0.0062,0.1151,-0.2318,0.2194
2021-2023,2022.0,PF,pf,defense,0.0613,0.1146,-0.1633,0.2859
2024-2026,2025.0,PF,pf,defense,0.1185,0.1181,-0.1131,0.3501
1997-1999,1998.0,STL,stl,defense,1.6804,0.2019,1.2846,2.0761
2000-2002,2001.0,STL,stl,defense,1.5157,0.2109,1.1024,1.929
2003-2005,2004.0,STL,stl,defense,1.2464,0.2109,0.833,1.6598
2006-2008,2007.0,STL,stl,defense,1.2761,0.2247,0.8356,1.7165
2009-2011,2010.0,STL,stl,defense,1.5337,0.228,1.0867,1.9806
2012-2014,2013.0,STL,stl,defense,1.4835,0.2136,1.0649,1.9021
2015-2017,2016.0,STL,stl,defense,1.7509,0.2098,1.3398,2.162
2018-2020,2019.0,STL,stl,defense,1.4306,0.2193,1.0007,1.8605
2021-2023,2022.0,STL,stl,defense,1.0842,0.2481,0.5978,1.5705
2024-2026,2025.0,STL,stl,defense,1.9304,0.2215,1.4963,2.3644
1997-1999,1998.0,TOV,tov,defense,-0.7792,0.1871,-1.146,-0.4125
2000-2002,2001.0,TOV,tov,defense,-0.5611,0.1807,-0.9154,-0.2069
2003-2005,2004.0,TOV,tov,defense,-0.6899,0.1822,-1.0469,-0.3329
2006-2008,2007.0,TOV,tov,defense,-0.5277,0.1879,-0.8961,-0.1593
2009-2011,2010.0,TOV,tov,defense,-0.7084,0.1881,-1.0771,-0.3397
2012-2014,2013.0,TOV,tov,defense,-0.4437,0.1905,-0.8171,-0.0703
