lam,ratio,eff_def,internal,consensus,spread
3000.0,0.2872,861.6,0.4799195751284183,0.8368674209659899,2.2424291696636454
3000.0,0.5,1500.0,0.48132481205721955,0.8572066895899434,1.9471291953441952
6000.0,0.2872,1723.2,0.47967337101535956,0.8591789666887778,1.8577537274009668
3000.0,1.0,3000.0,0.48016207456247173,0.8767759243235905,1.5406853519748085
6000.0,0.5,3000.0,0.47885168285699176,0.8746624342010082,1.5316871785136454
12000.0,0.2872,3446.4,0.47546198812499024,0.8732547291237345,1.4418362711647248
18351.8,0.2872,5270.63696,0.4697565932658219,0.876943744323253,1.1940608192603688
6000.0,1.0,6000.0,0.4714107905591849,0.8857580472894925,1.1330538310246603
12000.0,0.5,6000.0,0.469491342700587,0.8816500422376798,1.1261267930052474
30000.0,0.2872,8616.0,0.459309212989393,0.8758273716285704,0.9320851240398479
18351.8,0.5,9175.9,0.45959230685170654,0.8789035301470791,0.9040780072675403
12000.0,1.0,12000.0,0.45327979844646876,0.8797667164604287,0.7828811978983534
50000.0,0.2872,14360.0,0.4430740483152612,0.8677894322121701,0.6993618078962334
30000.0,0.5,15000.0,0.44324397635206936,0.8699095880824025,0.6834630188911467
18351.8,1.0,18351.8,0.4379575094636062,0.8674770383075917,0.6079518175560094
50000.0,0.5,25000.0,0.42404255953047576,0.8512666682133797,0.49769353938545385
30000.0,1.0,30000.0,0.41859371492897174,0.8462051251594807,0.4433908900580929
50000.0,1.0,50000.0,0.39898267511314683,0.8238480955115507,0.31062532676592614
