lam,ratio,cp_total,cu_total,R_total,c_total,cp_off,cu_off,R_off,c_off,cp_def,cu_def,R_def,c_def
200.0,0.1,0.307168683853142,0.16187784302907457,0.5683150265110384,1.8975338323353619,0.24150417188782353,0.06289840146761402,0.6032087636803831,3.8395915675563304,0.36163772092955115,0.16084598596353905,0.5701420450244595,2.2483478139860327
261.08763106611656,0.1,0.30709160791367157,0.16418075347834327,0.5689154822231974,1.8704482797624593,0.24132684279064795,0.0647113812699417,0.6034122970491982,3.7292797349504845,0.36164289710198755,0.1613225438866157,0.5702143474932064,2.2417381253060666
340.83375547858265,0.1,0.3070182375183037,0.16697100890663497,0.5696236042161161,1.8387517661223383,0.2411245014785305,0.06699192486321962,0.603661072429372,3.599306960814234,0.36165022253983314,0.16193267393829364,0.5703071286222711,2.2333369402498984
444.93738902635585,0.1,0.3069580571788897,0.1703146731152418,0.5704400047816421,1.8022995409866387,0.24089699381808755,0.06984949046257871,0.6039606997048309,3.448801018056762,0.3616632376441677,0.1627122757944446,0.5704251493846952,2.2227163616164956
580.8382443681718,0.1,0.3069237168079664,0.17427728206685103,0.5713586172628419,1.761122925306085,0.24064495206130934,0.07341750800310051,0.604315759238117,3.2777597416020523,0.36168768019147757,0.1637075241303682,0.5705747244973219,2.209352820603702
758.2484062734396,0.1,0.30693048336677925,0.17892136865875888,0.5723648961390758,1.7154490023612607,0.24036985032933628,0.07785937584170999,0.6047291740311839,3.0872306351134133,0.36173163104773187,0.16497726584219474,0.5707639838012237,2.192615020021838
989.8464007679534,0.1,0.30699488882006637,0.18430408817450056,0.573434402117733,1.6656976622754087,0.2400740271906,0.08337639278266583,0.6052016486379713,2.879400501487179,0.36180519110456205,0.1665955033721387,0.5710029265068495,2.1717584435419406
1292.1832594791324,0.1,0.3071325232726313,0.19047589050780378,0.5745323929602622,1.6124482865197478,0.23976066545414873,0.09021796129294918,0.6057312597678607,2.6575713086179746,0.3619195938089857,0.16865391104507674,0.5713031807347486,2.145930631352238
1686.8653306034985,0.1,0.3073551140777425,0.1974817503378848,0.575615132449549,1.556372239722749,0.23943372785927594,0.09869417328585646,0.6063132261316371,2.426016854771997,0.3620857708765871,0.1712644473425209,0.5716774243617269,2.114191103261686
2202.0983654741444,0.1,0.3076672660343068,0.2053669187453888,0.5766334854532755,1.4981344995283716,0.2390978676163203,0.10919062885750178,0.6069398203532198,2.189728826714175,0.36231251742292636,0.1745622948115291,0.5721384948392154,2.0755485473773523
2874.703228081056,0.1,0.30806348808918194,0.2141890535535611,0.5775388438236526,1.4382783946152793,0.23875836075182363,0.12218509417115644,0.6076003463447717,1.9540710949354574,0.36260452698607204,0.17870953786630694,0.5726982956149431,2.029016085629058
3752.747279189005,0.1,0.3085263151141044,0.2240374702707868,0.5782905228703878,1.3771192592971107,0.23842113096771586,0.13826542058574864,0.6082811107853493,1.7243728038266317,0.362960661235445,0.18390010240102111,0.573366655604437,1.9736838451778353
4898.979485566359,0.1,0.3090262883365089,0.2350581456915936,0.578862789162391,1.3146801929679335,0.2380929307212643,0.1581481893511217,0.6089653772985582,1.5055052586953666,0.3633728398013648,0.19036643766692016,0.5741502695738853,1.9088072679972614
6395.314742640107,0.1,0.3095241464593742,0.2474807733684259,0.579249189943654,1.2506997705174616,0.2377816699981033,0.18269827849615197,0.6096334103033133,1.3014992366395588,0.36382583733695484,0.19838814280642378,0.5750517170106177,1.8339091852478102
8348.687880390582,0.1,0.3099748720812259,0.2616428255446352,0.5794623058727216,1.1847252888971171,0.2374967367952736,0.21295176751444816,0.6102628707234506,1.1152606976091906,0.3642980596019428,0.20830221062354928,0.5760683585131613,1.7488919513212196
10898.695706007875,0.1,0.31033257997231656,0.27800601581146234,0.5795283844811364,1.1162800886394393,0.23724898597139255,0.2501491151266894,0.6108299428931808,0.9484302427023836,0.3647631250706579,0.22051385167695192,0.5771907470278292,1.654150622723819
14227.57321796025,0.1,0.31055503788297767,0.2971624539769667,0.5794779229141317,1.0450682235483526,0.23705001513770899,0.29579233377948744,0.6113115201648857,0.8014068928318787,0.3651919465415284,0.23550611021026638,0.5784002022064254,1.5506686693414236
18573.216936484812,0.1,0.31060702508823035,0.3198298690888498,0.5793344129839353,0.9711632811941735,0.23691054041523862,0.3517468223186723,0.6116884277512805,0.6735257446067405,0.36555508521430746,0.2538458397104014,0.5796654628220964,1.440067269297574
24246.18605611949,0.1,0.31046250849186785,0.34683640280900946,0.5791037856294597,0.8951266533081551,0.23683815171716355,0.4204110962232587,0.6119490344049686,0.563348954974754,0.3658253859315781,0.27618326010461763,0.5809388309741362,1.3245747978824067
