subset,system,side,group,slope,se,z,mass,seasons
all,def3_p0,d,bench,1.0476019649279689,0.0297018613172406,1.6026593222404568,1.079140981890127,28.0
all,def3_p0,d,deep,1.1028290291419234,0.13901244362702117,0.7397109672988693,0.08249409747477744,28.0
all,def3_p0,d,starter,1.0877618746632227,0.018362389834838195,4.779436416098507,2.073896536673459,28.0
all,def3_p0,o,bench,0.8162615232657275,0.020362948716827367,-9.023176323301161,1.772961267742139,28.0
all,def3_p0,o,deep,1.1847688366431117,0.044905028887659126,4.114658006464175,0.2842710521826456,28.0
all,def3_p0,o,starter,1.0015243356818513,0.013489506979671924,0.11300158591032203,2.9864612237640378,28.0
all,mspi,d,bench,0.996798742163238,0.024740260836627607,-0.1293946679827455,1.3353438448453996,28.0
all,mspi,d,deep,0.9809649100994575,0.10110220341178416,-0.18827571762223144,0.12006562998981976,28.0
all,mspi,d,starter,1.0402016944321744,0.016598929068180165,2.4219450704949548,2.1982963285068,28.0
all,mspi,o,bench,0.9971956050928128,0.030464648782209232,-0.0920540698576809,1.2824471590771278,28.0
all,mspi,o,deep,2.0327693259822848,0.0804835527230261,12.832054389254273,0.17145545136990367,28.0
all,mspi,o,starter,1.198225355759548,0.017230264984541346,11.5044867816828,2.5586798398008384,28.0
all,spm,d,bench,0.952837461340707,0.02679747719900358,-1.7599618915263653,1.257112553594127,28.0
all,spm,d,deep,0.9995204220639596,0.10112003196349635,-0.004742660051902372,0.12405708305756888,28.0
all,spm,d,starter,1.0157269237003688,0.017085549082875767,0.9204810231197836,2.2259072376377125,28.0
all,spm,o,bench,0.7639671035807379,0.02147192483875762,-10.992628662392388,1.9009897010970902,28.0
all,spm,o,deep,1.2979991789309957,0.04583089504514811,6.502146175356953,0.3068968822312678,28.0
all,spm,o,starter,1.013719316341625,0.015286338601990664,0.8974887119037344,2.86574938649964,28.0
competitive,def3_p0,d,bench,1.1001243186876621,0.030879040250756357,3.242468608952627,1.0587744737946596,28.0
competitive,def3_p0,d,deep,1.1391182527588544,0.1567745590081083,0.8873777329627778,0.06891821047750309,28.0
competitive,def3_p0,d,starter,1.0987390500129932,0.018591856683061295,5.310876245240884,2.132944271987109,28.0
competitive,def3_p0,o,bench,0.8484765701329726,0.021366414789732748,-7.091663779729638,1.7127020996999751,28.0
competitive,def3_p0,o,deep,1.2023764872970368,0.05412654128519175,3.738951030155776,0.22297747344482444,28.0
competitive,def3_p0,o,starter,1.0067558031531394,0.013693633549447025,0.49335358133723445,3.0709335476278063,28.0
competitive,mspi,d,bench,1.0379236868368957,0.025731997121042217,1.4737949277121525,1.3072615267010754,28.0
competitive,mspi,d,deep,1.0138711987532323,0.11467767687320826,0.1209581422596202,0.0996153141451925,28.0
competitive,mspi,d,starter,1.0508150844838422,0.0167978185381116,3.0251002157542537,2.256972446856643,28.0
competitive,mspi,o,bench,1.050445900149042,0.03186975610097622,1.5828768814298146,1.2365829030957924,28.0
competitive,mspi,o,deep,2.0990205513585525,0.09679607878356773,11.353978024418941,0.1348467013394923,28.0
competitive,mspi,o,starter,1.2028368046493685,0.017476101094735293,11.606525022361735,2.6353410510662227,28.0
competitive,spm,d,bench,0.9988480390191383,0.027883412895831988,-0.04131348573308514,1.227979964768719,28.0
competitive,spm,d,deep,1.0963291919557563,0.11764832304063484,0.8187893330403436,0.10001514558966443,28.0
competitive,spm,d,starter,1.0263524412729697,0.017288788796821223,1.524250286278869,2.288286979657727,28.0
competitive,spm,o,bench,0.8154676128955755,0.02261612837745907,-8.159327008788267,1.8195291780593938,28.0
competitive,spm,o,deep,1.3637565673945677,0.055726148605938164,6.527574154941796,0.2383375193362189,28.0
competitive,spm,o,starter,1.0204287036008066,0.015514941625277686,1.316711599321985,2.9453660720942816,28.0
garbage time,def3_p0,d,bench,0.45797074373800856,0.10994008691864511,-4.930224010674917,1.4600332281062163,28.0
garbage time,def3_p0,d,deep,0.8662028417241048,0.3079780854771468,-0.43443726870567717,0.3331643644542777,28.0
garbage time,def3_p0,d,starter,0.30351793430563484,0.12767683379862851,-5.4550386704674585,0.9789820319940118,28.0
garbage time,def3_p0,o,bench,0.6372707004006328,0.07241011143783653,-5.009373586046297,2.8904143939164406,28.0
garbage time,def3_p0,o,deep,1.266735367864647,0.09095523781549515,2.932600411707195,1.4067363828785922,28.0
garbage time,def3_p0,o,starter,0.981722101457081,0.08644786249747267,-0.21143262557189665,1.443090474678019,28.0
garbage time,mspi,d,bench,0.46992590447711186,0.09209715892618389,-5.755596608009851,1.863616807023628,28.0
garbage time,mspi,d,deep,0.5993490523538906,0.2211336601110976,-1.811804441914552,0.4989659155813434,28.0
garbage time,mspi,d,starter,0.4068971608871529,0.11344659192422582,-5.228035757204564,1.1056763345318623,28.0
garbage time,mspi,o,bench,0.6900637377068386,0.11395335123214842,-2.719852105637087,2.139165886212088,28.0
garbage time,mspi,o,deep,2.196660630246687,0.16961896661114786,7.054993047976976,0.8449782154309075,28.0
garbage time,mspi,o,starter,1.2384893543562054,0.11315176580424918,2.107694499163083,1.1467098306264656,28.0
