feature,season,value,pd,side
ast,1998,-3.1097107542819855,-0.018154554975027118,O
ast,1998,-1.4757561594136348,-0.010049503342454597,O
ast,1998,3.3762431828221864,0.12476092480203288,O
ast,2004,-3.1097107542819855,-0.06333774361550547,O
ast,2004,-1.4757561594136348,-0.040957746127044815,O
ast,2004,3.3762431828221864,0.08511385377158559,O
ast,2010,-3.1097107542819855,-0.06607753066848827,O
ast,2010,-1.4757561594136348,-0.032806506042886534,O
ast,2010,3.3762431828221864,0.09326509385574387,O
ast,2016,-3.1097107542819855,-0.06576997790806699,O
ast,2016,-1.4757561594136348,-0.03249895328246526,O
ast,2016,3.3762431828221864,0.09357264661616516,O
ast,2022,-3.1097107542819855,-0.06505981952272959,O
ast,2022,-1.4757561594136348,-0.03178879489712784,O
ast,2022,3.3762431828221864,0.09933475292476657,O
ast,2025,-3.1097107542819855,-0.06403017721059462,O
ast,2025,-1.4757561594136348,-0.03075915258499288,O
ast,2025,3.3762431828221864,0.10036439523690152,O
stl,1998,-0.6031804372739988,-0.007835750392073876,O
stl,1998,-0.09826096117009331,0.027817101469876468,O
stl,1998,0.6126913886683466,0.030634852720766576,O
stl,2004,-0.6031804372739988,-0.04347802018084648,O
stl,2004,-0.09826096117009331,-0.007825168318896162,O
stl,2004,0.6126913886683466,0.009599795010667059,O
stl,2010,-0.6031804372739988,-0.04047394707291562,O
stl,2010,-0.09826096117009331,-0.003692554808219592,O
stl,2010,0.6126913886683466,0.015821425106583388,O
stl,2016,-0.6031804372739988,-0.03716151753046359,O
stl,2016,-0.09826096117009331,-0.003778590640571283,O
stl,2016,0.6126913886683466,0.0157353892742317,O
stl,2022,-0.6031804372739988,-0.03994706364570218,O
stl,2022,-0.09826096117009331,-0.0012771345013349257,O
stl,2022,0.6126913886683466,0.02174536838649234,O
stl,2025,-0.6031804372739988,-0.03891742133356721,O
stl,2025,-0.09826096117009331,-0.0002474921891999655,O
stl,2025,0.6126913886683466,0.022775010698627293,O
fg3m,1998,-1.495330422414403,-0.07151756205051578,O
fg3m,1998,-0.45774560572225065,-0.04182601615831022,O
fg3m,1998,1.4510899225672103,0.18945379014597952,O
fg3m,2004,-1.495330422414403,-0.10159622785988065,O
fg3m,2004,-0.45774560572225065,-0.07190468196767509,O
fg3m,2004,1.4510899225672103,0.1593751243366147,O
fg3m,2010,-1.495330422414403,-0.095722570072755,O
fg3m,2010,-0.45774560572225065,-0.06603102418054943,O
fg3m,2010,1.4510899225672103,0.16339670602796638,O
fg3m,2016,-1.495330422414403,-0.0954459348561906,O
fg3m,2016,-0.45774560572225065,-0.06575438896398503,O
fg3m,2016,1.4510899225672103,0.16367334124453078,O
fg3m,2022,-1.495330422414403,-0.08852228199769062,O
fg3m,2022,-0.45774560572225065,-0.05883073610548506,O
fg3m,2022,1.4510899225672103,0.1564498202978351,O
fg3m,2025,-1.495330422414403,-0.08749263968555566,O
fg3m,2025,-0.45774560572225065,-0.057801093793350106,O
fg3m,2025,1.4510899225672103,0.15747946260997006,O
orb,1998,-1.5376501589440918,-0.04766677064814931,O
orb,1998,-0.29165311284946016,0.02795674431490259,O
orb,1998,2.603017917457784,0.1428002473720591,O
orb,2004,-1.5376501589440918,-0.08345935406310549,O
orb,2004,-0.29165311284946016,-0.00935991255296222,O
orb,2004,2.603017917457784,0.11948903773078927,O
orb,2010,-1.5376501589440918,-0.07101713605681137,O
orb,2010,-0.29165311284946016,-0.004178361807098812,O
orb,2010,2.603017917457784,0.11735094315683657,O
orb,2016,-1.5376501589440918,-0.07317163129314926,O
orb,2016,-0.29165311284946016,-0.009079036873533173,O
orb,2016,2.603017917457784,0.1124502680904022,O
orb,2022,-1.5376501589440918,-0.06761475019537198,O
orb,2022,-0.29165311284946016,-0.008025913521944214,O
orb,2022,2.603017917457784,0.11350339144199117,O
orb,2025,-1.5376501589440918,-0.05855953347625998,O
orb,2025,-0.29165311284946016,-0.012702287782815878,O
orb,2025,2.603017917457784,0.10882701718111953,O
blk,1998,-0.7901365071910416,0.029980798885816652,O
blk,1998,-0.27012810203961324,0.019471130264644337,O
blk,1998,1.3143883098460596,-0.017841416443461936,O
blk,2004,-0.7901365071910416,0.005102354504419989,O
blk,2004,-0.27012810203961324,-0.005407314116752323,O
blk,2004,1.3143883098460596,-0.04994966408852852,O
blk,2010,-0.7901365071910416,0.010479865764338153,O
blk,2010,-0.27012810203961324,-2.980285683416092e-05,O
blk,2010,1.3143883098460596,-0.04648679591058355,O
blk,2016,-0.7901365071910416,0.011137126320818987,O
blk,2016,-0.27012810203961324,0.0022208894138403884,O
blk,2016,1.3143883098460596,-0.051409178481301165,O
blk,2022,-0.7901365071910416,0.01370511262786773,O
blk,2022,-0.27012810203961324,0.004788875720889131,O
blk,2022,1.3143883098460596,-0.048841192174252424,O
blk,2025,-0.7901365071910416,0.014734754940002691,O
blk,2025,-0.27012810203961324,0.00581851803302409,O
blk,2025,1.3143883098460596,-0.04781154986211746,O
