fg3m,fg3_miss,fg2m,fg2_miss,ftm,ft_miss,orb,drb,ast,tov,stl,blk,pf,season,Max_Shadow,Min_Shadow,Mean_Shadow,Median_Shadow
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.34045538934860853,0.7639684691601393,-0.347161496183813,1.4778751951836127,-0.2836368110776152,-0.42424107447911064,-0.3793152720581679,0.2615733012478604,0.7903647856195068,-0.08576389639420051,2.00037799645299,4.04512599950983,-0.500802734847297,-0.46292025145745636,-0.3765701074301159,-0.5159279436789945,-0.46535634438054796,-0.4855651129281035
-0.3103089484175418,0.7374566372169287,-0.23865143860691743,1.524240743023152,-0.2708620587437048,-0.30461722161012517,-0.5021537173379146,0.34629531020597687,0.6410034957533973,-0.22595560530427394,2.0581777450079137,4.02097633282602,-0.5308008046246182,-0.46892535512967665,-0.35708667523471194,-0.5694303596940434,-0.4625625081613299,-0.44932762924831027
-0.35336549595623146,0.8583585039409527,-0.3413784240809054,1.8421431922054439,-0.36898795029504544,-0.4108514958824668,-0.4889933831943247,0.49480480238386354,0.4496659270000606,-0.24914729546707953,2.109231446214334,3.8238873918012035,-0.523502436470177,-0.5650208232406073,-0.2342785373923899,-0.5685697515515343,-0.4483459970685014,-0.4682147819546435
-0.2468534676747105,0.7632837240005294,-0.4440543532714183,1.9396628865440453,-0.35324811308057713,-0.4355794228243338,-0.42692978627607786,0.5395350299232277,0.49673459674099174,-0.19563696819756007,2.0386775914791246,3.8176841577029528,-0.41150808841033404,-0.5647998492376177,-0.32740333015234696,-0.5718962056109875,-0.46549770981558863,-0.46780022220273904
-0.2072817114131531,0.5089999869891774,0.08234554342572392,0.688051880357302,-0.3600028474353655,-0.40249661582944324,-0.433895192836895,0.7984082741774693,0.9829471237103486,0.09731956235666847,2.0854434825144486,4.0955814357097085,-0.3955502310880249,-0.5137008290008133,-0.37737417423072306,-0.6059863058076008,-0.5018692758312249,-0.5170387477046128
-0.4212164443950641,0.7740787362360471,0.13154936777388693,0.5981793980291176,-0.31297035446551746,-0.530523270277016,-0.3030121896950682,0.9378019936381788,0.7480923878301619,-0.12809383617722725,2.0697992732082584,4.0887669645459335,-0.1668870758544355,-0.5937501672771491,-0.2991544894829185,-0.6028817114608768,-0.49227248450857924,-0.5251399815782185
-0.33938223428456765,0.7017742897094948,0.15210684095718538,0.7344338096039079,-0.39663873603055,-0.5696324741018344,-0.3594415547685643,0.8973247249316485,0.6987075770948594,-0.13771559812818945,2.101390684232386,4.084467231431576,-0.19840891340897124,-0.5186234174469694,-0.27479532394185574,-0.6352450429170546,-0.48931158784224404,-0.5341920988037159
-0.4102520110387582,0.7172262700912835,0.2836890301167381,0.4492216322661251,-0.4394010113964549,-0.5375571858654448,-0.28714965217163485,0.6642941818637744,0.9502431827249739,-0.0036666460004454505,2.1004840871399217,4.119561452851612,-0.21864313190400247,-0.6060357632929662,-0.3998996152205418,-0.5877297131536819,-0.48442960252748046,-0.4667348032205519
-0.27569670313602085,0.649682052523332,0.02175581683168254,0.8246795204484595,-0.31369456248497973,-0.4808446332519703,-0.4441607067993634,0.6047113306057602,0.6200782262357205,-0.16699826441863072,2.077570666532231,4.2133164385704776,-0.25616060263509294,-0.47894675755462635,-0.3350099075047282,-0.5616710006775194,-0.4710922729619272,-0.4619710449981702
-0.24291276311882204,0.6362239657732218,-0.4188230474958226,1.8015527514934304,-0.394273626951496,-0.41757160089134304,-0.4568527905761677,0.4172133007756828,0.4431841768234199,-0.23810211883627183,1.820777666979841,3.8031933725626206,-0.47082870324494525,,-0.17623311737861763,-0.5485573426386818,-0.4832908140994885,-0.5074200326815219
-0.49229789122940515,0.8323559079639806,-0.32239838551944755,1.8295870760843587,-0.3511763796090444,-0.4568765859909196,-0.4594079088333163,0.4443280915862781,0.611015347754675,-0.256524189629622,1.7460771288794965,3.7378107274472936,-0.5459546604936554,,-0.3682953369080123,-0.5578303351186692,-0.4858875598777441,-0.5123378718144127
-0.26617195709499736,0.5929929044477262,-0.05031948859187716,0.7579507190265845,-0.3363879004136485,-0.38640768071564296,-0.47400311652087346,0.5684484527536654,0.6866675207518758,-0.21117206744231265,2.0261630473293764,4.013206845998659,-0.3781462309327571,,-0.41372063070797954,-0.5822798710886902,-0.5032939268150597,-0.5071039185470596
-0.45472935453571556,0.7975041966274126,-0.2966333000403168,1.3808133388774495,-0.3575462044044378,-0.2929079035465011,,0.20841917915236077,0.4527408311206894,-0.20646702482797175,1.9196965917963733,3.65885456693715,-0.5192651419589206,,-0.4533168010775736,-0.5775074298658663,-0.5242066479331308,-0.5249804771833226
-0.438851713220527,0.7463660477646877,-0.2834025454403686,1.270081299156205,-0.4983178466800475,-0.46756392064653207,,0.2753064591736025,0.616435907134294,-0.1060545354356887,1.955323596103284,3.6480016358231993,-0.5565145789665312,,-0.45112974296047087,-0.5985083925571123,-0.5134008170637979,-0.5105488627774142
-0.508415725937846,0.8644960090355792,0.18362814417867446,0.45292914436151216,-0.401394473622475,-0.5556182717536324,,0.7021516223660872,0.4426263642373301,-0.17945515880537188,1.8698139923483093,3.8102147605744037,-0.25295285123109207,,-0.44438059340619734,-0.6296368912842415,-0.5356686296459566,-0.5243490979665955
-0.4890005009946275,0.8005837087347043,-0.3058013172980934,1.3680794587428566,-0.42512890864135666,-0.4724713115154653,,0.2439324619421257,0.5425405050396757,-0.2042093564960029,1.8528307125497328,3.6776199088231034,-0.6084729669947396,,-0.37804557162062924,-0.592804826414567,-0.49837519949099307,-0.5081093668122867
-0.4670090719880249,0.6935302963485129,-0.06147334805167601,0.7225825479599104,-0.3929264820923179,-0.5314738678978244,,0.7868746184555303,0.5814248059634997,-0.13655255475310274,1.8986652656627403,3.74622222984792,-0.23399786612013226,,-0.46737970255248873,-0.6303443107426342,-0.5504888811112529,-0.5633516145109353
-0.33867351395234446,0.6853497127683187,-0.3245213348088802,1.38013968892999,-0.37384287314089365,-0.4035296719326933,,0.27448886899009994,0.2637130846118604,-0.18921276884181176,1.871333797998025,3.7485640014818644,-0.5678630052779606,,-0.44171717639925306,-0.5706848608605624,-0.5021621655687979,-0.5030834426368758
-0.45255381603691497,0.7297231717640359,-0.45388474066479584,1.6126185884277047,-0.4507504094356049,-0.49097280365134593,,0.37441015746979417,0.6148251989343854,-0.3055409077933331,1.8120731706765183,3.569292088836646,-0.5501438091881471,,-0.2876948633769104,-0.5779751500508394,-0.5007579907782453,-0.5061397244003578
-0.3930198623781345,0.43138553656006656,-0.14086394595594443,0.7705403863783498,-0.4476103454709035,-0.46322797187318016,,0.6487010628541309,0.684946544116487,-0.09234917674773695,1.9171555494884533,3.7907742236772526,-0.4288997466978836,,-0.2798706958915006,-0.6744815922234461,-0.5231276878292467,-0.5736198739861716
-0.2962359673872014,0.47079905318783555,-0.07393643270281916,0.7063883888214402,-0.3947286891258698,-0.49702625220873703,,0.6504955035012604,0.5565041948518759,-0.19540839511214345,1.9462708151829975,3.830746410093319,-0.3316344989706075,,-0.4085581503675545,-0.6314594976610569,-0.5310195108442789,-0.5344246201028566
-0.40453647769185036,0.5342980370865923,-0.15638714678014434,0.6322833140395628,-0.43422024472740983,,,0.6092771879744133,0.7151203856027128,-0.16955329493749002,1.7615042131415073,3.6143768012844735,-0.33784101409779105,,-0.4655891983743936,-0.6860732788194889,-0.5785747055358706,-0.5865935807437977
-0.5286256318624104,0.551460889227026,-0.3357727143973874,1.3900931080177672,-0.40218196346129775,,,0.16652509463014833,0.5140062237953507,-0.2172295770823271,1.8928024744672827,3.4321478970016233,-0.5718895615439492,,-0.4481097648360255,-0.618470208306857,-0.5355760217083477,-0.534479493565742
-0.49868828764285217,0.6964754135312532,-0.37368978533044517,1.3444381776273566,-0.3556987335606967,,,0.1824418091201992,0.4241169153875675,-0.25098666621596116,1.7872387715091813,3.4961457236796436,-0.5975610489783352,,-0.4232844724737734,-0.6175184993970146,-0.532202935375174,-0.5321574511828118
-0.4865481447230347,0.6504766674590727,-0.35369895698430226,1.4391092349286259,-0.44913290798078453,,,0.32053510454421663,0.2808721572720675,-0.3329907560883254,1.8058440554461697,3.45998777441152,-0.480078210908201,,-0.42889309398944225,-0.6702576654956203,-0.5322160015797296,-0.5431025100778386
