side,feature,beta,se,run,window,window_mid,first_season,last_season,lam,label,sign_convention
D,fg3m,-0.36929325651688794,0.19275471649562498,lam_x3,1997-1999,1998.0,1997,1999,21341.4,3PM (defense),D flipped: positive = good on both sides
D,fg3_miss,-0.024629298263960254,0.11469586149776137,lam_x3,1997-1999,1998.0,1997,1999,21341.4,3P miss (defense),D flipped: positive = good on both sides
D,fg2m,0.2425121816669753,0.06930340425417882,lam_x3,1997-1999,1998.0,1997,1999,21341.4,2PM (defense),D flipped: positive = good on both sides
D,fg2_miss,-0.36146797763531113,0.05878155710247394,lam_x3,1997-1999,1998.0,1997,1999,21341.4,2P miss (defense),D flipped: positive = good on both sides
D,ftm,0.075052260502982,0.06444924680405076,lam_x3,1997-1999,1998.0,1997,1999,21341.4,FTM (defense),D flipped: positive = good on both sides
D,ft_miss,0.020682981752459903,0.14384564725146223,lam_x3,1997-1999,1998.0,1997,1999,21341.4,FT miss (defense),D flipped: positive = good on both sides
D,orb,-0.2643315413188556,0.09063563703419512,lam_x3,1997-1999,1998.0,1997,1999,21341.4,ORB (defense),D flipped: positive = good on both sides
D,drb,0.6409456940686187,0.05933315049038143,lam_x3,1997-1999,1998.0,1997,1999,21341.4,DRB (defense),D flipped: positive = good on both sides
D,ast,0.12381446916335132,0.05080767152169746,lam_x3,1997-1999,1998.0,1997,1999,21341.4,AST (defense),D flipped: positive = good on both sides
D,tov,-0.6954345150311475,0.13404878548018243,lam_x3,1997-1999,1998.0,1997,1999,21341.4,TOV (defense),D flipped: positive = good on both sides
D,stl,1.3745926002290192,0.15315973252739148,lam_x3,1997-1999,1998.0,1997,1999,21341.4,STL (defense),D flipped: positive = good on both sides
D,blk,0.654448770973466,0.10281431470212367,lam_x3,1997-1999,1998.0,1997,1999,21341.4,BLK (defense),D flipped: positive = good on both sides
D,pf,0.27437034511842096,0.06650420913174616,lam_x3,1997-1999,1998.0,1997,1999,21341.4,PF (defense),D flipped: positive = good on both sides
