lam,ratio,n,corr_off,corr_def,corr_total,alpha,sd_rating
200.0,0.1,2133,0.5425594761035435,0.5340566552652732,0.5414557802479293,0.44686343786944255,3.9302835136163723
261.08763106611656,0.1,2133,0.5458382597706739,0.5343746716296468,0.5432276246814928,0.45167311207320193,3.9094800422744806
340.83375547858265,0.1,2133,0.5496903387256923,0.534779616815951,0.5452940587794114,0.457499445760022,3.8846564827036505
444.93738902635585,0.1,2133,0.5541396432485531,0.5352913936000878,0.5476553227716533,0.4645018262380616,3.855388649256125
580.8382443681718,0.1,2133,0.5591812467866362,0.5359344766035897,0.5502955182134593,0.47284652829178797,3.821319218228194
758.2484062734396,0.1,2133,0.5647712789040532,0.5367387049310177,0.553179947432,0.4827005420788835,3.7821976246195455
989.8464007679534,0.1,2133,0.5708173348152458,0.5377398418581729,0.5562538967358145,0.49422297018147143,3.737921386203777
1292.1832594791324,0.1,2133,0.5771713677657839,0.538979659212121,0.5594436924705734,0.5075546250322279,3.6885716164823537
1686.8653306034985,0.1,2133,0.5836279816189683,0.5405052568401667,0.5626607034853719,0.5228073950196601,3.634433182705133
2202.0983654741444,0.1,2133,0.5899317356362702,0.5423673015293026,0.5658084258860075,0.5400556849716522,3.575990616365009
2874.703228081056,0.1,2133,0.5957966153913175,0.5446168424887516,0.56879173294574,0.559332120220664,3.5138962564539415
3752.747279189005,0.1,2133,0.6009382074423534,0.5473002978199109,0.5715259771926982,0.5806281591076056,3.4489167560962626
4898.979485566359,0.1,2133,0.605114255897224,0.5504521040129232,0.5739425697928666,0.6038973237915944,3.3818743072202366
6395.314742640107,0.1,2133,0.6081639504762403,0.5540844568752186,0.5759878549471509,0.6290554892141612,3.3136039822998056
8348.687880390582,0.1,2133,0.6100338381227434,0.5581737545970598,0.5776140605960424,0.655971049931701,3.2449438474139694
10898.695706007875,0.1,2133,0.6107813963047523,0.5626441172197818,0.5787644524510549,0.6844399539439094,3.176759726292794
14227.57321796025,0.1,2133,0.6105554284043796,0.5673500447837162,0.5793583129989949,0.7141475704629671,3.109987005634088
18573.216936484812,0.1,2133,0.6095611495390263,0.5720629359102077,0.5792834330898521,0.744629787595685,3.045656869461659
24246.18605611949,0.1,2133,0.6080221352201494,0.5764691054730212,0.5784030618017758,0.7752552374725518,2.984873019638172
31651.896398902696,0.1,2133,0.6061494985099047,0.5801882482567462,0.5765800150034697,0.8052523850045603,2.9287216729381664
41319.593247698205,0.1,2133,0.6041230858835488,0.5828182621334196,0.5737135505887383,0.8337933697975839,2.878128109738992
53940.17358828521,0.1,2133,0.6020839870306031,0.5840031354957731,0.5697773579539153,0.8601213753317376,2.833703750825108
70415.56070730239,0.1,2133,0.600134730879302,0.5835073795983693,0.5648438117575684,0.8836814057116419,2.7956413184550577
91923.1596763094,0.1,2133,0.5983433775191009,0.5812709921481028,0.5590836936369652,0.9042042776589705,2.7637015038322623
120000.0,0.1,2133,0.5967490281573948,0.5774222882310523,0.5527407574010503,0.921711513037403,2.7372978755169495
200.0,0.18,2133,0.5425671483701268,0.5350079275474741,0.5418273816617876,0.44881668399042374,3.9218929473309796
261.08763106611656,0.18,2133,0.545839735564428,0.5355792131413969,0.5436871255922098,0.45414305274621897,3.898954736814677
340.83375547858265,0.18,2133,0.5496853548925125,0.5362965316594852,0.5458622662560656,0.4606311444776885,3.8715052534600285
444.93738902635585,0.18,2133,0.5541278742989815,0.537190382463615,0.5483577817872439,0.4684812405204556,3.8390227392359364
580.8382443681718,0.18,2133,0.5591621155747597,0.5382963211071293,0.5511632479669277,0.4779102114202136,3.8010446422431112
758.2484062734396,0.18,2133,0.5647438328617742,0.5396549394306194,0.5542497662594099,0.4891451209931999,3.757217598629035
989.8464007679534,0.18,2133,0.5707802545728234,0.5413111119863531,0.5575676582589705,0.5024127255667449,3.7073553881609413
1292.1832594791324,0.18,2133,0.5771231324538078,0.5433121642918182,0.561045403239657,0.5179245680601586,3.651497629159495
1686.8653306034985,0.18,2133,0.5835671641440144,0.5457045835758002,0.5645902965366397,0.5358582020609888,3.589957844665846
