window,side,n,share_mean,share_sd,gs_pct_mean,gs_pct_sd,age_mean,age_sd,apm_mean,apm_sd,spm_mean,spm_sd,u_mean,u_sd,rapm1_mean,rapm1_sd
1997-1999,D,604,0.5128282018000995,0.1798223750581395,0.6357866886177275,0.3422129709060831,28.126079758337703,4.11281042368377,-0.663396182191985,3.15908470285516,-4.093689614225275e-17,0.7516251577860128,-0.17427419566437713,1.2818420111177704,-0.1742741956643771,1.5329271616084046
1997-1999,O,604,0.5130023559600686,0.17973625287983788,0.6361855740292711,0.34209645279701834,28.124189501630756,4.1122557776857604,1.6140835044356574,3.083096732126944,1.4327913649788462e-16,1.8070350814363592,-0.014948249152347546,0.6220765534141307,-0.014948249152347442,1.8614436133436778
2000-2002,D,597,0.5076616805674531,0.1841908414372948,0.6290960724068613,0.3456233827338683,28.041858941580468,4.340842934606454,-0.43639311253808516,3.0415995900280346,0.0,0.7809014658994285,-0.17013816974426502,1.2800158781087019,-0.17013816974426513,1.4733015873262802
2000-2002,O,597,0.5078904028435872,0.18408698441554977,0.6296185797841538,0.3454585674857865,28.04017701694009,4.34031134101388,1.7366094433658137,3.1085926189743653,3.497536328789282e-17,1.9015239455473445,-0.005514005763293246,0.662202549031025,-0.005514005763293196,1.9395771342194537
2003-2005,D,597,0.5056510434985562,0.1766539823387803,0.6313447027951767,0.3357846945341666,27.460665371155226,4.111474227952635,-0.41463577456288914,2.9555048193794025,-6.118565410692894e-17,0.7103280708801918,-0.10844172306097703,1.2390562239322243,-0.10844172306097709,1.4224460073407341
2003-2005,O,597,0.505882487003114,0.1765664150164394,0.631878018366117,0.3356366229840388,27.458704368327002,4.111251227300594,1.6990274210799854,3.1571729110854863,-1.0488969275473531e-16,1.781319526253504,0.012652266128285012,0.680133046863256,0.012652266128284904,1.900708763002769
2006-2008,D,614,0.5024681721638871,0.1751309197748444,0.6279559006036012,0.34216215056930704,27.086456545484243,3.855969568881903,-0.6217365083425704,2.898055875335988,6.783832933792608e-17,0.7501435281706681,-0.1258552937500002,1.176364135503071,-0.12585529375000015,1.4151647718000555
2006-2008,O,614,0.5026773482441842,0.17506052721473628,0.6283831794848329,0.34206162335558266,27.084918156019278,3.8552901167976406,1.6558799102343953,3.246432774295436,-1.695958233448152e-16,1.7703432957973932,0.007236260490875521,0.6641000477001019,0.007236260490875389,1.8950843700130109
2009-2011,D,593,0.4949910813851025,0.1677865882055343,0.6214613104778685,0.34260930011769414,27.031326398892755,4.053368286225716,-0.4495274131372733,2.8427506301689047,-8.453866541395606e-17,0.7618703638311737,-0.14485608672493902,1.1961080682994896,-0.14485608672493913,1.3800135743167103
2009-2011,O,593,0.4952244358969994,0.1676878710768224,0.6219367013291219,0.3424830615878106,27.030514151100963,4.0533836364196745,1.556491044557485,2.8199045315822917,6.763093233116485e-17,1.690387324680623,-0.012098026379502008,0.6363037211043046,-0.012098026379501945,1.744618212385609
