candidate,n,total,offense,defense
"1. RAPM, no prior",475,0.7570769276298376,0.7952901620672963,0.8591789666887778
"2. box score, team-priced (no on-court term)",475,0.6694295128158497,0.8293752613000618,0.5063951685402834
"3. box score, player-priced (no on-court term)",475,0.7071263599244835,0.828058704813079,0.49973098930135873
"4. prior-informed RAPM, team-priced prior",475,0.7859799229227376,0.8677411430262936,0.7854282384526898
"5. prior-informed RAPM, player-priced prior",475,0.8440200728049201,0.8842447170062844,0.8461662509673026
6. prior-informed RAPM + boosted correction (ships today),475,0.7865392848000364,0.8515834094130929,0.7719076935867092
