held_out,k,train,method,lam,n,mse,base,calib,calib_side,scale,scale_off,scale_def,covered,tg,tg_base,tg_n
2022,4,"2020,2021,2023,2024","1 RAPM, no prior",18351.8,242701.0,3950.52307,3966.43802,3950.28515,3949.58826,1.13813,1.4063,0.94084,0.9157,130.41173,138.71505,242701.0
2022,4,"2020,2021,2023,2024","2 PI-RAPM, team-priced",18351.8,242701.0,3944.15075,3966.43802,3942.89308,3942.81733,0.81227,0.78396,0.87175,0.9157,129.18928,138.71505,242701.0
2022,4,"2020,2021,2023,2024",3 hybrid,18351.8,242701.0,3945.31922,3966.43802,3944.79045,3944.54743,0.86484,0.82032,1.01571,0.9157,130.04803,138.71505,242701.0
2022,4,"2020,2021,2023,2024",4 hybrid + xPTS(ft),18351.8,242701.0,3945.15404,3966.43802,3944.69358,3944.42181,0.87297,0.82651,1.0349,0.9157,129.93723,138.71505,242701.0
2023,2,"2022,2024","1 RAPM, no prior",18351.8,245589.0,3867.73084,3881.90681,3867.59081,3865.86257,1.10975,1.66816,0.85559,0.95547,114.16729,121.37684,245589.0
2023,2,"2022,2024","2 PI-RAPM, team-priced",18351.8,245589.0,3861.57137,3881.90681,3859.53846,3859.528,0.76836,0.77927,0.74677,0.95547,114.21883,121.37684,245589.0
2023,2,"2022,2024",3 hybrid,18351.8,245589.0,3862.5728,3881.90681,3861.56791,3861.55229,0.81815,0.80609,0.85341,0.95547,113.61151,121.37684,245589.0
2023,2,"2022,2024",4 hybrid + xPTS(ft),18351.8,245589.0,3862.27326,3881.90681,3861.35569,3861.33741,0.82556,0.8125,0.86387,0.95547,113.34889,121.37684,245589.0
2023,4,"2021,2022,2024,2025","1 RAPM, no prior",18351.8,245589.0,3865.20326,3881.90681,3865.16076,3864.23932,1.05305,1.33605,0.84521,0.97588,113.55087,121.37684,245589.0
2023,4,"2021,2022,2024,2025","2 PI-RAPM, team-priced",18351.8,245589.0,3861.06657,3881.90681,3859.13726,3859.12907,0.77454,0.78423,0.75532,0.97588,114.67486,121.37684,245589.0
2023,4,"2021,2022,2024,2025",3 hybrid,18351.8,245589.0,3861.83005,3881.90681,3860.77978,3860.77579,0.81769,0.81132,0.83449,0.97588,113.82055,121.37684,245589.0
2023,4,"2021,2022,2024,2025",4 hybrid + xPTS(ft),18351.8,245589.0,3861.53667,3881.90681,3860.557,3860.55396,0.82358,0.81797,0.83821,0.97588,113.64773,121.37684,245589.0
2024,2,"2023,2025","1 RAPM, no prior",18351.8,243631.0,3863.54742,3883.1,3862.23223,3861.39101,1.3352,1.63935,1.10582,0.91958,127.00344,139.29091,243631.0
2024,2,"2023,2025","2 PI-RAPM, team-priced",18351.8,243631.0,3851.68337,3883.1,3851.04761,3851.0025,0.87655,0.85648,0.92188,0.91958,122.19312,139.29091,243631.0
2024,2,"2023,2025",3 hybrid,18351.8,243631.0,3855.20722,3883.1,3854.99893,3854.74535,0.92073,0.88178,1.08149,0.91958,123.80808,139.29091,243631.0
2024,2,"2023,2025",4 hybrid + xPTS(ft),18351.8,243631.0,3855.09557,3883.1,3854.92913,3854.61462,0.92862,0.88594,1.11198,0.91958,123.78045,139.29091,243631.0
2024,4,"2022,2023,2025,2026","1 RAPM, no prior",18351.8,243631.0,3860.94787,3883.1,3859.97354,3859.16047,1.25827,1.51931,1.06359,0.94231,125.64361,139.29091,243631.0
2024,4,"2022,2023,2025,2026","2 PI-RAPM, team-priced",18351.8,243631.0,3851.02942,3883.1,3850.65878,3850.65482,0.90343,0.89703,0.91609,0.94231,121.55523,139.29091,243631.0
2024,4,"2022,2023,2025,2026",3 hybrid,18351.8,243631.0,3853.53493,3883.1,3853.45585,3853.32525,0.95089,0.91835,1.04761,0.94231,122.67014,139.29091,243631.0
2024,4,"2022,2023,2025,2026",4 hybrid + xPTS(ft),18351.8,243631.0,3853.4621,3883.1,3853.41224,3853.24479,0.96063,0.9242,1.07274,0.94231,122.67996,139.29091,243631.0
2025,2,"2024,2026","1 RAPM, no prior",18351.8,244700.0,4004.22681,4023.03227,4003.98818,4001.21578,1.12605,1.80006,0.83853,0.94376,126.42621,137.17239,244700.0
2025,2,"2024,2026","2 PI-RAPM, team-priced",18351.8,244700.0,3993.50335,4023.03227,3991.99541,3991.78579,0.81939,0.86914,0.73546,0.94376,121.5502,137.17239,244700.0
2025,2,"2024,2026",3 hybrid,18351.8,244700.0,3993.59651,4023.03227,3993.34386,3993.29775,0.91554,0.93826,0.86313,0.94376,121.13371,137.17239,244700.0
2025,2,"2024,2026",4 hybrid + xPTS(ft),18351.8,244700.0,3993.50469,4023.03227,3993.29282,3993.24888,0.92217,0.94424,0.87036,0.94376,120.94876,137.17239,244700.0
2025,4,"2022,2023,2024,2026","1 RAPM, no prior",18351.8,244700.0,4001.80593,4023.03227,4001.68487,3998.81032,1.08144,1.61808,0.79076,0.95782,125.58228,137.17239,244700.0
2025,4,"2022,2023,2024,2026","2 PI-RAPM, team-priced",18351.8,244700.0,3994.74755,4023.03227,3993.2125,3992.9139,0.81507,0.87636,0.71985,0.95782,123.0303,137.17239,244700.0
2025,4,"2022,2023,2024,2026",3 hybrid,18351.8,244700.0,3994.98666,4023.03227,3994.47462,3994.36228,0.88191,0.91742,0.80747,0.95782,122.89104,137.17239,244700.0
2025,4,"2022,2023,2024,2026",4 hybrid + xPTS(ft),18351.8,244700.0,3994.87843,4023.03227,3994.42831,3994.32499,0.88854,0.92235,0.8161,0.95782,122.64633,137.17239,244700.0
