window,window_mid,feature_i,feature_j,corr,sd_i
2003-2005,2004.0,tov,stl,0.2125,0.7915
2003-2005,2004.0,tov,blk,-0.0835,0.7915
2003-2005,2004.0,tov,pf,-0.0695,0.7915
2003-2005,2004.0,stl,fg3m,0.2243,0.5324
2003-2005,2004.0,stl,fg3_miss,0.2797,0.5324
2003-2005,2004.0,stl,fg2m,-0.1186,0.5324
2003-2005,2004.0,stl,fg2_miss,-0.0414,0.5324
2003-2005,2004.0,stl,ftm,0.0324,0.5324
2003-2005,2004.0,stl,ft_miss,-0.0938,0.5324
2003-2005,2004.0,stl,orb,-0.314,0.5324
2003-2005,2004.0,stl,drb,-0.2485,0.5324
2003-2005,2004.0,stl,ast,0.4417,0.5324
2003-2005,2004.0,stl,tov,0.2125,0.5324
2003-2005,2004.0,stl,stl,1.0,0.5324
2003-2005,2004.0,stl,blk,-0.2894,0.5324
2003-2005,2004.0,stl,pf,-0.2167,0.5324
2003-2005,2004.0,blk,fg3m,-0.4644,1.0801
2003-2005,2004.0,blk,fg3_miss,-0.4901,1.0801
2003-2005,2004.0,blk,fg2m,0.2146,1.0801
2003-2005,2004.0,blk,fg2_miss,0.0561,1.0801
2003-2005,2004.0,blk,ftm,0.0508,1.0801
2003-2005,2004.0,blk,ft_miss,0.4498,1.0801
2003-2005,2004.0,blk,orb,0.6454,1.0801
2003-2005,2004.0,blk,drb,0.6551,1.0801
2003-2005,2004.0,blk,ast,-0.4603,1.0801
2003-2005,2004.0,blk,tov,-0.0835,1.0801
2003-2005,2004.0,blk,stl,-0.2894,1.0801
2003-2005,2004.0,blk,blk,1.0,1.0801
2003-2005,2004.0,blk,pf,0.3745,1.0801
2003-2005,2004.0,pf,fg3m,-0.4799,1.4923
2003-2005,2004.0,pf,fg3_miss,-0.4918,1.4923
2003-2005,2004.0,pf,fg2m,-0.1126,1.4923
2003-2005,2004.0,pf,fg2_miss,-0.142,1.4923
2003-2005,2004.0,pf,ftm,-0.2039,1.4923
2003-2005,2004.0,pf,ft_miss,0.1668,1.4923
2003-2005,2004.0,pf,orb,0.5373,1.4923
2003-2005,2004.0,pf,drb,0.3105,1.4923
2003-2005,2004.0,pf,ast,-0.4759,1.4923
2003-2005,2004.0,pf,tov,-0.0695,1.4923
2003-2005,2004.0,pf,stl,-0.2167,1.4923
2003-2005,2004.0,pf,blk,0.3745,1.4923
2003-2005,2004.0,pf,pf,1.0,1.4923
2006-2008,2007.0,fg3m,fg3m,1.0,1.1966
2006-2008,2007.0,fg3m,fg3_miss,0.9615,1.1966
2006-2008,2007.0,fg3m,fg2m,-0.3817,1.1966
2006-2008,2007.0,fg3m,fg2_miss,-0.2652,1.1966
2006-2008,2007.0,fg3m,ftm,-0.0593,1.1966
2006-2008,2007.0,fg3m,ft_miss,-0.4318,1.1966
2006-2008,2007.0,fg3m,orb,-0.6524,1.1966
2006-2008,2007.0,fg3m,drb,-0.468,1.1966
2006-2008,2007.0,fg3m,ast,0.2461,1.1966
2006-2008,2007.0,fg3m,tov,-0.1219,1.1966
2006-2008,2007.0,fg3m,stl,0.1138,1.1966
2006-2008,2007.0,fg3m,blk,-0.4671,1.1966
2006-2008,2007.0,fg3m,pf,-0.4215,1.1966
2006-2008,2007.0,fg3_miss,fg3m,0.9615,1.9473
2006-2008,2007.0,fg3_miss,fg3_miss,1.0,1.9473
2006-2008,2007.0,fg3_miss,fg2m,-0.3816,1.9473
2006-2008,2007.0,fg3_miss,fg2_miss,-0.2379,1.9473
2006-2008,2007.0,fg3_miss,ftm,-0.0486,1.9473
2006-2008,2007.0,fg3_miss,ft_miss,-0.41,1.9473
2006-2008,2007.0,fg3_miss,orb,-0.675,1.9473
2006-2008,2007.0,fg3_miss,drb,-0.4867,1.9473
2006-2008,2007.0,fg3_miss,ast,0.28,1.9473
2006-2008,2007.0,fg3_miss,tov,-0.0873,1.9473
2006-2008,2007.0,fg3_miss,stl,0.1764,1.9473
2006-2008,2007.0,fg3_miss,blk,-0.4805,1.9473
2006-2008,2007.0,fg3_miss,pf,-0.4281,1.9473
2006-2008,2007.0,fg2m,fg3m,-0.3817,2.3437
2006-2008,2007.0,fg2m,fg3_miss,-0.3816,2.3437
2006-2008,2007.0,fg2m,fg2m,1.0,2.3437
2006-2008,2007.0,fg2m,fg2_miss,0.8542,2.3437
2006-2008,2007.0,fg2m,ftm,0.6761,2.3437
2006-2008,2007.0,fg2m,ft_miss,0.4977,2.3437
2006-2008,2007.0,fg2m,orb,0.2579,2.3437
2006-2008,2007.0,fg2m,drb,0.3246,2.3437
2006-2008,2007.0,fg2m,ast,0.0197,2.3437
2006-2008,2007.0,fg2m,tov,0.4762,2.3437
2006-2008,2007.0,fg2m,stl,-0.0399,2.3437
2006-2008,2007.0,fg2m,blk,0.2013,2.3437
2006-2008,2007.0,fg2m,pf,-0.1308,2.3437
2006-2008,2007.0,fg2_miss,fg3m,-0.2652,2.2556
2006-2008,2007.0,fg2_miss,fg3_miss,-0.2379,2.2556
2006-2008,2007.0,fg2_miss,fg2m,0.8542,2.2556
2006-2008,2007.0,fg2_miss,fg2_miss,1.0,2.2556
2006-2008,2007.0,fg2_miss,ftm,0.63,2.2556
2006-2008,2007.0,fg2_miss,ft_miss,0.3338,2.2556
2006-2008,2007.0,fg2_miss,orb,0.0595,2.2556
2006-2008,2007.0,fg2_miss,drb,0.128,2.2556
2006-2008,2007.0,fg2_miss,ast,0.1219,2.2556
2006-2008,2007.0,fg2_miss,tov,0.4931,2.2556
2006-2008,2007.0,fg2_miss,stl,0.0332,2.2556
2006-2008,2007.0,fg2_miss,blk,0.0314,2.2556
2006-2008,2007.0,fg2_miss,pf,-0.1673,2.2556
2006-2008,2007.0,ftm,fg3m,-0.0593,2.087
2006-2008,2007.0,ftm,fg3_miss,-0.0486,2.087
2006-2008,2007.0,ftm,fg2m,0.6761,2.087
2006-2008,2007.0,ftm,fg2_miss,0.63,2.087
2006-2008,2007.0,ftm,ftm,1.0,2.087
2006-2008,2007.0,ftm,ft_miss,0.4971,2.087
2006-2008,2007.0,ftm,orb,-0.0312,2.087
2006-2008,2007.0,ftm,drb,0.0863,2.087
2006-2008,2007.0,ftm,ast,0.1874,2.087
2006-2008,2007.0,ftm,tov,0.5476,2.087
2006-2008,2007.0,ftm,stl,0.0952,2.087
2006-2008,2007.0,ftm,blk,0.0062,2.087
2006-2008,2007.0,ftm,pf,-0.2604,2.087
2006-2008,2007.0,ft_miss,fg3m,-0.4318,0.8171
2006-2008,2007.0,ft_miss,fg3_miss,-0.41,0.8171
2006-2008,2007.0,ft_miss,fg2m,0.4977,0.8171
2006-2008,2007.0,ft_miss,fg2_miss,0.3338,0.8171
2006-2008,2007.0,ft_miss,ftm,0.4971,0.8171
2006-2008,2007.0,ft_miss,ft_miss,1.0,0.8171
2006-2008,2007.0,ft_miss,orb,0.4607,0.8171
2006-2008,2007.0,ft_miss,drb,0.4109,0.8171
2006-2008,2007.0,ft_miss,ast,-0.1641,0.8171
2006-2008,2007.0,ft_miss,tov,0.4145,0.8171
2006-2008,2007.0,ft_miss,stl,-0.0115,0.8171
2006-2008,2007.0,ft_miss,blk,0.4006,0.8171
2006-2008,2007.0,ft_miss,pf,0.1735,0.8171
2006-2008,2007.0,orb,fg3m,-0.6524,1.5892
2006-2008,2007.0,orb,fg3_miss,-0.675,1.5892
2006-2008,2007.0,orb,fg2m,0.2579,1.5892
2006-2008,2007.0,orb,fg2_miss,0.0595,1.5892
2006-2008,2007.0,orb,ftm,-0.0312,1.5892
2006-2008,2007.0,orb,ft_miss,0.4607,1.5892
2006-2008,2007.0,orb,orb,1.0,1.5892
2006-2008,2007.0,orb,drb,0.7628,1.5892
2006-2008,2007.0,orb,ast,-0.5803,1.5892
2006-2008,2007.0,orb,tov,-0.0868,1.5892
2006-2008,2007.0,orb,stl,-0.267,1.5892
2006-2008,2007.0,orb,blk,0.6433,1.5892
2006-2008,2007.0,orb,pf,0.5514,1.5892
2006-2008,2007.0,drb,fg3m,-0.468,2.5198
2006-2008,2007.0,drb,fg3_miss,-0.4867,2.5198
2006-2008,2007.0,drb,fg2m,0.3246,2.5198
2006-2008,2007.0,drb,fg2_miss,0.128,2.5198
2006-2008,2007.0,drb,ftm,0.0863,2.5198
2006-2008,2007.0,drb,ft_miss,0.4109,2.5198
2006-2008,2007.0,drb,orb,0.7628,2.5198
2006-2008,2007.0,drb,drb,1.0,2.5198
2006-2008,2007.0,drb,ast,-0.4554,2.5198
2006-2008,2007.0,drb,tov,-0.0123,2.5198
2006-2008,2007.0,drb,stl,-0.2456,2.5198
2006-2008,2007.0,drb,blk,0.6482,2.5198
2006-2008,2007.0,drb,pf,0.3207,2.5198
2006-2008,2007.0,ast,fg3m,0.2461,2.9033
2006-2008,2007.0,ast,fg3_miss,0.28,2.9033
2006-2008,2007.0,ast,fg2m,0.0197,2.9033
2006-2008,2007.0,ast,fg2_miss,0.1219,2.9033
2006-2008,2007.0,ast,ftm,0.1874,2.9033
2006-2008,2007.0,ast,ft_miss,-0.1641,2.9033
2006-2008,2007.0,ast,orb,-0.5803,2.9033
2006-2008,2007.0,ast,drb,-0.4554,2.9033
2006-2008,2007.0,ast,ast,1.0,2.9033
2006-2008,2007.0,ast,tov,0.4834,2.9033
2006-2008,2007.0,ast,stl,0.4084,2.9033
2006-2008,2007.0,ast,blk,-0.4216,2.9033
2006-2008,2007.0,ast,pf,-0.4955,2.9033
2006-2008,2007.0,tov,fg3m,-0.1219,0.7929
2006-2008,2007.0,tov,fg3_miss,-0.0873,0.7929
2006-2008,2007.0,tov,fg2m,0.4762,0.7929
2006-2008,2007.0,tov,fg2_miss,0.4931,0.7929
2006-2008,2007.0,tov,ftm,0.5476,0.7929
2006-2008,2007.0,tov,ft_miss,0.4145,0.7929
2006-2008,2007.0,tov,orb,-0.0868,0.7929
2006-2008,2007.0,tov,drb,-0.0123,0.7929
2006-2008,2007.0,tov,ast,0.4834,0.7929
2006-2008,2007.0,tov,tov,1.0,0.7929
2006-2008,2007.0,tov,stl,0.1545,0.7929
2006-2008,2007.0,tov,blk,-0.0163,0.7929
2006-2008,2007.0,tov,pf,-0.0846,0.7929
2006-2008,2007.0,stl,fg3m,0.1138,0.4996
2006-2008,2007.0,stl,fg3_miss,0.1764,0.4996
2006-2008,2007.0,stl,fg2m,-0.0399,0.4996
2006-2008,2007.0,stl,fg2_miss,0.0332,0.4996
2006-2008,2007.0,stl,ftm,0.0952,0.4996
2006-2008,2007.0,stl,ft_miss,-0.0115,0.4996
2006-2008,2007.0,stl,orb,-0.267,0.4996
2006-2008,2007.0,stl,drb,-0.2456,0.4996
2006-2008,2007.0,stl,ast,0.4084,0.4996
2006-2008,2007.0,stl,tov,0.1545,0.4996
2006-2008,2007.0,stl,stl,1.0,0.4996
2006-2008,2007.0,stl,blk,-0.2374,0.4996
2006-2008,2007.0,stl,pf,-0.1899,0.4996
2006-2008,2007.0,blk,fg3m,-0.4671,1.0089
2006-2008,2007.0,blk,fg3_miss,-0.4805,1.0089
2006-2008,2007.0,blk,fg2m,0.2013,1.0089
2006-2008,2007.0,blk,fg2_miss,0.0314,1.0089
2006-2008,2007.0,blk,ftm,0.0062,1.0089
2006-2008,2007.0,blk,ft_miss,0.4006,1.0089
2006-2008,2007.0,blk,orb,0.6433,1.0089
2006-2008,2007.0,blk,drb,0.6482,1.0089
2006-2008,2007.0,blk,ast,-0.4216,1.0089
2006-2008,2007.0,blk,tov,-0.0163,1.0089
2006-2008,2007.0,blk,stl,-0.2374,1.0089
2006-2008,2007.0,blk,blk,1.0,1.0089
2006-2008,2007.0,blk,pf,0.3817,1.0089
2006-2008,2007.0,pf,fg3m,-0.4215,1.5158
2006-2008,2007.0,pf,fg3_miss,-0.4281,1.5158
2006-2008,2007.0,pf,fg2m,-0.1308,1.5158
2006-2008,2007.0,pf,fg2_miss,-0.1673,1.5158
2006-2008,2007.0,pf,ftm,-0.2604,1.5158
2006-2008,2007.0,pf,ft_miss,0.1735,1.5158
2006-2008,2007.0,pf,orb,0.5514,1.5158
2006-2008,2007.0,pf,drb,0.3207,1.5158
2006-2008,2007.0,pf,ast,-0.4955,1.5158
2006-2008,2007.0,pf,tov,-0.0846,1.5158
2006-2008,2007.0,pf,stl,-0.1899,1.5158
2006-2008,2007.0,pf,blk,0.3817,1.5158
2006-2008,2007.0,pf,pf,1.0,1.5158
2009-2011,2010.0,fg3m,fg3m,1.0,1.1943
2009-2011,2010.0,fg3m,fg3_miss,0.9596,1.1943
2009-2011,2010.0,fg3m,fg2m,-0.5038,1.1943
2009-2011,2010.0,fg3m,fg2_miss,-0.3672,1.1943
2009-2011,2010.0,fg3m,ftm,-0.109,1.1943
2009-2011,2010.0,fg3m,ft_miss,-0.4719,1.1943
2009-2011,2010.0,fg3m,orb,-0.692,1.1943
2009-2011,2010.0,fg3m,drb,-0.5035,1.1943
2009-2011,2010.0,fg3m,ast,0.1925,1.1943
2009-2011,2010.0,fg3m,tov,-0.1296,1.1943
2009-2011,2010.0,fg3m,stl,0.1161,1.1943
2009-2011,2010.0,fg3m,blk,-0.5215,1.1943
2009-2011,2010.0,fg3m,pf,-0.4055,1.1943
2009-2011,2010.0,fg3_miss,fg3m,0.9596,1.9625
2009-2011,2010.0,fg3_miss,fg3_miss,1.0,1.9625
2009-2011,2010.0,fg3_miss,fg2m,-0.4843,1.9625
2009-2011,2010.0,fg3_miss,fg2_miss,-0.3243,1.9625
2009-2011,2010.0,fg3_miss,ftm,-0.0862,1.9625
2009-2011,2010.0,fg3_miss,ft_miss,-0.4473,1.9625
2009-2011,2010.0,fg3_miss,orb,-0.7169,1.9625
2009-2011,2010.0,fg3_miss,drb,-0.5367,1.9625
2009-2011,2010.0,fg3_miss,ast,0.2298,1.9625
2009-2011,2010.0,fg3_miss,tov,-0.0775,1.9625
2009-2011,2010.0,fg3_miss,stl,0.1761,1.9625
2009-2011,2010.0,fg3_miss,blk,-0.5436,1.9625
2009-2011,2010.0,fg3_miss,pf,-0.411,1.9625
2009-2011,2010.0,fg2m,fg3m,-0.5038,2.4355
2009-2011,2010.0,fg2m,fg3_miss,-0.4843,2.4355
2009-2011,2010.0,fg2m,fg2m,1.0,2.4355
2009-2011,2010.0,fg2m,fg2_miss,0.8731,2.4355
2009-2011,2010.0,fg2m,ftm,0.6368,2.4355
2009-2011,2010.0,fg2m,ft_miss,0.5015,2.4355
2009-2011,2010.0,fg2m,orb,0.335,2.4355
2009-2011,2010.0,fg2m,drb,0.3641,2.4355
2009-2011,2010.0,fg2m,ast,0.012,2.4355
2009-2011,2010.0,fg2m,tov,0.4272,2.4355
2009-2011,2010.0,fg2m,stl,-0.0706,2.4355
2009-2011,2010.0,fg2m,blk,0.2441,2.4355
2009-2011,2010.0,fg2m,pf,-0.0447,2.4355
2009-2011,2010.0,fg2_miss,fg3m,-0.3672,2.3463
2009-2011,2010.0,fg2_miss,fg3_miss,-0.3243,2.3463
2009-2011,2010.0,fg2_miss,fg2m,0.8731,2.3463
2009-2011,2010.0,fg2_miss,fg2_miss,1.0,2.3463
2009-2011,2010.0,fg2_miss,ftm,0.6102,2.3463
2009-2011,2010.0,fg2_miss,ft_miss,0.3393,2.3463
2009-2011,2010.0,fg2_miss,orb,0.1452,2.3463
2009-2011,2010.0,fg2_miss,drb,0.1496,2.3463
2009-2011,2010.0,fg2_miss,ast,0.1091,2.3463
2009-2011,2010.0,fg2_miss,tov,0.4791,2.3463
2009-2011,2010.0,fg2_miss,stl,-0.0019,2.3463
2009-2011,2010.0,fg2_miss,blk,0.0557,2.3463
2009-2011,2010.0,fg2_miss,pf,-0.1065,2.3463
2009-2011,2010.0,ftm,fg3m,-0.109,2.0563
2009-2011,2010.0,ftm,fg3_miss,-0.0862,2.0563
2009-2011,2010.0,ftm,fg2m,0.6368,2.0563
2009-2011,2010.0,ftm,fg2_miss,0.6102,2.0563
2009-2011,2010.0,ftm,ftm,1.0,2.0563
2009-2011,2010.0,ftm,ft_miss,0.5108,2.0563
2009-2011,2010.0,ftm,orb,0.0141,2.0563
2009-2011,2010.0,ftm,drb,0.109,2.0563
2009-2011,2010.0,ftm,ast,0.185,2.0563
2009-2011,2010.0,ftm,tov,0.515,2.0563
2009-2011,2010.0,ftm,stl,0.068,2.0563
2009-2011,2010.0,ftm,blk,0.0023,2.0563
2009-2011,2010.0,ftm,pf,-0.2154,2.0563
2009-2011,2010.0,ft_miss,fg3m,-0.4719,0.7422
2009-2011,2010.0,ft_miss,fg3_miss,-0.4473,0.7422
2009-2011,2010.0,ft_miss,fg2m,0.5015,0.7422
2009-2011,2010.0,ft_miss,fg2_miss,0.3393,0.7422
2009-2011,2010.0,ft_miss,ftm,0.5108,0.7422
2009-2011,2010.0,ft_miss,ft_miss,1.0,0.7422
2009-2011,2010.0,ft_miss,orb,0.5035,0.7422
2009-2011,2010.0,ft_miss,drb,0.461,0.7422
2009-2011,2010.0,ft_miss,ast,-0.1438,0.7422
2009-2011,2010.0,ft_miss,tov,0.3369,0.7422
2009-2011,2010.0,ft_miss,stl,-0.0161,0.7422
2009-2011,2010.0,ft_miss,blk,0.4392,0.7422
2009-2011,2010.0,ft_miss,pf,0.2235,0.7422
2009-2011,2010.0,orb,fg3m,-0.692,1.6309
2009-2011,2010.0,orb,fg3_miss,-0.7169,1.6309
2009-2011,2010.0,orb,fg2m,0.335,1.6309
2009-2011,2010.0,orb,fg2_miss,0.1452,1.6309
2009-2011,2010.0,orb,ftm,0.0141,1.6309
2009-2011,2010.0,orb,ft_miss,0.5035,1.6309
2009-2011,2010.0,orb,orb,1.0,1.6309
2009-2011,2010.0,orb,drb,0.7568,1.6309
2009-2011,2010.0,orb,ast,-0.5086,1.6309
2009-2011,2010.0,orb,tov,-0.0879,1.6309
2009-2011,2010.0,orb,stl,-0.2913,1.6309
2009-2011,2010.0,orb,blk,0.688,1.6309
2009-2011,2010.0,orb,pf,0.5672,1.6309
2009-2011,2010.0,drb,fg3m,-0.5035,2.5391
2009-2011,2010.0,drb,fg3_miss,-0.5367,2.5391
2009-2011,2010.0,drb,fg2m,0.3641,2.5391
2009-2011,2010.0,drb,fg2_miss,0.1496,2.5391
2009-2011,2010.0,drb,ftm,0.109,2.5391
2009-2011,2010.0,drb,ft_miss,0.461,2.5391
2009-2011,2010.0,drb,orb,0.7568,2.5391
2009-2011,2010.0,drb,drb,1.0,2.5391
2009-2011,2010.0,drb,ast,-0.4319,2.5391
2009-2011,2010.0,drb,tov,-0.0605,2.5391
2009-2011,2010.0,drb,stl,-0.2912,2.5391
2009-2011,2010.0,drb,blk,0.6324,2.5391
2009-2011,2010.0,drb,pf,0.3478,2.5391
2009-2011,2010.0,ast,fg3m,0.1925,3.02
2009-2011,2010.0,ast,fg3_miss,0.2298,3.02
2009-2011,2010.0,ast,fg2m,0.012,3.02
2009-2011,2010.0,ast,fg2_miss,0.1091,3.02
2009-2011,2010.0,ast,ftm,0.185,3.02
2009-2011,2010.0,ast,ft_miss,-0.1438,3.02
2009-2011,2010.0,ast,orb,-0.5086,3.02
2009-2011,2010.0,ast,drb,-0.4319,3.02
2009-2011,2010.0,ast,ast,1.0,3.02
2009-2011,2010.0,ast,tov,0.6037,3.02
2009-2011,2010.0,ast,stl,0.4543,3.02
2009-2011,2010.0,ast,blk,-0.4452,3.02
2009-2011,2010.0,ast,pf,-0.4474,3.02
2009-2011,2010.0,tov,fg3m,-0.1296,0.8356
2009-2011,2010.0,tov,fg3_miss,-0.0775,0.8356
2009-2011,2010.0,tov,fg2m,0.4272,0.8356
2009-2011,2010.0,tov,fg2_miss,0.4791,0.8356
2009-2011,2010.0,tov,ftm,0.515,0.8356
2009-2011,2010.0,tov,ft_miss,0.3369,0.8356
2009-2011,2010.0,tov,orb,-0.0879,0.8356
2009-2011,2010.0,tov,drb,-0.0605,0.8356
2009-2011,2010.0,tov,ast,0.6037,0.8356
2009-2011,2010.0,tov,tov,1.0,0.8356
2009-2011,2010.0,tov,stl,0.251,0.8356
2009-2011,2010.0,tov,blk,-0.0669,0.8356
2009-2011,2010.0,tov,pf,-0.1059,0.8356
2009-2011,2010.0,stl,fg3m,0.1161,0.4823
2009-2011,2010.0,stl,fg3_miss,0.1761,0.4823
2009-2011,2010.0,stl,fg2m,-0.0706,0.4823
2009-2011,2010.0,stl,fg2_miss,-0.0019,0.4823
2009-2011,2010.0,stl,ftm,0.068,0.4823
2009-2011,2010.0,stl,ft_miss,-0.0161,0.4823
2009-2011,2010.0,stl,orb,-0.2913,0.4823
2009-2011,2010.0,stl,drb,-0.2912,0.4823
2009-2011,2010.0,stl,ast,0.4543,0.4823
2009-2011,2010.0,stl,tov,0.251,0.4823
2009-2011,2010.0,stl,stl,1.0,0.4823
2009-2011,2010.0,stl,blk,-0.2841,0.4823
2009-2011,2010.0,stl,pf,-0.2085,0.4823
2009-2011,2010.0,blk,fg3m,-0.5215,0.9228
2009-2011,2010.0,blk,fg3_miss,-0.5436,0.9228
2009-2011,2010.0,blk,fg2m,0.2441,0.9228
2009-2011,2010.0,blk,fg2_miss,0.0557,0.9228
2009-2011,2010.0,blk,ftm,0.0023,0.9228
2009-2011,2010.0,blk,ft_miss,0.4392,0.9228
2009-2011,2010.0,blk,orb,0.688,0.9228
2009-2011,2010.0,blk,drb,0.6324,0.9228
2009-2011,2010.0,blk,ast,-0.4452,0.9228
2009-2011,2010.0,blk,tov,-0.0669,0.9228
2009-2011,2010.0,blk,stl,-0.2841,0.9228
2009-2011,2010.0,blk,blk,1.0,0.9228
2009-2011,2010.0,blk,pf,0.4692,0.9228
2009-2011,2010.0,pf,fg3m,-0.4055,1.4301
2009-2011,2010.0,pf,fg3_miss,-0.411,1.4301
2009-2011,2010.0,pf,fg2m,-0.0447,1.4301
2009-2011,2010.0,pf,fg2_miss,-0.1065,1.4301
2009-2011,2010.0,pf,ftm,-0.2154,1.4301
2009-2011,2010.0,pf,ft_miss,0.2235,1.4301
2009-2011,2010.0,pf,orb,0.5672,1.4301
2009-2011,2010.0,pf,drb,0.3478,1.4301
2009-2011,2010.0,pf,ast,-0.4474,1.4301
2009-2011,2010.0,pf,tov,-0.1059,1.4301
2009-2011,2010.0,pf,stl,-0.2085,1.4301
2009-2011,2010.0,pf,blk,0.4692,1.4301
2009-2011,2010.0,pf,pf,1.0,1.4301
2012-2014,2013.0,fg3m,fg3m,1.0,1.2761
2012-2014,2013.0,fg3m,fg3_miss,0.9542,1.2761
2012-2014,2013.0,fg3m,fg2m,-0.5055,1.2761
2012-2014,2013.0,fg3m,fg2_miss,-0.3899,1.2761
2012-2014,2013.0,fg3m,ftm,-0.0598,1.2761
2012-2014,2013.0,fg3m,ft_miss,-0.4798,1.2761
2012-2014,2013.0,fg3m,orb,-0.6933,1.2761
2012-2014,2013.0,fg3m,drb,-0.5698,1.2761
2012-2014,2013.0,fg3m,ast,0.2456,1.2761
2012-2014,2013.0,fg3m,tov,-0.0717,1.2761
2012-2014,2013.0,fg3m,stl,0.0959,1.2761
2012-2014,2013.0,fg3m,blk,-0.5432,1.2761
2012-2014,2013.0,fg3m,pf,-0.3958,1.2761
2012-2014,2013.0,fg3_miss,fg3m,0.9542,2.0954
2012-2014,2013.0,fg3_miss,fg3_miss,1.0,2.0954
2012-2014,2013.0,fg3_miss,fg2m,-0.5076,2.0954
2012-2014,2013.0,fg3_miss,fg2_miss,-0.362,2.0954
2012-2014,2013.0,fg3_miss,ftm,-0.0535,2.0954
2012-2014,2013.0,fg3_miss,ft_miss,-0.4591,2.0954
2012-2014,2013.0,fg3_miss,orb,-0.7223,2.0954
2012-2014,2013.0,fg3_miss,drb,-0.6018,2.0954
2012-2014,2013.0,fg3_miss,ast,0.2757,2.0954
2012-2014,2013.0,fg3_miss,tov,-0.0255,2.0954
2012-2014,2013.0,fg3_miss,stl,0.144,2.0954
2012-2014,2013.0,fg3_miss,blk,-0.577,2.0954
2012-2014,2013.0,fg3_miss,pf,-0.3982,2.0954
2012-2014,2013.0,fg2m,fg3m,-0.5055,2.4757
2012-2014,2013.0,fg2m,fg3_miss,-0.5076,2.4757
2012-2014,2013.0,fg2m,fg2m,1.0,2.4757
2012-2014,2013.0,fg2m,fg2_miss,0.8608,2.4757
2012-2014,2013.0,fg2m,ftm,0.5927,2.4757
2012-2014,2013.0,fg2m,ft_miss,0.4979,2.4757
2012-2014,2013.0,fg2m,orb,0.3958,2.4757
2012-2014,2013.0,fg2m,drb,0.4535,2.4757
2012-2014,2013.0,fg2m,ast,0.0001,2.4757
2012-2014,2013.0,fg2m,tov,0.3939,2.4757
2012-2014,2013.0,fg2m,stl,-0.0579,2.4757
2012-2014,2013.0,fg2m,blk,0.2964,2.4757
2012-2014,2013.0,fg2m,pf,-0.0499,2.4757
2012-2014,2013.0,fg2_miss,fg3m,-0.3899,2.4363
2012-2014,2013.0,fg2_miss,fg3_miss,-0.362,2.4363
2012-2014,2013.0,fg2_miss,fg2m,0.8608,2.4363
2012-2014,2013.0,fg2_miss,fg2_miss,1.0,2.4363
2012-2014,2013.0,fg2_miss,ftm,0.5649,2.4363
2012-2014,2013.0,fg2_miss,ft_miss,0.3391,2.4363
2012-2014,2013.0,fg2_miss,orb,0.2113,2.4363
2012-2014,2013.0,fg2_miss,drb,0.2649,2.4363
2012-2014,2013.0,fg2_miss,ast,0.1015,2.4363
2012-2014,2013.0,fg2_miss,tov,0.45,2.4363
2012-2014,2013.0,fg2_miss,stl,-0.0341,2.4363
2012-2014,2013.0,fg2_miss,blk,0.1137,2.4363
2012-2014,2013.0,fg2_miss,pf,-0.0879,2.4363
2012-2014,2013.0,ftm,fg3m,-0.0598,1.852
2012-2014,2013.0,ftm,fg3_miss,-0.0535,1.852
2012-2014,2013.0,ftm,fg2m,0.5927,1.852
2012-2014,2013.0,ftm,fg2_miss,0.5649,1.852
2012-2014,2013.0,ftm,ftm,1.0,1.852
2012-2014,2013.0,ftm,ft_miss,0.4674,1.852
2012-2014,2013.0,ftm,orb,0.0149,1.852
2012-2014,2013.0,ftm,drb,0.103,1.852
2012-2014,2013.0,ftm,ast,0.2325,1.852
2012-2014,2013.0,ftm,tov,0.5168,1.852
2012-2014,2013.0,ftm,stl,0.097,1.852
2012-2014,2013.0,ftm,blk,-0.0319,1.852
2012-2014,2013.0,ftm,pf,-0.2369,1.852
2012-2014,2013.0,ft_miss,fg3m,-0.4798,0.7385
2012-2014,2013.0,ft_miss,fg3_miss,-0.4591,0.7385
2012-2014,2013.0,ft_miss,fg2m,0.4979,0.7385
2012-2014,2013.0,ft_miss,fg2_miss,0.3391,0.7385
2012-2014,2013.0,ft_miss,ftm,0.4674,0.7385
2012-2014,2013.0,ft_miss,ft_miss,1.0,0.7385
2012-2014,2013.0,ft_miss,orb,0.4968,0.7385
2012-2014,2013.0,ft_miss,drb,0.4975,0.7385
2012-2014,2013.0,ft_miss,ast,-0.1392,0.7385
2012-2014,2013.0,ft_miss,tov,0.2953,0.7385
2012-2014,2013.0,ft_miss,stl,0.0351,0.7385
2012-2014,2013.0,ft_miss,blk,0.3763,0.7385
2012-2014,2013.0,ft_miss,pf,0.1689,0.7385
2012-2014,2013.0,orb,fg3m,-0.6933,1.7208
2012-2014,2013.0,orb,fg3_miss,-0.7223,1.7208
2012-2014,2013.0,orb,fg2m,0.3958,1.7208
2012-2014,2013.0,orb,fg2_miss,0.2113,1.7208
2012-2014,2013.0,orb,ftm,0.0149,1.7208
2012-2014,2013.0,orb,ft_miss,0.4968,1.7208
2012-2014,2013.0,orb,orb,1.0,1.7208
2012-2014,2013.0,orb,drb,0.7552,1.7208
2012-2014,2013.0,orb,ast,-0.528,1.7208
2012-2014,2013.0,orb,tov,-0.1232,1.7208
2012-2014,2013.0,orb,stl,-0.2275,1.7208
2012-2014,2013.0,orb,blk,0.663,1.7208
