window,window_mid,feature_i,feature_j,corr,sd_i
1997-1999,1998.0,ast,fg3m,0.3046,3.0419
1997-1999,1998.0,ast,fg3_miss,0.3551,3.0419
1997-1999,1998.0,ast,fg2m,-0.1179,3.0419
1997-1999,1998.0,ast,fg2_miss,-0.0783,3.0419
1997-1999,1998.0,ast,ftm,0.0652,3.0419
1997-1999,1998.0,ast,ft_miss,-0.228,3.0419
1997-1999,1998.0,ast,orb,-0.582,3.0419
1997-1999,1998.0,ast,drb,-0.4494,3.0419
1997-1999,1998.0,ast,ast,1.0,3.0419
1997-1999,1998.0,ast,tov,0.4694,3.0419
1997-1999,1998.0,ast,stl,0.488,3.0419
1997-1999,1998.0,ast,blk,-0.4544,3.0419
1997-1999,1998.0,ast,pf,-0.4772,3.0419
1997-1999,1998.0,tov,fg3m,-0.0646,0.8145
1997-1999,1998.0,tov,fg3_miss,-0.0048,0.8145
1997-1999,1998.0,tov,fg2m,0.3917,0.8145
1997-1999,1998.0,tov,fg2_miss,0.4267,0.8145
1997-1999,1998.0,tov,ftm,0.5169,0.8145
1997-1999,1998.0,tov,ft_miss,0.3171,0.8145
1997-1999,1998.0,tov,orb,-0.0887,0.8145
1997-1999,1998.0,tov,drb,-0.0086,0.8145
1997-1999,1998.0,tov,ast,0.4694,0.8145
1997-1999,1998.0,tov,tov,1.0,0.8145
1997-1999,1998.0,tov,stl,0.171,0.8145
1997-1999,1998.0,tov,blk,-0.0218,0.8145
1997-1999,1998.0,tov,pf,-0.0575,0.8145
1997-1999,1998.0,stl,fg3m,0.2394,0.5868
1997-1999,1998.0,stl,fg3_miss,0.2892,0.5868
1997-1999,1998.0,stl,fg2m,-0.1394,0.5868
1997-1999,1998.0,stl,fg2_miss,-0.103,0.5868
1997-1999,1998.0,stl,ftm,-0.0193,0.5868
1997-1999,1998.0,stl,ft_miss,-0.163,0.5868
1997-1999,1998.0,stl,orb,-0.3628,0.5868
1997-1999,1998.0,stl,drb,-0.3315,0.5868
1997-1999,1998.0,stl,ast,0.488,0.5868
1997-1999,1998.0,stl,tov,0.171,0.5868
1997-1999,1998.0,stl,stl,1.0,0.5868
1997-1999,1998.0,stl,blk,-0.2775,0.5868
1997-1999,1998.0,stl,pf,-0.2349,0.5868
