c_def,ratio,tot,dfn,off,sd_def,bias
0.2,0.2872,0.8784963617095018,0.874871761083097,0.8673058747019637,1.355002011650725,0.33333375262639015
0.2,0.5,0.8784989933419576,0.8720820616694855,0.8665765076719374,1.08017851733058,0.2786417311376965
0.2,1.0,0.8632799268972142,0.8486541992667014,0.8650772314445342,0.8055067572878657,0.21323335182598066
0.2,2.0,0.8406675410328206,0.7994475940987079,0.863845735112531,0.6135865814145813,0.16779249480289443
0.3,0.2872,0.8684467172827509,0.8609857203900816,0.8675030417893129,1.4315156895008927,0.4005644174195007
0.3,0.5,0.8680314792765398,0.8525177562282183,0.8666406807710859,1.1735225016777742,0.3629460390178563
0.3,1.0,0.8536890823926442,0.8169040669006925,0.8653324119094732,0.92230180258597,0.3119189109041573
0.3,2.0,0.8333216469895544,0.753938798435956,0.8643373928878578,0.7541293914364722,0.2725134323969903
0.4,0.2872,0.8571257144189681,0.8457556633179286,0.8676728821119287,1.515403463147623,0.45649498336505734
0.4,0.5,0.8562843759236434,0.8299188551655549,0.8667569315161405,1.2765565259388987,0.4317345187608461
0.4,1.0,0.8430763806047202,0.783628542601839,0.86573553768676,1.0502795966707836,0.3926139673743494
0.4,2.0,0.8233376253976575,0.7190046232659412,0.864804131789606,0.9044121073079162,0.3593246733377673
0.5,0.2872,0.8455254225617951,0.8294720260142511,0.8678449063358245,1.605509860472748,0.5025993297465017
0.5,0.5,0.8436351265680402,0.8074771873268739,0.8671009239664631,1.3871229704758807,0.48701360175912595
0.5,1.0,0.830236589860884,0.7556721728984221,0.8658704915863655,1.185825022684726,0.45700495860323703
0.5,2.0,0.8103247628257202,0.6900524804870918,0.8649744760894403,1.060301304036937,0.4290671479080852
0.7,0.2872,0.8190048945240572,0.794438592820404,0.868041177463674,1.8005837196183339,0.5714370553018833
0.7,0.5,0.8148118641393318,0.765102021250606,0.8674280051812334,1.624608717761203,0.5662411258374345
0.7,1.0,0.8006555852614563,0.7104330319347271,0.8664822079346196,1.4711593735037167,0.5475521392498283
0.7,2.0,0.7810285344533138,0.648047123368691,0.8656001918048732,1.3812590163971588,0.5272786114978637
1.0,0.2872,0.7785168932390998,0.7500119448791058,0.8685691215987289,2.1198560632021684,0.6349663100045948
1.0,0.5,0.7719893249052151,0.7128704549872317,0.8680536648991978,2.0069277594666843,0.634649555518187
1.0,1.0,0.7559447097598816,0.6594723268703973,0.8673451289275337,1.9186862190902638,0.6228718643804079
1.0,2.0,0.737487727535314,0.6066841426708933,0.8667138134652291,1.87377665505687,0.6084615973768793
