stat,team_O,player_O,ratio_O,team_D,player_D,ratio_D
3PM,1.1700518687451162,2.716113018017335,2.321361206773144,0.17382728622654858,0.41362840255383715,2.379536674206353
3P miss,-0.04032776934111271,-0.9074962104619315,22.50301033974552,-0.24887419935823804,-0.41128777610865647,1.65259306577069
2PM,0.7418662391066906,1.1247901395300868,1.5161629957504057,0.10733672575968915,-0.009900547466466333,-0.09223821014097426
2P miss,-0.5516391293990487,-0.879545914016025,1.5944226345476895,-0.2745102710756865,-0.1833017027544418,0.6677407808318504
FTM,0.6204789777971689,0.6110273681265963,0.9847672362662023,0.15690893029338662,0.1267773217755704,0.8079675359364412
FT miss,-0.33779750657469815,-0.18511227392548163,0.5479977510862627,-0.09313988902963,0.004429537188467583,-0.04755789634941955
ORB,0.5528980690071469,0.5020168523928868,0.9079736040575639,-0.14671958331869078,-0.38003395034480314,2.5902060362271366
DRB,0.025561124676106894,0.07385978611674864,2.889535849953763,0.4134602586435106,0.2930953829600765,0.7088840507227229
AST,0.46019393666265307,0.5586889602583986,1.214029381416965,0.16103366546954961,0.12179424512949112,0.7563278447047558
TOV,-0.8232110403208429,-1.4831492821574654,1.8016634975879509,-0.6794338001732424,-0.5997470990224278,0.8827160186459726
STL,0.572705958647924,0.6781205416605153,1.1840640583895092,1.4931757613581151,1.6808865496220355,1.1257124533639553
BLK,-0.13341996885200968,0.024012037011169204,-0.1799733369583043,0.9556601282746936,0.8518555901973879,0.8913792309566061
PF,-0.24725570336958252,-0.11037030013931907,0.44638121036320194,0.09919405849058159,0.18398577138419436,1.8548063682832747
