window,c_off,c_off_se,c_def,c_def_se
1997-1999,1.1239589680641635,0.04040521805472548,1.061952912511666,0.06292605990477582
2000-2002,1.1075587143242283,0.0380267731156367,1.0486398755869095,0.06518312550165703
2003-2005,1.0966243209285158,0.03464926725622255,1.0342688730956249,0.07145455904133188
2006-2008,1.0954065608195451,0.035615369931080186,1.0446142299786072,0.07904988671990586
2009-2011,1.1084109229824606,0.039709967694275004,1.0378926784993379,0.07655773292019545
2012-2014,1.119599427242213,0.0390509401670324,1.0693746838312137,0.0805032539153283
2015-2017,1.0963528990029494,0.03719820298348362,1.0985210781907961,0.07196325470153556
2018-2020,1.1457274645684605,0.04305381709041882,1.0467313452140963,0.07302334491440435
2021-2023,1.163766506368242,0.040948371524398314,1.1067801763404206,0.0852508122088997
2024-2026,1.1553026931797759,0.03748258458839583,1.0622775666948254,0.06203411244794011
