window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,prior_off_po,prior_total_po,rapm_mm_off_po,rapm_mm_total_po,prior_def_po,rapm_mm_def_po,rating_off_po,rating_def_po,rating_total_po,rating_off_raw,rating_def_raw,rating_off_po_raw,rating_def_po_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1643007,Taelon Peter,1056.0,1057.0,0.054,-1.891,-0.0,-1.891,-0.699,-0.215,-0.914,-0.261,-0.431,-0.692,-0.261,-0.431,-0.692,-2.152,-0.431,-2.584,-1.848,-0.435,-2.283,-2.421,-2.421,-2.682,-3.114,-0.0,-0.431,-2.231,-0.435,-2.666,-2.152,-0.431,-2.682,-0.431,taelon peter,Taelon Peter,Indiana Pacers,-2.7,-0.5,-3.2,-0.897,-1.15,0.253,391.0,426.0,35.0,-0.856,-1.16,0.304,400.0,433.5,33.5,-0.49,-0.488,-0.001,313.0,318.5,5.5,-0.563,492.0,0.732,0.293,3.585,2.927,3.0,guard,<1000
2024-2026,2025.0,1630658,Colin Castleton,1061.0,1069.0,0.055,-2.621,-0.0,-2.621,0.264,0.252,0.516,-0.169,-0.596,-0.765,-0.169,-0.596,-0.765,-2.79,-0.596,-3.387,-2.308,-0.596,-2.905,-2.723,-2.723,-2.892,-3.489,-0.0,-0.596,-2.382,-0.596,-2.979,-2.79,-0.596,-2.892,-0.596,colin castleton,Colin Castleton,Orlando Magic,-1.9,-0.3,-2.2,-1.156,-0.74,-0.416,426.0,370.0,-56.0,-1.112,-0.751,-0.361,426.0,379.5,-46.5,-0.617,-0.305,-0.312,339.0,280.0,-59.0,5.563,508.0,4.323,0.709,5.74,2.268,0.142,big,<1000
2024-2026,2025.0,1642854,Asa Newell,1063.0,1079.0,0.055,-0.12,-0.0,-0.12,0.169,0.247,0.415,-0.007,-0.141,-0.148,-0.007,-0.141,-0.148,-0.127,-0.141,-0.269,-0.118,-0.145,-0.262,0.412,0.412,0.405,0.264,-0.0,-0.141,0.39,-0.145,0.245,-0.127,-0.141,0.405,-0.141,asa newell,Asa Newell,Atlanta Hawks,-0.7,-0.4,-1.1,-0.056,-0.288,0.232,221.0,271.0,50.0,0.107,-0.138,0.244,184.0,236.5,52.5,-0.259,-0.397,0.138,275.0,298.5,23.5,3.586,502.0,3.155,1.076,3.729,1.865,2.08,big,<1000
2024-2026,2025.0,1642353,Cam Christie,1071.0,1072.0,0.055,-3.062,-0.0,-3.062,0.294,-0.169,0.124,-0.013,0.354,0.341,-0.013,0.354,0.341,-3.075,0.354,-2.721,-2.514,0.374,-2.14,-4.445,-4.445,-4.458,-4.104,-0.0,0.354,-3.615,0.374,-3.241,-3.075,0.354,-4.458,0.354,cam christie,Cam Christie,Los Angeles Clippers,-2.6,0.8,-1.7,-0.837,-0.535,-0.303,383.0,320.5,-62.5,-1.226,-1.109,-0.117,440.0,428.5,-11.5,0.153,0.702,-0.549,195.0,106.0,-89.0,1.495,537.0,1.475,0.268,4.559,2.48,0.939,wing,<1000
2024-2026,2025.0,1631466,Nate Williams,1083.0,1093.0,0.056,-1.752,-0.0,-1.752,0.513,-0.033,0.48,0.273,-1.044,-0.77,0.273,-1.044,-0.77,-1.479,-1.044,-2.522,-1.306,-1.017,-2.323,-1.874,-1.874,-1.601,-2.644,-0.0,-1.044,-1.407,-1.017,-2.425,-1.479,-1.044,-1.601,-1.044,nate williams,Nate Williams,Golden State Warriors,-1.6,-1.4,-3.0,-0.913,-1.068,0.155,396.0,413.5,17.5,-0.554,-0.598,0.043,337.0,341.5,4.5,-0.951,-1.312,0.361,395.0,441.0,46.0,1.901,517.0,2.576,0.348,2.019,2.089,1.462,wing,<1000
2024-2026,2025.0,1643016,Bez Mbeng,1083.0,1093.0,0.056,-2.654,-0.0,-2.654,0.664,-0.073,0.591,-0.137,-1.135,-1.272,-0.137,-1.135,-1.272,-2.79,-1.135,-3.925,-2.309,-1.099,-3.408,-3.44,-3.44,-3.577,-4.712,-0.0,-1.135,-2.901,-1.099,-4.0,-2.79,-1.135,-3.577,-1.135,bez mbeng,Bez Mbeng,Utah Jazz,-2.5,-0.9,-3.3,-1.365,-1.191,-0.174,451.0,432.5,-18.5,-1.112,-1.058,-0.054,427.0,423.0,-4.0,-1.017,-0.854,-0.162,403.0,385.5,-17.5,0.095,493.0,1.314,0.365,2.848,4.527,0.438,wing,<1000
2024-2026,2025.0,1630619,Moussa Cisse,1113.0,1116.0,0.057,-1.683,-0.0,-1.683,-0.256,-1.204,-1.46,0.213,-0.093,0.12,0.213,-0.093,0.12,-1.47,-0.093,-1.563,-1.299,-0.096,-1.394,-0.635,-0.635,-0.423,-0.516,-0.0,-0.093,-0.389,-0.096,-0.485,-1.47,-0.093,-0.423,-0.093,moussa cisse,Moussa Cisse,Dallas Mavericks,-1.6,0.0,-1.5,-0.527,-0.452,-0.075,329.0,299.0,-30.0,-0.55,-0.598,0.047,335.0,341.5,6.5,-0.22,-0.03,-0.189,267.0,223.5,-43.5,11.384,530.0,6.045,3.057,8.626,0.611,0.0,big,<1000
2024-2026,2025.0,1642878,Tyrese Proctor,1114.0,1116.0,0.057,-0.106,-0.0,-0.106,-0.701,0.298,-0.403,0.034,-0.02,0.014,0.034,-0.02,0.014,-0.073,-0.02,-0.093,-0.066,-0.02,-0.086,-0.417,-0.417,-0.384,-0.403,-0.0,-0.02,-0.354,-0.02,-0.374,-0.073,-0.02,-0.384,-0.02,tyrese proctor,Tyrese Proctor,Cleveland Cavaliers,0.1,-0.1,0.0,0.017,0.163,-0.146,209.0,185.0,-24.0,0.135,0.271,-0.136,175.0,153.5,-21.5,-0.16,-0.122,-0.038,259.0,243.0,-16.0,-1.869,549.0,0.721,0.0,3.475,4.852,3.016,guard,<1000
2024-2026,2025.0,1642355,Bronny James,1119.0,1127.0,0.057,-3.027,-0.0,-3.027,-0.13,-0.009,-0.139,-0.098,-1.278,-1.376,-0.098,-1.278,-1.376,-3.125,-1.278,-4.403,-2.55,-1.225,-3.774,-2.954,-2.954,-3.053,-4.33,-0.0,-1.278,-2.498,-1.225,-3.722,-3.125,-1.278,-3.053,-1.278,bronny james,Bronny James,Los Angeles Lakers,-3.1,-0.9,-4.0,-1.518,-1.479,-0.039,460.0,457.0,-3.0,-1.246,-1.365,0.118,442.0,452.5,10.5,-1.116,-0.854,-0.262,419.0,385.5,-33.5,-1.498,560.0,0.579,0.45,2.057,4.693,1.993,guard,<1000
2024-2026,2025.0,1630623,Tyson Etienne,1122.0,1119.0,0.058,-0.716,-0.0,-0.716,-1.034,0.757,-0.277,-0.223,-1.438,-1.661,-0.223,-1.438,-1.661,-0.939,-1.438,-2.377,-0.847,-1.365,-2.213,-0.882,-0.882,-1.105,-2.543,-0.0,-1.438,-0.992,-1.365,-2.357,-0.939,-1.438,-1.105,-1.438,tyson etienne,Tyson Etienne,Brooklyn Nets,-1.7,-1.8,-3.5,-0.868,-1.274,0.406,386.0,440.5,54.5,-0.299,-0.649,0.349,271.0,352.0,81.0,-1.227,-1.678,0.451,433.0,461.0,28.0,-2.102,531.0,0.542,0.068,1.898,3.525,3.797,guard,<1000
2024-2026,2025.0,1628396,Tony Bradley,1174.0,1178.0,0.06,-1.085,-0.0,-1.085,0.074,0.543,0.617,-0.05,-0.262,-0.312,-0.05,-0.262,-0.312,-1.135,-0.262,-1.397,-1.018,-0.267,-1.284,-0.709,-0.709,-0.758,-1.021,-0.0,-0.262,-0.691,-0.267,-0.957,-1.135,-0.262,-0.758,-0.262,tony bradley,Tony Bradley,Atlanta Hawks,-1.8,-0.5,-2.3,-0.481,-0.781,0.3,311.0,378.0,67.0,-0.394,-0.7,0.306,293.0,364.5,71.5,-0.356,-0.488,0.133,286.0,318.5,32.5,6.539,566.0,4.961,1.018,5.088,1.781,0.191,big,<1000
2024-2026,2025.0,1642859,Jase Richardson,1204.0,1203.0,0.062,-1.313,-0.0,-1.313,0.202,0.143,0.346,-0.058,-0.597,-0.654,-0.058,-0.597,-0.654,-1.37,-0.597,-1.967,-1.215,-0.596,-1.811,-1.816,-1.816,-1.874,-2.471,-0.0,-0.597,-1.626,-0.596,-2.222,-1.37,-0.597,-1.874,-0.597,jase richardson,Jase Richardson,Orlando Magic,-1.3,-0.4,-1.7,-0.701,-0.535,-0.166,359.0,320.5,-38.5,-0.504,-0.444,-0.06,316.0,308.5,-7.5,-0.617,-0.397,-0.221,340.0,298.5,-41.5,-0.281,589.0,1.284,0.122,2.567,3.545,1.711,guard,<1000
2024-2026,2025.0,1641794,Dillon Jones,1225.0,1213.0,0.063,-3.554,-0.0,-3.554,0.675,-0.149,0.526,0.01,-0.433,-0.423,0.01,-0.433,-0.423,-3.544,-0.433,-3.977,-2.874,-0.437,-3.311,-4.542,-4.542,-4.532,-4.965,-0.0,-0.433,-3.675,-0.437,-4.112,-3.544,-0.433,-4.532,-0.433,dillon jones,Dillon Jones,New York Knicks,-2.7,-0.1,-2.8,-1.325,-0.986,-0.339,449.0,401.5,-47.5,-1.427,-1.16,-0.267,461.0,433.5,-27.5,-0.491,-0.122,-0.369,314.0,243.0,-71.0,1.639,593.0,1.943,0.243,5.828,3.764,1.032,wing,<1000
2024-2026,2025.0,202066,Garrett Temple,1243.0,1245.0,0.063,-2.957,-0.0,-2.957,-0.217,0.174,-0.043,-0.215,0.372,0.157,-0.215,0.372,0.157,-3.172,0.372,-2.8,-2.583,0.394,-2.19,-3.674,-3.674,-3.889,-3.517,-0.0,0.372,-3.154,0.394,-2.76,-3.172,0.372,-3.889,0.372,garrett temple,Garrett Temple,Toronto Raptors,-4.2,-0.4,-4.6,-0.858,-1.725,0.867,385.0,467.0,82.0,-1.265,-1.927,0.662,445.0,473.5,28.5,0.168,-0.397,0.565,191.0,298.5,107.5,0.555,590.0,1.708,0.427,3.356,4.149,1.281,wing,<1000
2024-2026,2025.0,1642885,Mohamed Diawara,1258.0,1261.0,0.064,-1.597,-0.0,-1.597,0.233,-0.183,0.05,0.147,0.892,1.038,0.147,0.892,1.038,-1.451,0.892,-0.559,-1.282,0.965,-0.317,-1.635,-1.635,-1.489,-0.597,-0.0,0.892,-1.314,0.965,-0.349,-1.451,0.892,-1.489,0.892,mohamed diawara,Mohamed Diawara,New York Knicks,-1.8,0.7,-1.1,-0.079,-0.288,0.21,226.0,271.0,45.0,-0.541,-0.7,0.159,331.0,364.5,33.5,0.622,0.61,0.012,117.0,125.0,8.0,-0.057,635.0,0.85,0.34,4.479,3.005,2.721,wing,<1000
2024-2026,2025.0,1641816,Hunter Tyson,1291.0,1278.0,0.066,-2.858,-0.0,-2.858,-0.248,-0.129,-0.377,-0.432,0.394,-0.038,-0.432,0.394,-0.038,-3.29,0.394,-2.897,-2.669,0.417,-2.252,-3.95,-3.95,-4.382,-3.989,-0.0,0.394,-3.554,0.417,-3.137,-3.29,0.394,-4.382,0.394,hunter tyson,Hunter Tyson,Brooklyn Nets,-1.8,-0.5,-2.3,-0.884,-0.781,-0.103,390.0,378.0,-12.0,-1.313,-0.7,-0.613,453.0,364.5,-88.5,0.187,-0.488,0.675,187.0,318.5,131.5,1.88,609.0,1.773,0.414,5.498,2.305,2.01,wing,<1000
2024-2026,2025.0,1642880,Kam Jones,1307.0,1311.0,0.066,-3.061,-0.0,-3.061,-0.826,-0.03,-0.855,-0.09,-0.662,-0.752,-0.09,-0.662,-0.752,-3.151,-0.662,-3.813,-2.569,-0.66,-3.229,-3.629,-3.629,-3.719,-4.381,-0.0,-0.662,-3.016,-0.66,-3.676,-3.151,-0.662,-3.719,-0.662,kam jones,Kam Jones,Indiana Pacers,-2.4,-1.3,-3.6,-1.291,-1.315,0.024,442.0,444.0,2.0,-1.257,-1.007,-0.25,444.0,418.0,-26.0,-0.668,-1.221,0.553,346.0,430.0,84.0,-2.326,616.0,0.877,0.0,2.63,6.955,1.286,guard,<1000
2024-2026,2025.0,1631111,Wendell Moore Jr.,1314.0,1323.0,0.067,-2.795,-0.0,-2.795,0.756,-0.103,0.653,-0.285,-0.226,-0.511,-0.285,-0.226,-0.511,-3.081,-0.226,-3.307,-2.518,-0.23,-2.748,-3.092,-3.092,-3.377,-3.603,-0.0,-0.226,-2.739,-0.23,-2.969,-3.081,-0.226,-3.377,-0.226,wendell moore,Wendell Moore Jr.,Detroit Pistons,-3.1,0.0,-3.2,-1.09,-1.15,0.06,417.0,426.0,9.0,-1.229,-1.365,0.136,441.0,452.5,11.5,-0.326,-0.03,-0.296,283.0,223.5,-59.5,1.803,639.0,1.746,0.451,4.62,2.93,0.789,wing,<1000
2024-2026,2025.0,1642853,Rasheer Fleming,1322.0,1322.0,0.067,-1.56,-0.0,-1.56,-0.854,0.124,-0.729,0.37,0.291,0.661,0.37,0.291,0.661,-1.19,0.291,-0.899,-1.064,0.307,-0.757,-1.164,-1.164,-0.794,-0.503,-0.0,0.291,-0.721,0.307,-0.414,-1.19,0.291,-0.794,0.291,rasheer fleming,Rasheer Fleming,Phoenix Suns,-1.0,0.7,-0.3,-0.262,0.04,-0.302,266.0,206.0,-60.0,-0.42,-0.291,-0.129,299.0,279.0,-20.0,0.1,0.61,-0.511,206.0,125.0,-81.0,3.834,677.0,3.031,1.117,3.563,0.851,2.393,big,<1000
2024-2026,2025.0,1630209,Omer Yurtseven,1324.0,1335.0,0.067,-1.608,-0.0,-1.608,-0.682,-0.244,-0.926,-0.312,-0.698,-1.01,-0.312,-0.698,-1.01,-1.92,-0.698,-2.618,-1.662,-0.695,-2.357,-1.607,-1.607,-1.919,-2.617,-0.0,-0.698,-1.662,-0.695,-2.357,-1.92,-0.698,-1.919,-0.698,omer yurtseven,Omer Yurtseven,Golden State Warriors,-2.6,-0.9,-3.5,-0.928,-1.274,0.346,399.0,440.5,41.5,-0.753,-1.109,0.356,373.0,428.5,55.5,-0.696,-0.854,0.159,351.0,385.5,34.5,7.167,650.0,4.708,1.052,8.474,2.049,0.277,big,<1000
2024-2026,2025.0,1630679,Ethan Thompson,1354.0,1357.0,0.069,-2.576,-0.0,-2.576,-0.109,0.78,0.671,0.025,0.787,0.812,0.025,0.787,0.812,-2.551,0.787,-1.764,-2.136,0.848,-1.288,-3.053,-3.053,-3.027,-2.241,-0.0,0.787,-2.479,0.848,-1.631,-2.551,0.787,-3.027,0.787,ethan thompson,Ethan Thompson,Indiana Pacers,-1.1,0.4,-0.7,-0.483,-0.124,-0.359,312.0,237.0,-75.0,-1.016,-0.342,-0.674,419.0,287.0,-132.0,0.529,0.336,0.193,133.0,166.5,33.5,-0.115,655.0,0.934,0.495,2.858,3.133,2.089,wing,<1000
2024-2026,2025.0,1641989,Elijah Harkless,1434.0,1436.0,0.072,-2.394,-0.0,-2.394,-0.163,0.275,0.112,0.211,-0.466,-0.255,0.211,-0.466,-0.255,-2.183,-0.466,-2.649,-1.871,-0.469,-2.34,-3.811,-3.811,-3.6,-4.066,-0.0,-0.466,-2.92,-0.469,-3.389,-2.183,-0.466,-3.6,-0.466,elijah harkless,Elijah Harkless,Utah Jazz,-0.6,0.4,-0.2,-0.921,0.081,-1.002,397.0,198.0,-199.0,-0.869,-0.086,-0.783,403.0,221.5,-181.5,-0.516,0.336,-0.852,321.0,166.5,-154.5,-0.538,682.0,1.003,0.37,2.903,4.381,1.478,guard,<1000
2024-2026,2025.0,1642942,Jahmai Mashack,1436.0,1426.0,0.073,-4.241,-0.0,-4.241,-0.014,-0.099,-0.112,0.028,-1.814,-1.786,0.028,-1.814,-1.786,-4.213,-1.814,-6.027,-3.417,-1.696,-5.112,-4.754,-4.754,-4.726,-6.539,-0.0,-1.814,-3.832,-1.696,-5.528,-4.213,-1.814,-4.726,-1.814,jahmai mashack,Jahmai Mashack,Memphis Grizzlies,-3.5,-1.2,-4.7,-2.074,-1.766,-0.308,475.0,468.5,-6.5,-1.729,-1.569,-0.16,471.0,462.0,-9.0,-1.49,-1.129,-0.361,455.0,418.0,-37.0,0.661,670.0,1.236,0.752,3.116,3.707,1.021,wing,<1000
2024-2026,2025.0,1630574,Ariel Hukporti,1444.0,1474.0,0.073,-3.773,-0.0,-3.773,-0.031,-0.21,-0.241,-0.121,0.488,0.367,-0.121,0.488,0.367,-3.894,0.488,-3.406,-3.158,0.518,-2.64,-2.543,-2.543,-2.664,-2.176,-0.0,0.488,-2.217,0.518,-1.699,-3.894,0.488,-2.664,0.488,ariel hukporti,Ariel Hukporti,New York Knicks,-3.5,0.8,-2.6,-1.045,-0.904,-0.141,411.0,392.5,-18.5,-1.585,-1.569,-0.016,465.0,462.0,-3.0,0.267,0.702,-0.435,175.0,106.0,-69.0,6.648,718.0,3.51,2.056,7.019,2.006,0.05,big,<1000
2024-2026,2025.0,1641732,Colby Jones,1446.0,1452.0,0.073,-2.55,-0.0,-2.55,0.256,0.024,0.28,-0.02,-0.233,-0.253,-0.02,-0.233,-0.253,-2.571,-0.233,-2.804,-2.15,-0.237,-2.388,-3.205,-3.205,-3.225,-3.458,-0.0,-0.233,-2.622,-0.237,-2.859,-2.571,-0.233,-3.225,-0.233,colby jones,Colby Jones,Detroit Pistons,-2.4,-0.1,-2.5,-0.94,-0.863,-0.077,401.0,388.5,-12.5,-1.024,-1.007,-0.018,421.0,418.0,-3.0,-0.332,-0.122,-0.21,285.0,243.0,-42.0,2.21,712.0,1.921,0.91,4.702,3.337,0.91,big,<1000
2024-2026,2025.0,201959,Taj Gibson,1449.0,1453.0,0.073,-4.014,-0.0,-4.014,0.594,0.275,0.869,-0.409,-0.291,-0.7,-0.409,-0.291,-0.7,-4.423,-0.291,-4.713,-3.587,-0.295,-3.882,-3.391,-3.391,-3.8,-4.091,-0.0,-0.291,-3.082,-0.295,-3.377,-4.423,-0.291,-3.8,-0.291,taj gibson,Taj Gibson,Memphis Grizzlies,-4.1,-0.8,-5.0,-1.562,-1.889,0.327,464.0,472.0,8.0,-1.823,-1.876,0.053,475.0,471.5,-3.5,-0.378,-0.763,0.384,289.0,372.5,83.5,5.675,708.0,3.763,1.322,5.593,1.932,0.305,big,<1000
2024-2026,2025.0,1631132,Christian Koloko,1460.0,1465.0,0.074,-3.679,-0.0,-3.679,0.48,-0.077,0.402,0.003,0.541,0.544,0.003,0.541,0.544,-3.676,0.541,-3.135,-2.981,0.576,-2.405,-2.997,-2.997,-2.994,-2.453,-0.0,0.541,-2.455,0.576,-1.879,-3.676,0.541,-2.994,0.541,christian koloko,Christian Koloko,Atlanta Hawks,-3.0,0.5,-2.5,-0.948,-0.863,-0.085,403.0,388.5,-14.5,-1.486,-1.313,-0.173,462.0,448.0,-14.0,0.314,0.427,-0.114,165.0,154.0,-11.0,6.147,701.0,3.389,2.003,5.495,1.746,0.051,big,<1000
2024-2026,2025.0,1641778,Leaky Black,1480.0,1484.0,0.075,-3.49,-0.0,-3.49,0.714,-0.152,0.562,0.106,-0.444,-0.338,0.106,-0.444,-0.338,-3.384,-0.444,-3.828,-2.744,-0.448,-3.192,-3.334,-3.334,-3.228,-3.672,-0.0,-0.444,-2.624,-0.448,-3.072,-3.384,-0.444,-3.228,-0.444,leaky black,Leaky Black,Washington Wizards,-2.5,-1.2,-3.8,-1.275,-1.397,0.121,440.0,452.5,12.5,-1.355,-1.058,-0.297,457.0,423.0,-34.0,-0.5,-1.129,0.63,317.0,418.0,101.0,1.936,716.0,1.207,0.955,4.978,2.313,1.408,wing,<1000
2024-2026,2025.0,1630536,Sharife Cooper,1482.0,1485.0,0.075,-0.798,-0.0,-0.798,0.136,0.106,0.242,-0.068,-0.907,-0.976,-0.068,-0.907,-0.976,-0.866,-0.907,-1.773,-0.784,-0.89,-1.675,-0.708,-0.708,-0.776,-1.683,-0.0,-0.907,-0.706,-0.89,-1.596,-0.866,-0.907,-0.776,-0.907,sharife cooper,Sharife Cooper,Washington Wizards,-1.8,-1.6,-3.4,-0.644,-1.232,0.589,349.0,436.5,87.5,-0.264,-0.7,0.436,260.0,364.5,104.5,-0.851,-1.495,0.645,381.0,450.5,69.5,-1.551,701.0,0.924,0.257,3.492,6.368,1.489,guard,<1000
2024-2026,2025.0,1631116,Patrick Baldwin Jr.,1493.0,1495.0,0.075,-2.118,-0.0,-2.118,0.398,-0.436,-0.038,-0.01,0.578,0.568,-0.01,0.578,0.568,-2.128,0.578,-1.55,-1.828,0.617,-1.211,-1.834,-1.834,-1.843,-1.265,-0.0,0.578,-1.601,0.617,-0.984,-2.128,0.578,-1.843,0.578,patrick baldwin,Patrick Baldwin Jr.,Sacramento Kings,-2.1,-0.4,-2.5,-0.451,-0.863,0.412,301.0,388.5,87.5,-0.845,-0.853,0.008,396.0,397.0,1.0,0.346,-0.397,0.742,160.0,298.5,138.5,3.009,701.0,1.746,1.13,7.036,1.9,2.568,big,<1000
2024-2026,2025.0,1641810,Antonio Reeves,1497.0,1496.0,0.075,-0.963,-0.0,-0.963,-0.168,-0.157,-0.325,-0.033,-1.019,-1.052,-0.033,-1.019,-1.052,-0.996,-1.019,-2.015,-0.897,-0.995,-1.892,-0.664,-0.664,-0.697,-1.716,-0.0,-1.019,-0.637,-0.995,-1.632,-0.996,-1.019,-0.697,-1.019,antonio reeves,Antonio Reeves,Charlotte Hornets,-1.8,-0.8,-2.6,-0.734,-0.904,0.17,363.0,392.5,29.5,-0.327,-0.7,0.373,277.0,364.5,87.5,-0.933,-0.763,-0.17,393.0,372.5,-20.5,-0.242,729.0,0.988,0.198,2.519,2.074,2.864,guard,<1000
2024-2026,2025.0,1642382,Branden Carlson,1536.0,1537.0,0.077,1.073,-0.0,1.073,-0.051,-0.3,-0.351,0.082,-0.406,-0.325,0.082,-0.406,-0.325,1.155,-0.406,0.749,1.134,-0.411,0.723,1.801,1.801,1.883,1.476,-0.0,-0.406,1.896,-0.411,1.485,1.155,-0.406,1.883,-0.406,branden carlson,Branden Carlson,Oklahoma City Thunder,-0.5,-1.0,-1.5,0.354,-0.452,0.807,155.0,299.0,144.0,0.803,-0.035,0.838,77.0,207.5,130.5,-0.47,-0.946,0.476,308.0,396.0,88.0,4.434,738.0,2.244,2.341,6.439,2.098,2.585,big,<1000
2024-2026,2025.0,1629646,Charles Bassey,1548.0,1558.0,0.078,-0.262,-0.0,-0.262,-0.29,-0.382,-0.672,-0.501,-1.084,-1.586,-0.501,-1.084,-1.586,-0.763,-1.084,-1.847,-0.695,-1.055,-1.749,1.124,1.124,0.622,-0.462,-0.0,-1.084,0.6,-1.055,-0.455,-0.763,-1.084,0.622,-1.084,charles bassey,Charles Bassey,Golden State Warriors,-1.5,-1.3,-2.9,-0.675,-1.027,0.352,354.0,408.0,54.0,-0.214,-0.547,0.332,251.0,329.0,78.0,-0.981,-1.221,0.24,398.0,430.0,32.0,9.449,733.0,5.01,2.849,8.988,2.21,0.0,big,<1000
2024-2026,2025.0,1642869,Noah Penda,1561.0,1559.0,0.078,-1.945,-0.0,-1.945,0.565,0.226,0.792,-0.012,-0.375,-0.387,-0.012,-0.375,-0.387,-1.957,-0.375,-2.332,-1.692,-0.381,-2.072,-1.838,-1.838,-1.85,-2.225,-0.0,-0.375,-1.606,-0.381,-1.987,-1.957,-0.375,-1.85,-0.375,noah penda,Noah Penda,Orlando Magic,-1.4,-0.4,-1.7,-0.809,-0.535,-0.275,376.0,320.5,-55.5,-0.769,-0.495,-0.274,378.0,318.5,-59.5,-0.446,-0.397,-0.049,304.0,298.5,-5.5,3.501,761.0,3.17,0.852,5.677,3.311,1.419,big,<1000
2024-2026,2025.0,1631131,Oscar Tshiebwe,1576.0,1575.0,0.079,1.39,-0.0,1.39,-0.654,-0.363,-1.017,0.11,-0.963,-0.853,0.11,-0.963,-0.853,1.5,-0.963,0.537,1.489,-0.942,0.547,0.961,0.961,1.072,0.109,-0.0,-0.963,1.051,-0.942,0.108,1.5,-0.963,1.072,-0.963,oscar tshiebwe,Oscar Tshiebwe,Utah Jazz,0.1,-1.1,-1.0,0.281,-0.247,0.528,164.0,262.5,98.5,1.001,0.271,0.729,66.0,153.5,87.5,-0.892,-1.038,0.146,388.0,405.0,17.0,8.348,743.0,6.347,0.339,9.012,2.083,0.0,big,<1000
2024-2026,2025.0,1631123,Jamaree Bouyea,1586.0,1580.0,0.08,-1.958,-0.0,-1.958,-0.31,-0.078,-0.389,-0.076,0.93,0.855,-0.076,0.93,0.855,-2.034,0.93,-1.104,-1.753,1.009,-0.744,-2.493,-2.493,-2.569,-1.639,-0.0,0.93,-2.149,1.009,-1.14,-2.034,0.93,-2.569,0.93,jamaree bouyea,Jamaree Bouyea,Phoenix Suns,-2.1,0.7,-1.4,-0.256,-0.411,0.155,265.0,292.0,27.0,-0.803,-0.853,0.05,387.0,397.0,10.0,0.657,0.61,0.047,109.0,125.0,16.0,0.166,800.0,0.99,0.81,3.78,4.635,1.125,wing,<1000
2024-2026,2025.0,1642868,Carter Bryant,1685.0,1691.0,0.084,-2.353,-0.0,-2.353,0.317,-0.316,0.001,-0.11,0.265,0.155,-0.11,0.265,0.155,-2.464,0.265,-2.198,-2.073,0.279,-1.794,-2.456,-2.456,-2.566,-2.301,-0.0,0.265,-2.147,0.279,-1.868,-2.464,0.265,-2.566,0.265,carter bryant,Carter Bryant,San Antonio Spurs,-1.6,0.6,-0.9,-0.693,-0.206,-0.487,358.0,254.0,-104.0,-0.981,-0.598,-0.384,414.0,341.5,-72.5,0.078,0.519,-0.441,207.0,142.0,-65.0,2.587,817.0,1.674,1.013,6.169,2.071,2.291,big,<1000
2024-2026,2025.0,1630587,Isaiah Livers,1691.0,1716.0,0.084,-3.979,-0.0,-3.979,0.294,0.321,0.615,0.03,-0.96,-0.931,0.03,-0.96,-0.931,-3.95,-0.96,-4.91,-3.203,-0.94,-4.143,-4.511,-4.511,-4.481,-5.441,-0.0,-0.96,-3.634,-0.94,-4.574,-3.95,-0.96,-4.481,-0.96,isaiah livers,Isaiah Livers,Phoenix Suns,-3.0,-0.9,-3.8,-1.671,-1.397,-0.274,467.0,452.5,-14.5,-1.61,-1.313,-0.297,466.0,448.0,-18.0,-0.89,-0.854,-0.035,387.0,385.5,-1.5,1.448,818.0,1.496,0.572,3.301,2.024,1.496,wing,<1000
2024-2026,2025.0,1631159,Leonard Miller,1750.0,1742.0,0.087,0.591,-0.0,0.591,-0.347,-0.14,-0.487,0.011,-0.941,-0.93,0.011,-0.941,-0.93,0.602,-0.941,-0.339,0.58,-0.922,-0.341,0.162,0.162,0.173,-0.768,-0.0,-0.941,0.164,-0.922,-0.757,0.602,-0.941,0.173,-0.941,leonard miller,Leonard Miller,Chicago Bulls,0.4,-0.2,0.2,-0.089,0.245,-0.334,229.0,175.0,-54.0,0.495,0.425,0.07,114.0,129.5,15.5,-0.875,-0.214,-0.662,383.0,264.0,-119.0,3.85,808.0,2.762,0.757,6.683,2.139,1.515,big,<1000
