window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,prior_off_po,prior_total_po,rapm_mm_off_po,rapm_mm_total_po,prior_def_po,rapm_mm_def_po,rating_off_po,rating_def_po,rating_total_po,rating_off_raw,rating_def_raw,rating_off_po_raw,rating_def_po_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1641705,Victor Wembanyama,11471.0,11441.0,0.385,4.268,-0.0,4.268,0.367,0.813,1.18,-0.826,4.628,3.802,-0.826,4.628,3.802,3.442,4.628,8.07,3.55,5.356,8.906,6.269,6.269,5.443,10.071,-0.0,4.628,5.615,5.356,10.971,3.442,4.628,5.443,4.628,victor wembanyama,Victor Wembanyama,San Antonio Spurs,4.0,4.6,8.6,3.76,3.694,0.066,3.0,3.0,0.0,2.147,2.265,-0.118,21.0,13.0,-8.0,4.107,4.181,-0.074,1.0,1.0,0.0,6.616,5495.0,2.444,4.108,10.639,4.199,2.568,big,3000+
2024-2026,2025.0,201566,Russell Westbrook,11526.0,11544.0,0.386,-0.275,-0.0,-0.275,-0.005,0.021,0.016,-0.393,-1.302,-1.695,-0.393,-1.302,-1.695,-0.669,-1.302,-1.971,-0.612,-1.246,-1.857,-0.532,-0.532,-0.925,-2.227,-0.0,-1.302,-0.836,-1.246,-2.082,-0.669,-1.302,-0.925,-1.302,russell westbrook,Russell Westbrook,Sacramento Kings,-1.1,-1.7,-2.8,-0.72,-0.986,0.266,360.0,401.5,41.5,-0.168,-0.342,0.174,239.0,287.0,48.0,-1.133,-1.587,0.454,421.0,454.0,33.0,-0.772,5473.0,1.809,0.474,5.17,7.821,1.737,guard,3000+
2024-2026,2025.0,1629060,Rui Hachimura,11581.0,11604.0,0.387,-0.931,-0.0,-0.931,0.572,-0.154,0.418,0.577,0.176,0.753,0.577,0.176,0.753,-0.354,0.176,-0.178,-0.327,0.184,-0.143,-0.882,-0.882,-0.305,-0.129,-0.0,0.176,-0.283,0.184,-0.099,-0.354,0.176,-0.305,0.176,rui hachimura,Rui Hachimura,Los Angeles Lakers,-0.7,-0.1,-0.8,-0.006,-0.165,0.159,214.0,244.0,30.0,-0.01,-0.138,0.128,215.0,236.5,21.5,0.002,-0.122,0.124,224.0,243.0,19.0,1.309,5618.0,1.141,0.461,4.082,1.416,2.025,wing,3000+
2024-2026,2025.0,1631170,Jaime Jaquez Jr.,11608.0,11646.0,0.387,-0.908,-0.0,-0.908,0.043,0.188,0.232,0.349,-0.672,-0.323,0.349,-0.672,-0.323,-0.56,-0.672,-1.231,-0.513,-0.67,-1.183,-1.454,-1.454,-1.105,-1.777,-0.0,-0.672,-0.992,-0.67,-1.662,-0.56,-0.672,-1.105,-0.672,jaime jaquez,Jaime Jaquez Jr.,Miami Heat,-0.4,-0.3,-0.7,-0.439,-0.124,-0.315,300.0,237.0,-63.0,-0.113,0.016,-0.129,232.0,195.0,-37.0,-0.675,-0.305,-0.37,348.0,280.0,-68.0,0.661,5607.0,1.682,0.353,4.417,4.578,1.027,wing,3000+
2024-2026,2025.0,1626162,Kelly Oubre Jr.,11616.0,11624.0,0.388,-1.094,-0.0,-1.094,-0.465,-0.512,-0.977,0.012,-0.411,-0.399,0.012,-0.411,-0.399,-1.082,-0.411,-1.493,-0.972,-0.415,-1.388,-1.832,-1.832,-1.82,-2.231,-0.0,-0.411,-1.583,-0.415,-1.998,-1.082,-0.411,-1.82,-0.411,kelly oubre,Kelly Oubre Jr.,Philadelphia 76ers,-0.7,-1.0,-1.6,-0.524,-0.494,-0.031,328.0,309.5,-18.5,-0.369,-0.138,-0.231,283.0,236.5,-46.5,-0.474,-0.946,0.472,309.0,396.0,87.0,1.954,5717.0,1.518,0.636,4.534,1.82,1.625,wing,3000+
2024-2026,2025.0,203484,Kentavious Caldwell-Pope,11623.0,11623.0,0.388,-1.787,-0.0,-1.787,-0.405,0.183,-0.222,-0.088,1.481,1.393,-0.088,1.481,1.393,-1.875,1.481,-0.394,-1.626,1.65,0.024,-1.859,-1.859,-1.947,-0.466,-0.0,1.481,-1.684,1.65,-0.033,-1.875,1.481,-1.947,1.481,kentavious caldwell pope,Kentavious Caldwell-Pope,Memphis Grizzlies,-1.3,0.5,-0.8,0.063,-0.165,0.228,198.0,244.0,46.0,-0.733,-0.444,-0.288,369.0,308.5,-60.5,1.166,0.427,0.738,51.0,154.0,103.0,-0.376,5766.0,0.524,0.524,2.454,2.86,1.829,guard,3000+
2024-2026,2025.0,1641717,Cason Wallace,11660.0,11666.0,0.389,-1.357,-0.0,-1.357,-0.399,0.117,-0.282,-0.04,1.712,1.672,-0.04,1.712,1.672,-1.396,1.712,0.315,-1.237,1.933,0.696,-1.232,-1.232,-1.271,0.44,-0.0,1.712,-1.132,1.933,0.8,-1.396,1.712,-1.271,1.712,cason wallace,Cason Wallace,Oklahoma City Thunder,0.1,2.8,2.9,0.343,1.354,-1.011,156.0,41.5,-114.5,-0.516,0.271,-0.787,320.0,153.5,-166.5,1.39,2.533,-1.143,38.0,7.0,-31.0,0.453,5618.0,1.192,0.641,2.999,3.159,1.749,wing,3000+
2024-2026,2025.0,201950,Jrue Holiday,11721.0,11752.0,0.39,0.309,-0.0,0.309,0.025,0.544,0.57,-0.28,2.007,1.727,-0.28,2.007,1.727,0.029,2.007,2.037,0.029,2.295,2.324,0.888,0.888,0.608,2.615,-0.0,2.007,0.586,2.295,2.88,0.029,2.007,0.608,2.007,jrue holiday,Jrue Holiday,Portland Trail Blazers,1.5,1.2,2.7,1.02,1.272,-0.251,70.0,47.5,-22.5,0.188,0.987,-0.799,167.0,67.5,-99.5,1.677,1.068,0.609,31.0,65.5,34.5,-0.551,5724.0,1.453,0.541,4.101,5.623,2.409,guard,3000+
2024-2026,2025.0,1629130,Duncan Robinson,11731.0,11698.0,0.39,0.249,-0.0,0.249,-0.212,0.622,0.411,0.211,0.145,0.357,0.211,0.145,0.357,0.461,0.145,0.606,0.443,0.152,0.595,0.778,0.778,0.989,1.135,-0.0,0.145,0.968,0.152,1.12,0.461,0.145,0.989,0.145,duncan robinson,Duncan Robinson,Detroit Pistons,1.8,0.0,1.7,0.301,0.861,-0.56,162.0,89.0,-73.0,0.419,1.141,-0.722,129.0,57.5,-71.5,-0.023,-0.03,0.007,231.0,223.5,-7.5,-1.559,5804.0,0.385,0.273,2.996,3.269,3.703,guard,3000+
2024-2026,2025.0,1627826,Ivica Zubac,11735.0,11741.0,0.39,0.479,-0.0,0.479,-1.804,0.379,-1.425,-0.517,2.503,1.987,-0.517,2.503,1.987,-0.038,2.503,2.465,-0.034,2.897,2.863,0.579,0.579,0.063,2.566,-0.0,2.503,0.06,2.897,2.957,-0.038,2.503,0.063,2.503,ivica zubac,Ivica Zubac,Indiana Pacers,0.1,0.8,1.0,1.245,0.574,0.671,53.0,124.0,71.0,0.153,0.271,-0.118,170.0,153.5,-16.5,2.155,0.702,1.453,17.0,106.0,89.0,6.818,5867.0,4.037,1.307,9.124,2.528,0.0,big,3000+
