window,feature,stat,coef_defense,coef_offense,coef_total,coef_playoff_defense,coef_playoff_offense,coef_playoff_total,se_defense,se_offense,se_total,se_playoff_defense,se_playoff_offense,se_playoff_total
2018-2020,drb,DRB,0.4035,-0.1064,0.2971,0.2573,-0.0069,0.2504,0.0627,0.0573,0.0855,0.2062,0.2035,0.3028
2018-2020,fg2_miss,2P miss,-0.1941,-0.4612,-0.6553,-0.1939,-0.951,-1.1449,0.0953,0.084,0.1265,0.2973,0.2925,0.3937
2018-2020,fg2m,2PM,-0.0565,0.5603,0.5038,-0.3455,0.2857,-0.0598,0.0994,0.0892,0.1334,0.3288,0.3241,0.4453
2018-2020,fg3_miss,3P miss,-0.374,-0.0974,-0.4714,-0.7095,-1.156,-1.8655,0.132,0.1204,0.1785,0.4342,0.4276,0.5972
2018-2020,fg3m,3PM,0.3752,1.2565,1.6317,0.8786,1.8414,2.7201,0.2119,0.1936,0.2876,0.7094,0.7006,1.0242
2018-2020,ft_miss,FT miss,0.2235,-0.3811,-0.1577,-1.5761,-1.5339,-3.11,0.2362,0.2089,0.3154,0.73,0.719,1.0364
2018-2020,ftm,FTM,0.2067,0.6113,0.8179,0.5776,1.064,1.6416,0.0874,0.0772,0.1166,0.2498,0.2451,0.3607
2018-2020,orb,ORB,-0.1403,0.6967,0.5563,0.0332,0.728,0.7612,0.1342,0.1214,0.1815,0.4152,0.41,0.6083
2018-2020,pf,PF,0.0027,-0.2569,-0.2542,-0.035,-0.5739,-0.6089,0.1148,0.1042,0.1559,0.3903,0.3844,0.57
2018-2020,stl,STL,1.4148,0.2998,1.7146,2.9506,-0.7392,2.2114,0.2187,0.1944,0.2929,0.7019,0.6925,0.9594
2018-2020,tov,TOV,-0.7911,-0.6577,-1.4488,-0.0443,0.717,0.6727,0.1978,0.176,0.2651,0.7312,0.7228,1.0245
2021-2023,ast,AST,0.2488,0.4099,0.6587,0.428,0.7372,1.1651,0.0668,0.0608,0.0905,0.2269,0.2249,0.3224
2021-2023,blk,BLK,1.1693,-0.1753,0.994,0.4883,-0.3011,0.1872,0.1849,0.1668,0.2484,0.5543,0.5446,0.7501
2021-2023,drb,DRB,0.275,-0.0037,0.2713,0.3316,0.2199,0.5514,0.0617,0.0564,0.0838,0.2146,0.2128,0.3154
2021-2023,fg2_miss,2P miss,-0.2513,-0.4957,-0.747,-0.3261,-0.3131,-0.6392,0.095,0.0845,0.1267,0.2908,0.2861,0.3996
2021-2023,fg2m,2PM,0.1516,0.6243,0.7759,0.3394,0.5015,0.841,0.0924,0.0833,0.1244,0.2848,0.2813,0.4016
2021-2023,fg3_miss,3P miss,-0.278,-0.2713,-0.5492,-0.0082,-0.7974,-0.8057,0.1236,0.1123,0.1674,0.4381,0.4321,0.5957
2021-2023,fg3m,3PM,0.2775,1.3138,1.5913,-0.1187,2.6709,2.5522,0.1886,0.1708,0.256,0.6753,0.6654,0.9096
2021-2023,ft_miss,FT miss,-0.2606,-0.7757,-1.0363,1.4717,-1.296,0.1757,0.2314,0.2056,0.3102,0.7081,0.6964,0.9691
2021-2023,ftm,FTM,0.1568,0.6763,0.8332,-0.1026,0.4312,0.3286,0.0837,0.0749,0.112,0.2358,0.2319,0.3437
2021-2023,orb,ORB,-0.1727,0.7666,0.5939,-0.5468,1.0002,0.4534,0.1208,0.109,0.1633,0.4079,0.402,0.5687
2021-2023,pf,PF,0.07,-0.144,-0.074,0.5943,0.2387,0.833,0.1143,0.1034,0.1542,0.3897,0.3857,0.5422
2021-2023,stl,STL,1.0645,0.5958,1.6603,1.374,0.5412,1.9152,0.2475,0.2216,0.3313,0.7357,0.7247,0.9951
2021-2023,tov,TOV,-0.6611,-0.7192,-1.3803,-1.583,-0.8354,-2.4184,0.1831,0.1636,0.2463,0.5805,0.572,0.7882
2024-2026,ast,AST,0.1755,0.3949,0.5704,0.1051,0.565,0.6702,0.06,0.0542,0.0807,0.1947,0.1922,0.2778
2024-2026,blk,BLK,1.2051,-0.4198,0.7853,0.8611,0.1171,0.9782,0.169,0.1524,0.2287,0.5286,0.5189,0.7334
2024-2026,drb,DRB,0.365,0.0469,0.4119,0.2048,0.0548,0.2596,0.0661,0.0603,0.0899,0.2293,0.2268,0.321
2024-2026,fg2_miss,2P miss,-0.2265,-0.6356,-0.8621,-0.2156,-0.4771,-0.6928,0.1057,0.0944,0.1423,0.3714,0.3662,0.4867
2024-2026,fg2m,2PM,0.092,0.6575,0.7494,0.3239,0.5269,0.8508,0.0938,0.0848,0.1267,0.3267,0.3231,0.4301
2024-2026,fg3_miss,3P miss,-0.175,-0.318,-0.493,0.6861,-0.0469,0.6392,0.1203,0.1102,0.1641,0.4707,0.4667,0.6879
2024-2026,fg3m,3PM,0.437,1.4826,1.9196,-1.3314,1.2564,-0.075,0.1856,0.1696,0.2538,0.7382,0.7313,1.0505
2024-2026,ft_miss,FT miss,0.2884,-0.177,0.1114,-0.0775,0.4325,0.355,0.2692,0.2394,0.3592,0.8724,0.858,1.1798
2024-2026,ftm,FTM,0.2347,0.7088,0.9435,-0.0917,0.5937,0.5019,0.0894,0.0799,0.1197,0.2818,0.2774,0.3842
2024-2026,orb,ORB,0.1154,0.6533,0.7687,-0.1567,0.2047,0.048,0.111,0.0991,0.149,0.3459,0.3405,0.5021
2024-2026,pf,PF,0.1186,-0.1587,-0.0401,0.2646,0.362,0.6265,0.1178,0.1064,0.1588,0.407,0.4038,0.5949
2024-2026,stl,STL,1.9491,0.9336,2.8826,1.5475,-0.1339,1.4136,0.2208,0.197,0.2975,0.6996,0.6884,0.9552
2024-2026,tov,TOV,-1.0126,-0.8832,-1.8958,-0.4203,-1.6586,-2.0789,0.181,0.1593,0.2407,0.5966,0.5869,0.8361
