lam,ratio,c,corr_total,corr_off,corr_def
200.0,0.1,0.4,0.4361724799417638,0.40247521307164236,0.4394493676680044
200.0,0.1,0.5,0.46298392527451604,0.4388685033772599,0.4621558228821019
200.0,0.1,0.6,0.48556679536805253,0.4688575355695942,0.4817404317905078
200.0,0.1,0.7,0.5042595682148664,0.49335328917095306,0.49843521401052493
200.0,0.1,0.8,0.5194957265052796,0.513268498411029,0.5125204246939329
200.0,0.1,0.9,0.5317421571825321,0.5294329730852328,0.5242953192573303
200.0,0.1,1.0,0.5414557802479293,0.5425594761035435,0.5340566552652734
200.0,0.1,1.1,0.5490573386660299,0.5532393973845039,0.5420845433970259
200.0,0.18,0.4,0.43668296898976844,0.4024442397663688,0.4403779540631402
200.0,0.18,0.5,0.4635189340198524,0.43885118274306945,0.46315757860497225
200.0,0.18,0.6,0.48609853493429245,0.4688500412018451,0.48277935874325656
200.0,0.18,0.7,0.5047671399211459,0.4933525172827275,0.4994814490783959
200.0,0.18,0.8,0.5199649283059775,0.5132720870562446,0.5135505630160917
200.0,0.18,0.9,0.5321645350838374,0.529439205652866,0.5252920359208217
200.0,0.18,1.0,0.5418273816617876,0.5425671483701268,0.535007927547474
200.0,0.18,1.1,0.5493774761830935,0.5532476896127373,0.5429827132956
200.0,0.2872,0.4,0.43730749774426986,0.4023979638822345,0.44157200237585087
200.0,0.2872,0.5,0.464171830102444,0.43881948025002737,0.46444168066837666
200.0,0.2872,0.6,0.48674492387430984,0.4688290633498358,0.48410701601006834
200.0,0.2872,0.7,0.5053810161963316,0.4933391138844099,0.5008143392953346
200.0,0.2872,0.8,0.5205288280878061,0.5132638375260956,0.5148588871950612
200.0,0.2872,0.9,0.5326682678446754,0.5294343304049629,0.5265539550569726
200.0,0.2872,1.0,0.542266407153597,0.5425643806962496,0.5362084930255115
200.0,0.2872,1.1,0.5497513162809459,0.5532461504633994,0.544112606855665
200.0,0.5,0.4,0.4384169908161005,0.4023194358452999,0.44380011795593644
200.0,0.5,0.5,0.46532722894850836,0.4387621500921003,0.4668312048749684
200.0,0.5,0.6,0.4878823790420147,0.46878735219083933,0.4865696638518116
200.0,0.5,0.7,0.5064534918498286,0.4933084837462134,0.5032779767332283
200.0,0.5,0.8,0.5215052783389912,0.5132408193046056,0.517268013982274
200.0,0.5,0.9,0.5335311089651017,0.5294163844157386,0.5288684439141229
200.0,0.5,1.0,0.5430083939596155,0.5425497051363849,0.5384013914359752
200.0,0.5,1.1,0.550372541056376,0.553233497644757,0.5461676191071562
200.0,1.0,0.4,0.44058729618232756,0.40218534246736,0.4485125271127967
200.0,1.0,0.5,0.4675743588156944,0.4386602107095176,0.47186161347785505
