season,definition,att_per_game,oreb_pct,poss_with_att,tov,implied_poss,actual_poss,leftover,leftover_pct,multiplier
2024,"A  FGA only, player OREB",176.73333333333332,22.988505747126435,155.4,28.733333333333334,184.13333333333333,198.0739837398374,13.940650406504048,7.03810270449983,1.1372801372801373
2024,"B  FGA only, incl team OREB",176.73333333333332,30.298132183908045,148.61666666666667,28.733333333333334,177.35000000000002,198.0739837398374,20.72398373983738,10.462748993354696,1.1891891891891893
2024,"C  FGA + shooting trips (no and-1), incl team OREB",191.51666666666668,29.03614457831325,163.4,28.733333333333334,192.13333333333333,198.0739837398374,5.940650406504048,2.999207818381068,1.1720726234190126
2024,D  C + non-shooting trips too,196.01666666666668,28.76385336743393,167.9,28.733333333333334,196.63333333333333,198.0739837398374,1.440650406504048,0.7273294449392643,1.1674607901528689
2024,"E  D, period-end team OREB dropped",196.01666666666668,27.703754974909153,169.33333333333334,28.733333333333334,198.06666666666666,198.0739837398374,0.007317073170710842,0.0036941111763176015,1.1575787401574804
2005,"A  FGA only, player OREB",159.75,27.880696554279364,134.66666666666666,32.18333333333333,166.85,185.1219512195122,18.27195121951221,9.87022397891964,1.1862623762376239
2005,"B  FGA only, incl team OREB",159.75,35.21674694331234,128.06666666666666,32.18333333333333,160.25,185.1219512195122,24.871951219512205,13.435441370223986,1.2473971889640811
2005,"C  FGA + shooting trips (no and-1), incl team OREB",176.55,33.29246935201401,144.86666666666667,32.18333333333333,177.05,185.1219512195122,8.071951219512194,4.360342555994729,1.2187068568798896
2005,D  C + non-shooting trips too,184.3,32.70818995182381,152.61666666666667,32.18333333333333,184.8,185.1219512195122,0.32195121951219363,0.17391304347826006,1.2076007426012887
2005,"E  D, period-end team OREB dropped",184.3,31.578026592022393,154.21666666666667,32.18333333333333,186.4,185.1219512195122,-1.2780487804878007,-0.6903820816864272,1.1950718685831623
1998,"A  FGA only, player OREB",160.33333333333334,30.787766450417053,132.65,32.81666666666667,165.46666666666667,183.9453322119428,18.478665545276122,10.045737678184137,1.2086945596180425
1998,"B  FGA only, incl team OREB",160.33333333333334,37.47914735866543,126.63333333333334,32.81666666666667,159.45000000000002,183.9453322119428,24.495332211942788,13.316637023286425,1.2661226638589103
1998,"C  FGA + shooting trips (no and-1), incl team OREB",176.71666666666667,35.25719267654752,143.01666666666668,32.81666666666667,175.83333333333334,183.9453322119428,8.111998878609448,4.410005288561908,1.235636872159422
1998,D  C + non-shooting trips too,185.13333333333333,34.540485138366925,151.43333333333334,32.81666666666667,184.25,183.9453322119428,-0.30466778805720907,-0.165629529378962,1.222540171692714
1998,"E  D, period-end team OREB dropped",185.13333333333333,33.75972342264477,152.58333333333334,32.81666666666667,185.4,183.9453322119428,-1.4546677880572148,-0.7908152767807877,1.2133260513380666
