window,window_mid,stat,feature,coef_total,se_total,coef_offense,se_offense,coef_defense,se_defense
2009-2011,2010.0,STL,stl,1.9463,0.305,0.4126,0.2011,1.5337,0.228
2009-2011,2010.0,TOV,tov,-1.5179,0.2507,-0.8095,0.1662,-0.7084,0.1881
2012-2014,2013.0,AST,ast,0.5997,0.0886,0.4947,0.0593,0.105,0.0652
2012-2014,2013.0,BLK,blk,0.8068,0.2076,-0.028,0.1383,0.8348,0.1535
2012-2014,2013.0,DRB,drb,0.3756,0.0938,-0.0181,0.0622,0.3937,0.0682
2012-2014,2013.0,2P miss,fg2_miss,-0.8132,0.1108,-0.5687,0.073,-0.2445,0.083
2012-2014,2013.0,2PM,fg2m,0.7049,0.1286,0.6797,0.0851,0.0252,0.0951
2012-2014,2013.0,3P miss,fg3_miss,-0.1889,0.196,-0.0936,0.1321,-0.0953,0.1444
2012-2014,2013.0,3PM,fg3m,0.9282,0.3145,1.249,0.2112,-0.3208,0.2318
2012-2014,2013.0,FT miss,ft_miss,-1.0578,0.2631,-0.5464,0.1737,-0.5114,0.1995
2012-2014,2013.0,FTM,ftm,0.8354,0.1123,0.6554,0.0738,0.18,0.0841
2012-2014,2013.0,ORB,orb,0.2164,0.1595,0.4629,0.1058,-0.2465,0.1183
2012-2014,2013.0,PF,pf,-0.298,0.1306,-0.2317,0.0867,-0.0663,0.0959
2012-2014,2013.0,STL,stl,2.2612,0.2855,0.7777,0.1894,1.4835,0.2136
2012-2014,2013.0,TOV,tov,-1.2788,0.2543,-0.8351,0.1702,-0.4437,0.1905
2015-2017,2016.0,AST,ast,0.6444,0.0891,0.4419,0.0597,0.2025,0.0664
2015-2017,2016.0,BLK,blk,0.7728,0.2234,-0.2392,0.1482,1.0121,0.1663
2015-2017,2016.0,DRB,drb,0.3239,0.0903,-0.0319,0.0601,0.3558,0.0661
2015-2017,2016.0,2P miss,fg2_miss,-0.8723,0.122,-0.6219,0.081,-0.2504,0.0908
2015-2017,2016.0,2PM,fg2m,0.8341,0.1362,0.7797,0.0909,0.0545,0.101
2015-2017,2016.0,3P miss,fg3_miss,-0.4505,0.1886,-0.1216,0.1263,-0.3288,0.1403
2015-2017,2016.0,3PM,fg3m,1.7716,0.3067,1.3515,0.2051,0.4201,0.2281
2015-2017,2016.0,FT miss,ft_miss,-0.6881,0.2502,-0.2084,0.1654,-0.4797,0.1886
