iterate,total,offense,defense,sd_prior_def,bias
iterate 0 = the joint fit,0.7858351831376706,0.8724680013555518,0.767628059536577,1.883160715941934,0.6275707451470803
iterate 1,0.7787530682539594,0.8690736027943916,0.7628521913819695,1.9590339398302035,0.6274552054569615
iterate 2,0.7742662469012472,0.8668914374359965,0.758542253386638,2.0099091757276186,0.6282228312161768
iterate 3,0.7712566672310953,0.8651387166651844,0.7562431866088885,2.040727216705015,0.6295608240319326
iterate 4,0.7696859746002657,0.8630253161983723,0.754265588114871,2.059639622619046,0.6310446267751572
iterate 5,0.7684862861535182,0.8618030594487074,0.7529627425300431,2.0716550626772405,0.6324610344080994
iterate 6,0.767393206817319,0.8606661988388343,0.7519722348351073,2.079549373984348,0.6337292826424449
iterate 7,0.7668688960446437,0.8600540905082994,0.7516142449760147,2.084878174156534,0.6348315561570819
iterate 8,0.7662102040401847,0.8594999395578855,0.7510214975673278,2.0885502046149553,0.6357764268116164
iterate 9,0.7659763806968815,0.8590834863830442,0.7505759567538053,2.0911212327957953,0.6365817725077082
iterate 10,0.765711649670268,0.8588825114678225,0.7502870890174038,2.0929449798010715,0.6372672700891487
iterate 11,0.7653666258576636,0.8586460901549033,0.7500367593850639,2.094253624825662,0.6378513396796359
converged,0.7650531256423486,0.8585244636528521,0.749930611554837,2.0952030207989085,0.6383501019634217
