fg3m,fg3_miss,fg2m,fg2_miss,ftm,ft_miss,orb,drb,ast,tov,stl,blk,pf,season,share,gs_pct,age,Max_Shadow,Min_Shadow,Mean_Shadow,Median_Shadow
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.06986871403232392,0.8034751296214054,-0.3242862966431047,1.9062082682704944,-0.3202359634742399,-0.531238364014842,-0.38721788786683353,0.42727069335445245,0.26186715148959017,-0.4034559967641816,2.183275509601239,3.821734704515679,0.029024687466867753,-0.2198242064379027,0.07197572579982249,2.073904581193932,-0.3521266607592946,-0.3978663709318443,-0.6230038452585004,-0.5276754330188681,-0.5358392778526003
-0.2305796423073431,0.8164394379280643,-0.015301527254816271,1.8700941362719152,-0.4220268540256968,-0.36364889716923415,-0.4852320395656062,0.41111822113805385,0.222062628656697,-0.4429344225311388,2.172260098886925,3.9232414113988434,0.2867595283101991,-0.18027241170805003,-0.036723803677592204,1.8841346445453748,-0.3224586371210971,-0.38452688703984,-0.610039311163026,-0.5345254042220882,-0.549690892413732
-0.2733836852961083,1.004168065475255,-0.16195629473834652,1.9513149971979804,-0.2960459231804205,-0.4181793342261257,-0.266687728324462,0.3698586075318504,0.05436703830902138,-0.49531399450860597,2.3485671058829682,3.7824924314364496,-0.09009581856698226,-0.2741169700927954,-0.0385792148735581,1.932061393408054,-0.4264823316960305,-0.302053570318585,-0.6103034469765716,-0.5118816672787145,-0.5276938098275555
-0.3210471730814968,1.009689529372496,-0.12649533568848206,1.8443517860871157,-0.35102523670485625,-0.42080664386900934,-0.40006100509172576,0.463848833978699,0.25641943086450464,-0.40675673377048044,2.178780252727581,3.8341620670673233,-0.14322014574237937,-0.22154474035085847,0.1351900026095807,2.0270003760654114,-0.5368281561853216,-0.397129836712993,-0.600059763767121,-0.5189210063698882,-0.5366089118541587
-0.10508097930857123,0.8516628119483335,-0.1614641862987642,1.971638109084117,-0.39803092585972294,-0.4143653316359631,-0.4967643864370447,0.4671909763406528,0.09222463746953918,-0.5155135569841669,2.167933083814254,3.997988458618063,0.21140188932533874,-0.36407351633104934,-0.14138839404514691,1.7029511204240857,-0.5002047079765267,-0.18033117860858558,-0.5635237195872427,-0.49212382953808437,-0.5191048278493307
-0.3860618468471181,1.0681150802127333,-0.1318153349319364,1.8595548713773773,-0.3189645751355171,-0.4320413305816433,-0.3472796966180337,0.3443368134150535,0.19529759278561662,-0.4727730668155307,2.250443283028688,3.7459695660567696,-0.06181747785617452,-0.2896878259550635,0.3971463863039637,2.005508360724525,-0.5089972362459955,-0.3646888619785776,-0.6650507781584791,-0.524525503701042,-0.5582984131231603
-0.4114117064701725,1.9557841555905993,0.6575675553792171,0.575899602341657,-0.2587535738349196,-0.3709191964947789,-0.25467896429310405,0.39494183143188255,0.06043133904947412,-0.4631342682043104,2.189231663687057,3.845154197307665,0.10007879343014779,-0.3236319147966582,-0.008749393013522944,1.9162448302276696,-0.6421788472484489,-0.29602458744699056,-0.625688651129063,-0.5271691825934973,-0.5461208668750633
-0.23089080397092732,0.9165224407135454,-0.12659324533906904,1.7839269728662988,-0.40060083006320807,-0.4168097482746959,-0.3252174211043219,0.2130606427082421,0.2993779228189596,-0.34670638368444806,2.2404554377298362,3.848436917603448,-0.1347064798453238,-0.10744053762220931,0.19599608601851118,2.0454982087593785,-0.30562941351321127,-0.3028990330147665,-0.6673582552665761,-0.5381576332824002,-0.560139943495885
-0.17843359886977064,0.8360046813250844,-0.2820487744027403,2.023815178768861,-0.36274111899835787,-0.5436503109430445,-0.4067355412201537,0.3156596081746312,0.3622521937069126,-0.38660960940009165,2.19102427101869,3.835101547525826,-0.08950342228773946,-0.25466650227521687,0.23280750775053666,1.9125230697155189,-0.5676093634221813,-0.37830020180168367,-0.635311739012741,-0.5080699891862803,-0.48892503341255233
-0.20168379805375608,0.8853573016355617,-0.03728840439518979,1.6963551931533254,-0.3109478769981731,-0.46478401050621326,-0.40542856833569485,0.3581270579374924,0.23118440580833743,,2.0860370091685785,3.678753551469818,-0.17530514264453512,-0.23267415809471043,0.4348930196979979,2.00822682605848,-0.5442154646871654,-0.4002737184960911,-0.6883351056595697,-0.5629129338258846,-0.5681138924258919
-0.30287026639307546,0.8146062069801928,-0.13274515765499553,1.748359331709316,-0.4081639183137635,-0.4764090306627294,-0.16518503109901905,0.17484829392017737,0.16070542605502913,,2.21183732942111,3.678496050949128,-0.04498737880881468,-0.23063002979720026,0.2933789843644471,1.9863646897955536,-0.3525100405064868,-0.4462804743775493,-0.6217501161682002,-0.5596934662474295,-0.5814766269252835
